"target","output","question"
"milk","(answer: a black silk gown)  <answer>      Shepley Walden, Parliament-man","What did Mary give to Fred? "
"apple","(answer: an apple)  <answer>      She gives a backward glance over her shoulder at","What did Fred give to Bill? "
"Jeff","(answer: Jeff)  <answer>      She gave the football to Jeff. Jeff went to the","Who did Mary give the football to? "
"apple","(answer: an apple)  <answer>      He gave the apple to Mary. Mary went back","What did Fred give to Mary? "
"Bill","(answer: Bill)  <answer>      She gave the football to Bill. Mary moved to the","Who did Mary give the football to? "
"milk","(answer: the milk)  <answer>      He gave the milk to Mary. Mary passed the","What did Bill give to Mary? "
"Mary","(answer: Mary)  <answer>      She gave the apple to Bill. Mary gave the apple","Who gave the apple to Bill? "
"Mary","(answer: Mary)  <answer>      She gave the milk. Mary passed the milk to Jeff","Who gave the milk? "
"apple","(answer: the milk)  <answer>      She gave the milk to Bill. Mary moved to","What did Fred give to Bill? "
"milk","(answer: the milk)  <answer>      She gave the milk to Fred. Fred moved to","What did Mary give to Fred? "
"Mary","(answer: Mary)  <answer>      She gave the apple to Bill. Mary went to the","Who gave the apple? "
"Fred","(answer: Fred)  <answer>      He received the milk. Fred received the milk. Fred","Who received the milk? "
"apple","(answer: the milk)  <answer>      He gave the milk to Bill. Mary gave the","What did Fred give to Bill? "
"Jeff","(answer: Fred)  <answer>      He gave the football to Fred. Fred passed the milk","Who gave the football? "
"Jeff","(answer: Jeff)  <answer>      He gave the milk to Jeff. Jeff gave the milk","Who did Bill give the milk to? "
"Jeff","(Answer: Jeff)  <answer>      He gave the apple to Jeff. Jeff went to the","Who did Bill give the apple to? "
"apple","(Answer: the apple)  <answer>      She gave the apple to Fred. Fred travelled to","What did Mary give to Fred? "
"Bill","(Answer: Bill)  <answer>      He gave the football to Bill. Bill dropped the football","Who did Jeff give the football to? "
"Bill","[OOM]","Who did Fred give the milk to? "
"football","[OOM]","What did Mary give to Fred? "
"milk","[OOM]","What did Mary give to Fred? "
"Fred","[OOM]","Who gave the apple? "
"Fred","[OOM]","Who did Bill give the apple to? "
"Mary","[OOM]","Who did Bill give the milk to? "
"Fred","[OOM]","Who gave the football? "
