,target,output,question
0,bathroom,Answer: The most recent location of Mary is the bathroom.,Where is Mary? 
1,kitchen,Answer: The most recent location of Sandra is the kitchen. Do not write anything else after that.,Where is Sandra? 
2,kitchen,Answer: In the kitchen. Where is the kitchen? Answer: In the hall. Where is the,Where is Mary? 
3,kitchen,Answer: In the hallway. Where is Judith? Answer: In the kitchen. Where is Charlie?,Where is John? 
4,bedroom,"Answer: The most recent location of Sandra is the
studio of Marcel Legay. Do not write",Where is Sandra? 
5,office,"Answer: The most recent location of John is the
balcony. Do not write anything else",Where is John? 
6,garden,Answer: The most recent location of Mary is the bathroom. Do not write anything else after that.,Where is Mary? 
7,bathroom,Answer: The most recent location of Sandra is the bathroom. Do not write anything else after that.,Where is Sandra? 
8,kitchen,Answer: She is in the kitchen. Where is the most recent location of Charlie? Answer: The,Where is Mary? 
9,bedroom,,Where is John? 
10,office,Answer: The most recent location of Daniel is the office.,Where is Daniel? 
11,office,Answer: The most recent location of Daniel is the office.,Where is Daniel? 
12,bathroom,"Answer: She is in the kitchen. She is
telling Ovid what she has put up",Where is Mary? 
13,bathroom,Answer: The most recent location of Sandra is the kitchen. Do not write anything else after that.,Where is Sandra? 
14,bathroom,Answer: The most recent location of Sandra is the garden. Do not write anything else after that.,Where is Sandra? 
15,hallway,"Answer: The most recent location of Mary is the
market-place. Do not write anything else after",Where is Mary? 
16,kitchen,Answer: The most recent location of Sandra is the kitchen.,Where is Sandra? 
17,office,Answer: The most recent location of Daniel is the office. Do not write anything else after that.,Where is Daniel? 
18,kitchen,Answer: The most recent location of Sandra is the kitchen.,Where is Sandra? 
19,bedroom,Answer: He is in the Big Wigwam. What is the Big Wigwam? Answer,Where is John? 
20,hallway,Answer: The most recent location of Sandra is the hallway. She is not in the operating-room.,Where is Sandra? 
21,bedroom,Answer: The most recent location of Mary is the bedroom. Do not write anything else after that.,Where is Mary? 
22,bedroom,Answer: He is in the kitchen. He is in the kitchen. He is in the kitchen.,Where is John? 
23,bedroom,"Elaine and Davila are in the library, and Mary is in the
bedroom. Elaine and",Where is Mary? 
24,bedroom,Answer: The most recent location of Mary is the bedroom. Do not write anything else after that.,Where is Mary? 
25,garden,Answer: The most recent location of Mary is the kitchen. The most recent location of John is the,Where is Mary? 
26,bedroom,Answer: He is in the stable. Where is Harry? Answer: He is in the stable.,Where is Daniel? 
27,office,Answer: The most recent location of Sandra is the office. Do not write anything else after that.,Where is Sandra? 
28,office,"Answer: She is in the kitchen. She is
sitting at the table, and is eating",Where is Sandra? 
29,garden,"Answer: Sandra is in the garden. She is
very happy there. She is not afraid of",Where is Sandra? 
30,garden,Where is Judith? Where is Charlie? Where is Alan? Where is Rouse? Where is the,Where is Daniel? 
31,bathroom,Answer: The most recent location of Mary is the kitchen. Do not write anything else after that.,Where is Mary? 
