idx,task,length,scorer,n_chunks,needle_chunks,needle_located,pool_offset,n_candidates,needle_in_buffer,needle_evicted,needle_rank,recall@1,recall@2,recall@4,recall@8,recall@16
0,qa5,16k,S1,30,0;24,True,,0,False,False,,,,,,
0,qa5,16k,S2,30,0;24,True,,0,False,False,,,,,,
0,qa5,16k,S3,30,0;24,True,,0,False,False,,,,,,
0,qa5,16k,S4,30,0;24,True,,0,False,False,,,,,,
1,qa5,16k,S1,31,24,True,,0,False,False,,,,,,
1,qa5,16k,S2,31,24,True,,0,False,False,,,,,,
1,qa5,16k,S3,31,24,True,,0,False,False,,,,,,
1,qa5,16k,S4,31,24,True,,0,False,False,,,,,,
2,qa5,16k,S1,27,0;26,True,,0,False,False,,,,,,
2,qa5,16k,S2,27,0;26,True,,0,False,False,,,,,,
2,qa5,16k,S3,27,0;26,True,,0,False,False,,,,,,
2,qa5,16k,S4,27,0;26,True,,0,False,False,,,,,,
3,qa5,16k,S1,31,30,True,,0,False,False,,,,,,
3,qa5,16k,S2,31,30,True,,0,False,False,,,,,,
3,qa5,16k,S3,31,30,True,,0,False,False,,,,,,
3,qa5,16k,S4,31,30,True,,0,False,False,,,,,,
4,qa5,16k,S1,31,20;29,True,,0,False,False,,,,,,
4,qa5,16k,S2,31,20;29,True,,0,False,False,,,,,,
4,qa5,16k,S3,31,20;29,True,,0,False,False,,,,,,
4,qa5,16k,S4,31,20;29,True,,0,False,False,,,,,,
5,qa5,16k,S1,30,27,True,,0,False,False,,,,,,
5,qa5,16k,S2,30,27,True,,0,False,False,,,,,,
5,qa5,16k,S3,30,27,True,,0,False,False,,,,,,
5,qa5,16k,S4,30,27,True,,0,False,False,,,,,,
6,qa5,16k,S1,30,27,True,,0,False,False,,,,,,
6,qa5,16k,S2,30,27,True,,0,False,False,,,,,,
6,qa5,16k,S3,30,27,True,,0,False,False,,,,,,
6,qa5,16k,S4,30,27,True,,0,False,False,,,,,,
7,qa5,16k,S1,30,27,True,,0,False,False,,,,,,
7,qa5,16k,S2,30,27,True,,0,False,False,,,,,,
7,qa5,16k,S3,30,27,True,,0,False,False,,,,,,
7,qa5,16k,S4,30,27,True,,0,False,False,,,,,,
8,qa5,16k,S1,31,0;27,True,,0,False,False,,,,,,
8,qa5,16k,S2,31,0;27,True,,0,False,False,,,,,,
8,qa5,16k,S3,31,0;27,True,,0,False,False,,,,,,
8,qa5,16k,S4,31,0;27,True,,0,False,False,,,,,,
9,qa5,16k,S1,27,0;8,True,,0,False,False,,,,,,
9,qa5,16k,S2,27,0;8,True,,0,False,False,,,,,,
9,qa5,16k,S3,27,0;8,True,,0,False,False,,,,,,
9,qa5,16k,S4,27,0;8,True,,0,False,False,,,,,,
10,qa5,16k,S1,31,0;19,True,,0,False,False,,,,,,
10,qa5,16k,S2,31,0;19,True,,0,False,False,,,,,,
10,qa5,16k,S3,31,0;19,True,,0,False,False,,,,,,
10,qa5,16k,S4,31,0;19,True,,0,False,False,,,,,,
11,qa5,16k,S1,31,0;24,True,,0,False,False,,,,,,
11,qa5,16k,S2,31,0;24,True,,0,False,False,,,,,,
11,qa5,16k,S3,31,0;24,True,,0,False,False,,,,,,
11,qa5,16k,S4,31,0;24,True,,0,False,False,,,,,,
12,qa5,16k,S1,31,23,True,,0,False,False,,,,,,
12,qa5,16k,S2,31,23,True,,0,False,False,,,,,,
12,qa5,16k,S3,31,23,True,,0,False,False,,,,,,
12,qa5,16k,S4,31,23,True,,0,False,False,,,,,,
13,qa5,16k,S1,31,25,True,,0,False,False,,,,,,
13,qa5,16k,S2,31,25,True,,0,False,False,,,,,,
13,qa5,16k,S3,31,25,True,,0,False,False,,,,,,
13,qa5,16k,S4,31,25,True,,0,False,False,,,,,,
14,qa5,16k,S1,30,29,True,,0,False,False,,,,,,
14,qa5,16k,S2,30,29,True,,0,False,False,,,,,,
14,qa5,16k,S3,30,29,True,,0,False,False,,,,,,
14,qa5,16k,S4,30,29,True,,0,False,False,,,,,,
15,qa5,16k,S1,30,26,True,,0,False,False,,,,,,
15,qa5,16k,S2,30,26,True,,0,False,False,,,,,,
15,qa5,16k,S3,30,26,True,,0,False,False,,,,,,
15,qa5,16k,S4,30,26,True,,0,False,False,,,,,,
16,qa5,16k,S1,31,0;29,True,,0,False,False,,,,,,
16,qa5,16k,S2,31,0;29,True,,0,False,False,,,,,,
16,qa5,16k,S3,31,0;29,True,,0,False,False,,,,,,
16,qa5,16k,S4,31,0;29,True,,0,False,False,,,,,,
