"target","output","question"
"Jeff","Answer: Jeff","Who did Fred give the football to? "
"Bill","Answer: Bill","Who did Mary give the milk to? "
"Jeff","Answer: Jeff","Who did Fred give the milk to? "
"milk","(1) Fred","What did Mary give to Fred? "
"Fred","(1) Fred","Who received the milk? "
"apple","(apple)","What did Mary give to Jeff? "
"apple","(1) Fred","What did Mary give to Jeff? "
"apple","(apple)","What did Fred give to Bill? "
"Jeff","(not)","Who gave the milk to Fred? "
"Fred","Answer: Fred","Who gave the apple to Mary? "
"Jeff","(1) Fred.","Who received the football? "
"Jeff","(1) Fred","Who did Mary give the football to? "
"milk","Answer: milk","What did Mary give to Bill? "
"Bill","Answer: Bill","Who did Mary give the milk to? "
"milk","(office)","What did Mary give to Bill? "
"apple","(1) apple","What did Fred give to Mary? "
"Mary","Answer: Mary","Who received the football? "
"apple","Answer: apple","What did Fred give to Bill? "
"Jeff","(1) Fred","Who received the apple? "
"Bill","Answer: Bill","Who did Mary give the football to? "
"Fred","Answer: Fred","Who gave the milk to Jeff? "
"Mary","Answer: Mary","Who received the milk? "
"Mary","Answer: Fred","Who gave the milk? "
"milk","(1) Fred gave apple to Bill.","What did Bill give to Mary? "
"milk","Answer: milk","What did Jeff give to Bill? "
"football","(not)","What did Jeff give to Fred? "
"Mary","Answer: Jeff","Who gave the football? "
"Mary","(1) Fred","Who gave the apple to Bill? "
"Fred","(1) Fred","Who received the apple? "
"Mary","(1) Mary","Who gave the milk to Bill? "
"milk","(1)","What did Mary give to Jeff? "
"Mary","Answer: Mary","Who gave the milk? "
"Fred","office","Who gave the apple to Mary? "
"football","(1) apple","What did Bill give to Mary? "
"apple","Answer: apple","What did Fred give to Mary? "
"apple","(apple)","What did Fred give to Bill? "
"Jeff","Answer: Jeff </example> <example> Mary gave the apple to Fred. Bill went to","Who gave the milk? "
"Bill","(random)","Who did Mary give the apple to? "
"Fred","(1) Fred","Who gave the football to Mary? "
"milk","(Mary)","What did Mary give to Fred? "
"milk","Answer: milk","What did Fred give to Mary? "
"Mary","Answer: Jeff","Who gave the football? "
"Fred","Answer: Fred","Who received the apple? "
"Mary","Answer: Fred","Who gave the apple? "
"Fred","Answer: Fred","Who gave the apple to Bill? "
"apple","office","What did Fred give to Bill? "
"Fred","Fred","Who received the apple? "
"Fred","(1) Fred","Who received the milk? "
"Mary","(office)","Who received the football? "
"apple","Answer: apple","What did Bill give to Mary? "
"apple","(1) apple","What did Mary give to Fred? "
"apple","(apple)","What did Fred give to Bill? "
"apple","(Mary)","What did Fred give to Bill? "
"milk","(office)","What did Jeff give to Fred? "
"Mary","(1) Bill","Who received the milk? "
"Jeff","Answer: Jeff </example>","Who gave the football? "
"Bill","Answer: Jeff","Who gave the football to Fred? "
"Mary","Answer: Fred","Who received the football? "
"Mary","(Mary)","Who gave the football to Fred? "
"Jeff","Answer: Jeff","Who did Bill give the milk to? "
"Fred","Answer: Fred","Who gave the football to Jeff? "
"Jeff","(Mary)","Who gave the apple to Fred? "
"Bill","Answer: Bill","Who received the milk? "
"Jeff","Answer: Fred","Who did Bill give the apple to? "
"milk","Answer: milk","What did Mary give to Fred? "
"Jeff","Answer: Fred","Who received the apple? "
"Jeff","(Fred)","Who gave the apple to Bill? "
"apple","(office)","What did Mary give to Fred? "
"Bill","(1) Bill","Who did Fred give the apple to? "
"Jeff","Answer: Fred","Who gave the apple? "
"Bill","Answer: Bill","Who gave the milk to Fred? "
"Bill","Answer: Bill","Who did Jeff give the football to? "
"Fred","Answer: Jeff","Who gave the milk? "
"apple","(Mary)","What did Mary give to Bill? "
"Jeff","Answer: Jeff","Who received the milk? "
"Bill","Answer: Bill","Who did Fred give the milk to? "
"Bill","(1) Fred","Who gave the apple? "
"Jeff","Answer: Fred","Who gave the apple? "
"Fred","(office)","Who received the football? "
"football","(office)","What did Mary give to Fred? "
"Mary","Answer: Mary","Who did Jeff give the apple to? "
"football","Answer: football","What did Jeff give to Mary? "
"Mary","Answer: Mary","Who received the milk? "
"milk","(1) apple","What did Mary give to Fred? "
"Mary","Answer: Fred","Who gave the milk? "
"Bill","Answer: Bill","Who gave the milk to Mary? "
"Mary","(not) Fred.","Who received the football? "
"Fred","Answer: Fred","Who gave the apple? "
"milk","(1) apple","What did Fred give to Bill? "
"Fred","Answer: Fred","Who did Bill give the milk to? "
"Jeff","Answer: Fred","Who gave the apple? "
"Fred","Answer: Fred","Who did Bill give the apple to? "
"Bill","Answer: Fred","Who gave the football to Jeff? "
"Bill","Answer: Bill","Who did Jeff give the apple to? "
"milk","(1) milk","What did Mary give to Bill? "
"Mary","Answer: Mary","Who did Bill give the milk to? "
"Mary","Answer: Mary","Who gave the milk to Jeff? "
"Fred","Answer: Mary","Who gave the milk? "
"Bill","(1) Fred","Who received the milk? "
"football","(office)","What did Mary give to Bill? "
