"target","output","question"
"Jeff","What did he do with it? What did he do with the football? What did he do with","Who did Fred give the football to? "
"Bill","""I'll take the risk,"" chuckled Donovan. ""Do you know what you remind me of","Who did Mary give the milk to? "
"Jeff","(1) Jeff (2) Mary (3) Bill (4) Gilly  Question:","Who did Fred give the milk to? "
"milk","What did Jeff get?  Answer: Fred got the milk. Jeff got the milk there.  Question:","What did Mary give to Fred? "
"Fred","Answer: Mary passed the milk to Fred.  Question: Who","Who received the milk? "
"apple","What did she say to Arne? What","What did Mary give to Jeff? "
"apple","What did Jeff give to Mary? What did Jeff","What did Mary give to Jeff? "
"apple","(line 1)  Answer: The apple. Mary journeyed to the hallway.  Question: What","What did Fred give to Bill? "
"Jeff","(1)  Answer: Fred got the milk there.  Question: What was the confirmation hymn?","Who gave the milk to Fred? "
"Fred","Answer: God. Question: Who gave the apple to Eve? Answer: God. Question: Who","Who gave the apple to Mary? "
"Jeff","""Well, Smith, I judge by your brief answer that you are discomposed with this matter","Who received the football? "
"Jeff","Evidently to his honest, simple soul, St. By and by again he","Who did Mary give the football to? "
"milk","(1)  Answer: A kiss  Question: What did Mary give to Bill? (2)","What did Mary give to Bill? "
"Bill","A. The baby B. The dog C. The cat D. The hen  Question: What","Who did Mary give the milk to? "
"milk","Mary gave the milk to Bill.  Question: What","What did Mary give to Bill? "
"apple","(Fred gave Mary a ring.)  Answer: Fred gave Mary a ring.  Question: What did Mary","What did Fred give to Mary? "
"Mary","(1) Jeff. (2) Mary. (3) Jamie Green. (3) M","Who received the football? "
"apple","What did Bill give to Fred? Answer: Fred gave Bill a green-goods man. Bill gave","What did Fred give to Bill? "
"Jeff","Answer: Harry  Question: Who was the lucky fellow? Answer: Harry  Question: Who was","Who received the apple? "
"Bill","A","Who did Mary give the football to? "
"Fred","What did Jeff do with the milk? What did Jeff do with the milk? What did Jeff do","Who gave the milk to Jeff? "
"Mary","A. Burt B. Amy C. Maggie D.","Who received the milk? "
"Mary","A. Mary B. Fred C. John D. Jane  Question: Who was the public for","Who gave the milk? "
"milk","What did Mary give to Bill? What did Mary give to Bill? What","What did Bill give to Mary? "
"milk","What did Bill give to Jeff? Answer: Bill","What did Jeff give to Bill? "
"football","What did Fred give to Jeff?  Answer: Fred gave Jeff a book. Jeff gave Fred a pen","What did Jeff give to Fred? "
"Mary","Who","Who gave the football? "
"Mary","A) Bill B) John C) Tom D) Bob  Question: Who gave the apple to","Who gave the apple to Bill? "
"Fred","Fred. Why is a man like a letter? Because he is always first in the alphabet. Why","Who received the apple? "
"Mary","(line 14)  Answer: Mary","Who gave the milk to Bill? "
"milk","What did Jeff give to Mary? What did Mary give to Jeff? What did Jeff give to Mary","What did Mary give to Jeff? "
"Mary","Jeff","Who gave the milk? "
"Fred","Bill","Who gave the apple to Mary? "
"football","Answer: A diamond ring.  Question: What did Bill give to Mary? Answer: A diamond ring","What did Bill give to Mary? "
"apple","(1)  Answer: The apple.  Question: What did Mary discard? (1)  Answer:","What did Fred give to Mary? "
"apple","A) $6 50@6 90 B) $6 25 to 7 C","What did Fred give to Bill? "
"Jeff","Fred or Jeff?  Answer: Fred. He was the one who was feeding the baby. Jeff was","Who gave the milk? "
"Bill","What did she do with it? What did she do with the other apple? What did she do","Who did Mary give the apple to? "
"Fred","A) Fred B) Mary C) Judge Pennington D) General Sherman  Question: Who","Who gave the football to Mary? "
"milk","What did Fred do with it?  Answer: Fred drank the milk that Mary gave him. He drank","What did Mary give to Fred? "
"milk","What did Mary give to Fred? What did Fred","What did Fred give to Mary? "
"Mary","A. Reuben Tracy B. Horace Boyce C. Turner Turner D. John Fairchild","Who gave the football? "
"Fred","Answer: Fred. Question: Who was the first to say ""Dam""? Answer: Sir Wilfr","Who received the apple? "
"Mary","Who was the donor? Who was the donor? Who was the donor","Who gave the apple? "
"Fred","A) Fred B) Bill C) Tom D) None of these  Answer: A) Fred","Who gave the apple to Bill? "
"apple","(","What did Fred give to Bill? "
"Fred","Fred or Bill?  Answer: Fred received the apple. Mary went to the kitchen. _Hul","Who received the apple? "
"Fred","A. Bill B. Jeff C. Mary D. All of them  Answer: C  Question","Who received the milk? "
"Mary","(1)  Answer: Mary  Question: Who was the","Who received the football? "
"apple","(1) An apple (2) A brown paper parcel (3) A leather volume (4","What did Bill give to Mary? "
