"target","output","question"
"bathroom","where  for , procedure for  procedure for  procedure for  procedure for  procedure for","Where is Mary? "
"kitchen","procedure for  procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure","Where is Sandra? "
"kitchen","procedure for  procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure","Where is Mary? "
"kitchen","where,","Where is John? "
"bedroom","procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for","Where is Sandra? "
"office","where  procedure for this region, procedure for  procedure, procedure for procedure, procedure for procedure,","Where is John? "
"garden","where,","Where is Mary? "
"bathroom","where, procedure for  procedure, procedure for procedure, procedure for  procedure, procedure, procedure,","Where is Sandra? "
"kitchen","not","Where is Mary? "
"bedroom","where  procedure for  procedure, procedure for  procedure, procedure for  procedure, procedure for","Where is John? "
"office","procedure for  procedure for  procedure for  procedure for  procedure for  procedure for  procedure for","Where is Daniel? "
"office","where  procedure for  procedure, procedure for  procedure, procedure for  procedure, procedure for","Where is Daniel? "
"bathroom","where  procedure for  procedure, procedure for  procedure, procedure for  procedure, procedure for","Where is Mary? "
"bathroom","where, procedure for  procedure, procedure for  procedure, procedure for  procedure, procedure for","Where is Sandra? "
"bathroom","where","Where is Sandra? "
"hallway","not, none, none.","Where is Mary? "
"kitchen","procedure for  procedure  procedure for  procedure  procedure for  procedure  procedure for  procedure","Where is Sandra? "
"office","procedure for  procedure for procedure for  procedure for procedure for procedure for procedure for procedure for procedure for","Where is Daniel? "
"kitchen","procedure for procedure for procedure  procedure for procedure for procedure, procedure for procedure for procedure for procedure for","Where is Sandra? "
"bedroom","procedure for this procedure for  procedure for procedure for procedure for procedure for procedure for procedure for procedure for","Where is John? "
"hallway","where  for , re  for , re  for  re  re  for","Where is Sandra? "
"bedroom","point for  procedure for this point for  procedure for  procedure for  procedure for  procedure for","Where is Mary? "
"bedroom","procedure for  procedure for  procedure, procedure for  procedure for  procedure, procedure for  procedure","Where is John? "
"bedroom","where  procedure for  procedure, procedure for  procedure, procedure for procedure, procedure for procedure,","Where is Mary? "
"bedroom","procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for","Where is Mary? "
"garden","never,","Where is Mary? "
"bedroom","procedure for procedure for  procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure","Where is Daniel? "
"office","where  procedure for  procedure, procedure for  procedure, procedure for  procedure, procedure for","Where is Sandra? "
"office","where  procedure for  re  procedure  for  re  procedure  for  re  procedure","Where is Sandra? "
"garden","where","Where is Sandra? "
"garden","where, procedure  for  procedure, procedure  for  procedure, procedure  for  re","Where is Daniel? "
"bathroom","where  procedure, procedure for  procedure, procedure for  procedure, procedure for  procedure, procedure","Where is Mary? "
"office","procedure for  procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure","Where is Mary? "
"kitchen","procedure for  procedure for  procedure for  procedure for  procedure for  procedure for  procedure for","Where is Sandra? "
"garden","procedure for  procedure  procedure for  procedure  procedure for  procedure  procedure for  procedure","Where is Sandra? "
"kitchen","procedure for this region, procedure for  procedure for procedure, procedure for procedure, procedure for procedure,","Where is Sandra? "
"kitchen","procedure for  procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure","Where is Sandra? "
"garden","procedure for  procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure","Where is John? "
"garden","where  procedure  for  procedure  procedure  procedure  procedure  procedure  procedure  procedure","Where is Sandra? "
"bathroom","procedure for  procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure","Where is Sandra? "
"bedroom","where","Where is Mary? "
"kitchen","where  procedure for  procedure, procedure for  procedure, procedure for  procedure, procedure for","Where is Sandra? "
"office","where  procedure for  procedure  procedure for  procedure  procedure for  procedure  procedure  procedure","Where is Mary? "
"bedroom","where  procedure for this procedure, procedure for  procedure for procedure, procedure for procedure for procedure,","Where is Mary? "
"office","where, procedure for , procedure, procedure for , procedure, procedure, procedure, procedure,","Where is Daniel? "
"office","none,","Where is Sandra? "
"bathroom","none","Where is Sandra? "
"bedroom","where  procedure for this procedure, procedure for  procedure, procedure for  procedure, procedure for","Where is Sandra? "
"office","where  procedure for  procedure  procedure for  procedure  procedure  for  procedure  procedure","Where is Daniel? "
"bedroom","procedure for  procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure","Where is Sandra? "
"hallway","procedure for  procedure for procedure for  procedure for procedure for procedure for procedure for procedure for procedure for","Where is Daniel? "
"bedroom","where  procedure, procedure for  procedure, procedure  procedure, procedure  procedure, procedure  procedure","Where is Sandra? "
"office","where  procedure for this point, procedure for  procedure for procedure for  procedure for procedure for procedure","Where is John? "
"garden","procedure for this region, procedure for  procedure for procedure for procedure for procedure for procedure for procedure for","Where is John? "
"kitchen","procedure  procedure for which procedure, procedure for procedure, procedure for procedure, procedure for procedure, procedure","Where is Daniel? "
"hallway","procedure for  procedure, procedure for procedure, procedure for procedure, procedure for procedure, procedure for procedure","Where is Mary? "
"hallway","where","Where is Sandra? "
"hallway","where, procedure for , procedure, procedure for , procedure, procedure for procedure, procedure for","Where is John? "
"bedroom","where  procedure, procedure for  procedure, procedure  procedure, procedure  procedure, procedure  procedure","Where is Mary? "
"bedroom","procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for","Where is Sandra? "
"bedroom","for which  statement, which  none  which  which  which  procedure  where  which","Where is Daniel? "
"kitchen","where  procedure for  procedure  where  procedure  for  procedure  where  procedure  for","Where is Sandra? "
"bedroom","where  for , re  procedure  for  re  re  re  re  re","Where is Daniel? "
"garden","where, procedure for  procedure, procedure for procedure, procedure for procedure, procedure for procedure, procedure","Where is John? "
"bathroom","none, procedure  for which, procedure, procedure  for which, procedure, procedure, procedure,","Where is Sandra? "
"garden","procedure for  procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure for procedure","Where is Sandra? "
"office","none","Where is Daniel? "
