"target","output","question"
"kitchen","Answer: In the house. Question: Where is John? Answer: In the house. Question:","Where is John? "
"bathroom","Answer: Sandra is in the room with the boys. Question: What is the name of the man","Where is Sandra? "
"office","Answer: In the lion's den. Question: Where is Osteopathy? Answer: In","Where is Daniel? "
"hallway","Answer: In the garden. Question: Where is Mary? Answer: In the garden. Question","Where is Mary? "
"bedroom","Answer: In the bedroom. Question: What is the time? Answer: 2 a.m.","Where is John? "
"bedroom","Answer: In the kitchen. Question: Where is         Mary? Answer: In the kitchen.","Where is Mary? "
"office","Answer: In the churchyard of Hales Owen.  Question: Where is the urn? Answer:","Where is Sandra? "
"bathroom","What is she doing?  Answer: Mary is in the kitchen. She is making a fire.  Question","Where is Mary? "
"kitchen","What is she doing? What is she thinking about?  </question>  </section>  </section>","Where is Sandra? "
"bathroom","Answer: She is in the garden. Question: Where is the garden? Answer: It is","Where is Sandra? "
"bedroom","Where is Mary? Where is Mary? Where is Mary? Where is Mary? Where is Mary?","Where is Mary? "
"bedroom","Where is Sandra?  Answer: She is in the chamber of the beasts.  Question: Where is Sandra","Where is Sandra? "
"bedroom","Answer: In the bathroom. Question: What is she doing? Answer: She is washing her","Where is Sandra? "
"hallway","Answer: In the hallway. Question: What is      she doing? Answer: She is standing","Where is Mary? "
"bedroom","What is she doing?  Answer: Sandra is in the office. She is looking at the map of","Where is Sandra? "
"garden","Answer: In the garden. Question: What is the house like? Answer: It is a","Where is John? "
"bedroom","Answer: In the kitchen. Question: What is she doing? Answer: Making bread. Question","Where is Mary? "
"kitchen","Answer: In the kitchen. Question: Where is Mary? Answer: In the bedroom. Question:","Where is Daniel? "
"office","Answer: He is in the garden. Question: Where is John? Answer: He is in the","Where is John? "
"bathroom","Answer: In the garden. Question: What is he doing? Answer: He is weaving a coc","Where is John? "
"bathroom","Answer: In the Apocrypha. Question: Where is Ezekiel? Answer:","Where is Daniel? "
"bedroom","What is he doing? What is he thinking about?  Answer: John is in the bedroom. He","Where is John? "
"bedroom","Answer: In the bedroom. Question: What is he doing? Answer: He is travelling.","Where is Daniel? "
"hallway","What is she doing? What is she thinking about?  </question>  </section>  <section>  </","Where is Sandra? "
"garden","Answer: In the kitchen. Question: What is Sandra doing? Answer: She is making","Where is Sandra? "
