target,output,question
Jeff,Fred,Who did Fred give the football to? 
Bill,"milk
the garden, and a garden, and a garden, and a garden, and a garden",Who did Mary give the milk to? 
Jeff,"Mary.
She milked Fred
She milked Fred
She milked Fred
She milked",Who did Fred give the milk to? 
milk,"milk
Fred milk
Jeff got the milk. But
Tone, and it was granted.""",What did Mary give to Fred? 
Fred,"Mary passed the milk to Fred. Fouquier-Tinville satirically asked. ""At the",Who received the milk? 
apple,"apple
Baby's face. Mary took the apple there. he cried, as he stared intently",What did Mary give to Jeff? 
apple,"""I'm a
woman."" ""I'm a man."" ""I'm a woman."" """,What did Mary give to Jeff? 
apple,"Fred garden. Mary
     public benefit. Mary garden. Fred
     public benefit. Mary hallway",What did Fred give to Bill? 
Jeff,"Mary
Bishop in open church in the parish where the
Candidate's fitness. This throws upon",Who gave the milk to Fred? 
Fred,"Fred office. ""I am so glad you think
so!"" This sort of thing must stop,",Who gave the apple to Mary? 
Jeff,"Fred
Question: Who received the football? Fred
Question: Who received the football? Fred",Who received the football? 
Jeff,"Fred
Fred office Fred office Fred office Fred office Fred office Fred office Fred office Fred office Fred office",Who did Mary give the football to? 
milk,"milk
I'm too weak to set one foot before the
other. and--and a piece",What did Mary give to Bill? 
Bill,"Mary's
fiddle outside."" I've laid in a French port--""
Alloose--",Who did Mary give the milk to? 
milk,"milk
What did Mary give to Bill? milk
What did Mary give to Bill? milk",What did Mary give to Bill? 
apple,"apple
Fred Fred give to Mary? apple",What did Fred give to Mary? 
Mary,"Mary. Jeff
and we have been happy. We
have done our best to be happy,",Who received the football? 
apple,Fred,What did Fred give to Bill? 
Jeff,"Fred
Fred's office
Fred's office
Fred's office
Fred's office
Fred's",Who received the apple? 
Bill,Fred office,Who did Mary give the football to? 
Fred,"garden
""Where is a man who set out
to gratify his own curiosity has never been",Who gave the milk to Jeff? 
Mary,Fred,Who received the milk? 
Mary,"Fred
Fred milk",Who gave the milk? 
milk,"milk. Jeff, a. H., Moulton Eaugate, Spalding, L",What did Bill give to Mary? 
milk,"Fred
and made him reluctant
to re-enter the service of his Sovereign. Fred journeyed",What did Jeff give to Bill? 
football,"milk
Fred milk
Fred milk
Fred milk
Fred milk
Fred milk
Fred milk",What did Jeff give to Fred? 
Mary,"Mary
apple there. To believe, however, that there are no
exceptions to this rule would",Who gave the football? 
Mary,Fred,Who gave the apple to Bill? 
Fred,"Mary
Question: Who gave the apple? Mary
Question: Who received the apple? Mary",Who received the apple? 
Mary,"Mary
Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the milk to Bill? 
