"target","output","question"
"bathroom","Pauline went and and and and and and and and and and and and and and and and and","Where is Mary? "
"bedroom","*       *       *       *       *       *       *       *       *       *","Where is Sandra? "
"kitchen","--Ver. 'Quis quisquequequequequequequequequequequeque","Where is Mary? "
"bathroom","Alfred was these words. ""The rest of the story is these words. ""The rest of the","Where is Mary? "
"kitchen","Answer: Sandra is in the bathroom. Question: Where is the bathroom? Answer: The bathroom is","Where is Sandra? "
"hallway","Answer: Sandra moved to the hallway. CCLIV./--_Of Colours._   /The","Where is Sandra? "
"bedroom","Answer: Mary is these days these days these days these days these days these days these days these days","Where is Mary? "
"office","Answer: She is in the bathroom. Question: Where is the bathroom? Answer: It is in","Where is Sandra? "
"office","Answer: She is in the garden. Question: Where is John? Answer: He is in the","Where is Mary? "
"kitchen","What is she doing?  Answer: She went back to the kitchen. Wood escaped, and after getting","Where is Sandra? "
"bedroom","CHAPTER 2. Morton journeyed to Loudon-hill, and and and and and and","Where is Mary? "
"office","Answer: Daniel is in the garden. Question: Where is Mary? Answer: Mary is in the","Where is Daniel? "
"office",""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""","Where is Daniel? "
"office","--Where is John?--Where is John?--Where is John?--Where is John?","Where is John? "
"hallway","GAS FURNACE  Daniel went back to the bathroom. Sandra was these air,","Where is Sandra? "
"bedroom","Where is the Iron Brigade? Where is the superb Confederates under Pickett? Where","Where is Daniel? "
"bathroom","Answer: She is in the next room.  <question>Where is Ans,--""The banners","Where is Sandra? "
"garden","Where is Vesta? Where is Vesta? Where is Vesta? Where is Vesta?","Where is Sandra? "
"bedroom","Answer: At Whitehall, 1685. Recollecting the Gunpowder Plot, and","Where is John? "
"hallway","Where is Mary? Where is Mary? Where is Mary? Where is Mary? Where is Mary?","Where is Mary? "
"hallway","Answer: John is in the hallway. Question: Where is the bottle? Answer: The bottle is","Where is John? "
"bathroom","CHAPTER 1. Morton--Burley--Burley--Morton--Burley--M","Where is John? "
"office","Answer: She is in the bathroom. Question: Where is Mary? Answer: She is in the","Where is Mary? "
"hallway","C. Morton, Lower Burrow, Scotforth, Lancs. Blundell, John,","Where is John? "
"garden","Answer: Sandra travelled to the garden. It was while matters were in this preliminary stage that","Where is Sandra? "
