target,output,question
kitchen,Mary,Where is the football? 
garden,Mary? Mary? Mary? Mary? Mary? Mary? Mary? Mary? Mary? Mary?,Where is the milk? 
bedroom,"Mary, and the body of the dead. John got the milk there. The word broke uncontroll",Where is the apple? 
bedroom,Mary,Where is the apple? 
kitchen,Mary,Where is the apple? 
hallway,garden,Where is the apple? 
kitchen,Bill,Where is the milk? 
garden,"I said, turning to our friend the manager, who had taken his seat beside me. ""Yes",Where is the milk? 
bedroom,office,Where is the milk? 
bathroom,"Mary, milk, milk, milk! Mary, milk, milk, milk, milk, milk,",Where is the milk? 
bathroom,Mary,Where is the football? 
bedroom,"Mary, and I eat the football. Mary, and I eat the football. Mary, and I",Where is the milk? 
bathroom,Mary,Where is the apple? 
kitchen,"Mary, but not the football. ""And yet I heard one of the French sailors say that he",Where is the football? 
bedroom,"""Which the touch of a finger alone sets moving,
  But all earth's powers cannot shake from",Where is the apple? 
garden,"Mary, and the Colonel, and the Colonel, and the Colonel, and the Colonel, and the",Where is the apple? 
bedroom,Mary,Where is the football? 
bedroom,Mary,Where is the apple? 
garden,Milk? Milk? Milk? Milk? Milk? Milk? Milk? Milk? Milk? Milk?,Where is the milk? 
garden,It is the milk? It is the milk? It is the milk? It is the milk?,Where is the milk? 
office,"Mary. About the time of day I was born, and the time of day I was born,",Where is the apple? 
bedroom,office,Where is the milk? 
garden,Mary,Where is the milk? 
bathroom,Mary,Where is the milk? 
office,Sandra? It was in the kitchen. John? It was in the bathroom. Daniel? It was,Where is the apple? 
garden,bathroom,Where is the football? 
garden,Mary,Where is the football? 
bedroom,"Mary is ill this morning, and Uncle is not only a little bit of a question of Mary's",Where is the apple? 
hallway,Mary? Mary? Mary? Mary? Mary? Mary? Mary? Mary? Mary? Mary?,Where is the apple? 
hallway,"Maggie, and the football there. She was so
ambitious, and so fond of books.",Where is the apple? 
hallway,"""To--to--f--to--f--to--f--to--f--to",Where is the apple? 
garden,"""And now,"" said she, with a total change of manner, ""I wish to
address",Where is the football? 
hallway,bathroom,Where is the apple? 
kitchen,Mary,Where is the football? 
hallway,"Sandra, and the other maids, and we will give them a safe conduct, and send them",Where is the milk? 
kitchen,"He is the priest above mentioned, who treated me so cruelly. The floor
being uncar",Where is the apple? 
office,Garden? Garden? Garden? Garden? Garden? Garden? Garden? Garden? Garden? Garden?,Where is the milk? 
hallway,Mary,Where is the milk? 
bathroom,"At all which my heart is above measure
glad; for my Lord's honour, and some",Where is the milk? 
bathroom,"Mary, and the color of the milk? Mary, and the color of the milk? Mary,",Where is the milk? 
bathroom,football? football? football? football? football? football? football? football? football? football?,Where is the football? 
hallway,Mary went to the garden. Mary went to the garden. Mary went to the garden. Mary went,Where is the football? 
garden,Mary went back to the bedroom. The very Bay seemed to be gathered up and dashed over the Point,Where is the apple? 
bedroom,Mary,Where is the apple? 
kitchen,"Sandra, and the milk? John, and the milk? Sandra, and the milk? John,",Where is the milk? 
bedroom,Mary,Where is the milk? 
hallway,Mary,Where is the apple? 
garden,"""I understand you--the convent,"" said her father. Sandra discarded the milk. ""But,",Where is the milk? 
kitchen,Mary,Where is the football? 
bathroom,Mary,Where is the football? 
garden,John? Garden? Garden? Garden? Garden? Garden? Garden? Garden? Garden? Garden?,Where is the milk? 
bedroom,Garden,Where is the apple? 
hallway,Mary put down the football. Sandra took the apple there. Sandra took the apple there. Sandra took,Where is the milk? 
hallway,"Sandra? Or, if a path be dangerous known,
    The danger's self is lure alone.""",Where is the milk? 
office,Mary? Milk? Milk? Milk? Milk? Milk? Milk? Milk? Milk? Milk?,Where is the milk? 
kitchen,Mary? Mary? Mary? Mary? Mary? Mary? Mary? Mary? Mary? Mary?,Where is the apple? 
bathroom,Mary,Where is the milk? 
bathroom,office? office? office? office? office? office? office? office? office? office?,Where is the milk? 
office,Mary,Where is the football? 
garden,garden,Where is the football? 
kitchen,Daniel? Milk? Milk? Milk? Milk? Milk? Milk? Milk? Milk? Milk?,Where is the milk? 
bathroom,Mary? Mary? Mary? Mary? Mary? Mary? Mary? Mary? Mary? Mary?,Where is the apple? 
office,Garden,Where is the football? 
bathroom,Milk? Milk? Milk? Milk? Milk? Milk? Milk? Milk? Milk? Milk?,Where is the milk? 
hallway,"Mary, the football is the football? Mary, the football is the football? Mary, the football",Where is the football? 
hallway,Mary? bedroom,Where is the milk? 
bathroom,Mary,Where is the apple? 
office,Mary,Where is the apple? 
bedroom,Mary,Where is the milk? 
kitchen,Sandra? Football? Football? Football? Football? Football? Football? Football? Football? Football?,Where is the football? 
office,"Thee, and the earth is not a part of the body of the earth, but the body",Where is the milk? 
garden,"""I'm going to the mountain, but I'm going to the mountain, but I'm going",Where is the apple? 
kitchen,Mary,Where is the football? 
garden,garden,Where is the football? 
garden,Mary went to the bedroom. Fred went to the bedroom. Mary went to the bedroom. Fred went,Where is the football? 
kitchen,"The Queen was said, had been, with La Fayette, an
accomplice in the journey",Where is the apple? 
office,Sandra? Sandra? Sandra? Sandra? Sandra? Sandra? Sandra? Sandra? Sandra? Sandra?,Where is the football? 
office,"""I saw the man at the menagerie giving them apples, but they greatly fear the gun",Where is the milk? 
hallway,Think of the football? Think of the football? Think of the football? Think of the football?,Where is the football? 
bathroom,Mary,Where is the football? 
office,But the football? But the football? But the football? But the football? But the football?,Where is the football? 
office,"He said. Rudolph, sitting in the mud, felt only that his eyes were
dry and",Where is the apple? 
hallway,Mary,Where is the apple? 
office,apple,Where is the apple? 
office,office,Where is the milk? 
bathroom,Mary,Where is the apple? 
bathroom,Mary,Where is the football? 
bedroom,"Mary, and the milk? John, and the milk? Mary, and the milk? John,",Where is the milk? 
hallway,"Mary, Paul’s at Rome,            525

 406. Paul’s at Rome,",Where is the milk? 
hallway,Daniel? Daniel? Daniel? Daniel? Daniel? Daniel? Daniel? Daniel? Daniel? Daniel?,Where is the apple? 
garden,Mary,Where is the milk? 
hallway,Mary,Where is the football? 
bedroom,"Arthur Wilmersley--may his wife! ""The old story--"" began Cyril, but",Where is the football? 
bedroom,Mary went to the office. It was lonesome for us to sit down to the office.,Where is the football? 
kitchen,John? football? football? football? football? football? football? football? football? football?,Where is the football? 
kitchen,"Without further hesitation he twined his fingers around the roots above him, and half pulled himself along until",Where is the football? 
office,"Mary, who is the milk there. Mary, who is the milk there. Mary, who is",Where is the milk? 
bedroom,Mary,Where is the milk? 
kitchen,Mary,Where is the apple? 
hallway,Mary,Where is the apple? 
