"target","output","question"
"kitchen","Answer: In the garden. Question: What is she doing? Answer: Pruning the fruit","Where is Mary? "
"garden","Answer: She is in the camp. Question: What      is the state of affairs? Answer","Where is Mary? "
"office","Answer: Where is Daniel? Question: Where is Daniel? Answer: Where is Daniel? Question","Where is Daniel? "
"bathroom","Answer: She is in the kitchen. Question: What is she doing? Answer: She is","Where is Sandra? "
"kitchen","Answer: Sandra is in the kitchen. Question: What is Sandra doing? Answer: Sandra is","Where is Sandra? "
"bedroom","Answer: In the bedroom. Question: Why is John in the bedroom? Answer: Because","Where is John? "
"bedroom","Answer: He is gone to the country. Question: Where is he going? Answer: He is","Where is Daniel? "
"garden","Answer: In the wilderness. Question: Where is the Church? Answer: In the wilderness. Question","Where is Daniel? "
"garden","Answer: In the Gulf of Mexico. Question: What is the difference between skim-milk and","Where is Sandra? "
"garden","Answer: She is in the den of lions. Question: Who put her there? Answer:","Where is Sandra? "
"office","Answer: She is in the garden. Question: Where is Mary's husband? Answer: He","Where is Mary? "
"bathroom","Answer: In the office. Question: What is Sandra doing? Answer: She is writing.","Where is Sandra? "
"hallway","Answer: He is in the counting-room of Barton & Rogers. Question: What is he doing?","Where is Daniel? "
"kitchen","Answer: Daniel is in the Bible. Question: Where is Daniel? Answer: Daniel is in","Where is Daniel? "
"bedroom","Answer: She is gone to the Low Country. Question: What is the Low Country? Answer","Where is Mary? "
"bedroom","Answer: He is in New York. Question: How long will he stay? Answer: Until he","Where is Daniel? "
"office","Answer: He is gone. Question: Where is Mary? Answer: She is gone. Question:","Where is Daniel? "
"office","Answer: Wherever he is. Question: Where is John? Answer: Wherever he is","Where is John? "
"bathroom","Answer: She is in the State of California, and, in the State of California, she","Where is Sandra? "
"office","Answer: She is in the kitchen. Question: Where is Sandra? Answer: She is in the","Where is Sandra? "
"hallway","Answer: In the cornfield. Question: What is Daniel doing? Answer: Eating corn.","Where is Daniel? "
"garden","Answer: In the kitchen. Question: Where is Sam? Answer: In the kitchen. Question","Where is John? "
"office","Answer: In the country. Question: Where is John? Answer: In the country. Question","Where is John? "
"bedroom","Answer: He is in the woods. Question: Where is Frida? Answer: She is","Where is Daniel? "
"office","Answer: In the country. Question: Where is John? Answer: In the country. Question","Where is John? "
