"target","output","question"
"bedroom","Answer: In the kitchen. Question: Where is the strong box? Answer: In the bedroom","Where is the apple? "
"kitchen","Answer: In the bathroom. Question: Where is the bathroom? Answer: In the kitchen. Question","Where is the milk? "
"bathroom","Answer: In the middle of the dispensary. Question: Where is the dispensary?","Where is the football? "
"bedroom","Answer: Where is the apple? Question: Where is the apple? Answer: Where is the apple","Where is the apple? "
"garden","Answer: In the moon. Question: Where is the moon? Answer: In the milk. Question","Where is the milk? "
"garden","Answer: In the refrigerator. Question: Where is the butter? Answer: In the ice-box.","Where is the milk? "
"garden","Answer: Where is the football? Question: Where is the football? Answer: Where is the football","Where is the football? "
"hallway","Answer: Where is the apple? Question: Where is the apple? Answer: Where is the apple","Where is the apple? "
"hallway","Answer: Where is the milk? Question: Where is the milk? Answer: Where is the milk","Where is the milk? "
"bathroom","Answer: Where is the milk? Question: Where is the milk? Answer: Where is the milk","Where is the milk? "
"garden","Answer: It is in the garden. Question: Where is the knife? Answer: It is in","Where is the apple? "
"hallway","Answer: In the kitchen. Question: Where is the kitchen? Answer: In the garden. Question","Where is the apple? "
"garden","Answer: At the dairy. Question: Where is the dairy? Answer: At the farm","Where is the milk? "
"office","Answer: In the tin box. Question: Where is the bread? Answer: In the tin box","Where is the milk? "
"office","Answer: Where is the football? Question: Where is the football? Answer: Where is the football","Where is the football? "
"garden","Answer: In the bathroom. Question: Where is the football? Answer: In the bathroom. Question","Where is the football? "
"bedroom","Answer: In the woods. Question: Where is the baseball? Answer: In the woods. Question","Where is the football? "
"garden","Answer: In the milk. Question: Where is the milk? Answer: In the milk. Question","Where is the milk? "
"garden","Answer: It is in the garden. Question: Where is the garden? Answer: It is in","Where is the football? "
"kitchen","Answer: It is in the bathroom. BY                        MRS. MADELINE LESLIE,","Where is the apple? "
"office","Answer: In the refrigerator. Question: Where is the refrigerator? Answer: In the basement. Question","Where is the apple? "
"bathroom","Answer: It is not long before John drops the apple. It is not long before John drops the","Where is the apple? "
"bedroom","Answer: Where is the apple? Question: Where is the apple? Answer: Where is the apple","Where is the apple? "
"bedroom","Answer: Where is the apple? Question: Where is the apple? Answer: Where is the apple","Where is the apple? "
"bedroom","Answer: In the bedroom. Question: Where is the milk? Answer: In the bedroom. Question","Where is the milk? "
