"target","output","question"
"milk","What did Fred do with the milk? What did Fred do with the milk? What did Fred do","What did Mary give to Fred? "
"apple","Answer:   Answer:   Answer:   Answer:   Answer:   Answer:   Answer","What did Fred give to Bill? "
"Jeff","The answer is Jeff.   Okay, let's try to figure out who Mary gave the football to","Who did Mary give the football to? "
"apple","Answer: Mary received the apple from Fred. At a little distance stood a small, white house.","What did Fred give to Mary? "
"Bill","Question: Who did Mary give the football to?   Question: Who did Mary give the football","Who did Mary give the football to? "
"milk","What did Mary give to Bill? What did Bill give to Mary? What did Mary give to Bill","What did Bill give to Mary? "
"Mary","Question:   Question:   Question:   Question:   Question:   Question:   Question","Who gave the apple to Bill? "
"Mary","Answer:   The answer is Jeff.   The context states that Jeff dropped the milk.","Who gave the milk? "
"apple","What did Fred give to Bill? What did Fred give to Bill? What did Fred give to Bill","What did Fred give to Bill? "
"milk","Answer: Mary gave Fred the milk. The context describes Mary handing the milk to Fred. The context","What did Mary give to Fred? "
"Mary","The answer is Mary. Okay, let me try to figure this out. The user is asking ""","Who gave the apple? "
"Fred","To answer this question, we need to find the last action involving the milk. The last action involving","Who received the milk? "
"apple","Answer: The same process is used, except that No. 1 primes and cocks, and","What did Fred give to Bill? "
"Jeff","To answer the question, we need to find the name of the person who gave the football. In","Who gave the football? "
"Jeff","The answer is Jeff. Okay, let's try to figure out who Bill gave the milk to.","Who did Bill give the milk to? "
"Jeff","The answer is Jeff. Okay, let's try to figure out who Bill gave the apple to.","Who did Bill give the apple to? "
"apple","Answer: The apple. Jeff travelled to the hallway. Mary gave the apple to Fred. But this","What did Mary give to Fred? "
"Bill","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer:","Who did Jeff give the football to? "
"Bill","Answer:   Answer:   Answer:   Answer:   Answer:   Answer:   Answer","Who did Fred give the milk to? "
"football","Answer: football   Question: What did Mary give to Fred?   Answer: football   Question","What did Mary give to Fred? "
