"target","output","question"
"Bill","Answer: Bill. Question: Who did Bill pass the milk to? Answer: Mary. Question:","Who did Mary give the milk to? "
"apple","Answer: The apple. Question: What did Jeff give to Mary? Answer: The apple. Question","What did Mary give to Jeff? "
"Fred","Answer: The apple was given to Mary by the Queen, who was present at the time.","Who gave the apple to Mary? "
"Bill","Answer: Bill. ""I was only a freshman then, but I was a sophomore now. I","Who did Mary give the milk to? "
"apple","Answer: Fred gave the apple to Bill. Question: What did Jimmie say? Answer: Jim","What did Fred give to Bill? "
"Mary","Answer: Mary. Question: Who gave the milk? Answer: Fred. Question: Who drank the","Who received the milk? "
"football","January, the first day of the new year, is a fine one. The caterpill","What did Jeff give to Fred? "
"Mary","I think it was Mary Mundy. She was a very old church, and a pretern","Who gave the milk to Bill? "
"football","Answer: The apple.","What did Bill give to Mary? "
"Bill","Answer: Bill. Question: Who did Bill give the apple to? Answer: Mary. Question:","Who did Mary give the apple to? "
"Mary","Answer: Fred. Fred handed the football to Mary. Mary handed the football to Fred. Fred handed","Who gave the football? "
"apple","Answer: The apple.","What did Fred give to Bill? "
"apple","Answer: Bill gave Mary a kiss.","What did Bill give to Mary? "
"milk","Answer: Jeff gave the milk to Fred.","What did Jeff give to Fred? "
"Mary","Answer: Eleanor. Question: Who gave the football? Answer: Gertrude. Question: Who","Who received the football? "
"Jeff","Answer: Jeff. Question: Who took the football from Fred? Answer: Jeff. Question: Who","Who gave the apple to Fred? "
"Jeff","Answer: Jeff.","Who received the apple? "
"Jeff","Answer: Jeff.","Who gave the apple? "
"apple","What did Bill give to Mary? What did Mary give to Bill? What did Bill give to Mary","What did Mary give to Bill? "
"Jeff","(1)","Who gave the apple? "
"football","Answer: The football. Question: What did Peter give to Beulah? Answer: The once","What did Jeff give to Mary? "
"Bill","Answer: Bill.","Who gave the milk to Mary? "
"Fred","Answer: Fred. Question: Who did Bill give the milk to? Answer: Fred. Question:","Who did Bill give the milk to? "
"Bill","Bill, ""I don't know, but I think it was Mr. Raymond."" ""I don","Who did Jeff give the apple to? "
"Fred","Fred, I think. I'm sure he did. I'm sure he did. I'm sure","Who gave the milk? "
