"target","output","question"
"bathroom","Mary is in the bathroom. Mary is in the bathroom. Mary is in the bathroom.","Where is Mary? "
"kitchen","Answer: She’s in the kitchen.  Question: Where is John? Answer: He’s in the","Where is Sandra? "
"kitchen","Answer: Mary is in the kitchen.  Question: Where is Mary? Answer: Mary is in the","Where is Mary? "
"kitchen","Answer: In the garden.  Question: Where is Daniel? Answer: In the office.  Question:","Where is John? "
"bedroom","Answer: She's in the kitchen. Question: Where is Mary? Answer: She's in the","Where is Sandra? "
"office","He's in the office.  Answer: He's in the office.  Question: Where is Eleanor?","Where is John? "
"garden","Answer: Mary is in the kitchen.      “Mary is in the kitchen,”  as a sub","Where is Mary? "
"bathroom","Answer: In the bathroom.  Question: Where is the bathroom? Answer: In the kitchen.  Question","Where is Sandra? "
"kitchen","Answer: Mary is in the kitchen.  Question: Where is Mary? Answer: Mary is in the","Where is Mary? "
"bedroom","Answer: He's in the bedroom.  Question: Where is Dan? Answer: He's in the","Where is John? "
"office","Answer: He is in the garden. Question: Where is the garden? Answer: It is in","Where is Daniel? "
"office","Mary went back to the hallway. EMIL GRELIEU  Mary went back to the hallway","Where is Daniel? "
"bathroom","Mary is in the bathroom. Mary went to the bathroom. Mary went to the bathroom. Mary went","Where is Mary? "
"bathroom","Answer: In the bathroom. *       *       *       *       *  OUR BOOKING-OFF","Where is Sandra? "
"bathroom","Answer: She's in the bathroom. Question: Where is Jimmy? Answer: He's in the","Where is Sandra? "
"hallway","Answer: Mary moved to the hallway.  Question: Where is Mary? Answer: Mary moved to the","Where is Mary? "
"kitchen","Answer: In the kitchen. Question: Where is Coningsby? Answer: In the garden.","Where is Sandra? "
"office","Answer: In the bedroom, with his face toward the door, and his arm in her","Where is Daniel? "
"kitchen","Where is Mary? Where is Dick? Where is Ruby?  Answer: Mary is in the kitchen","Where is Sandra? "
"bedroom","Mary went to the bathroom. John went back to the bedroom. Mary went to the bathroom. John","Where is John? "
"hallway","Answer: In the bedroom. Question: Where is Daniel? Answer: In the bedroom. Question:","Where is Sandra? "
"bedroom","Answer: Mary is in the hallway.  Question: Where is John? Answer: John is in the","Where is Mary? "
"bedroom","Answer: He moved to the bedroom.  Question: Where is Daniel? Answer: He went to the","Where is John? "
"bedroom","Answer: Mary is in the kitchen.  Question: Where is Mary? Answer: Mary is in the","Where is Mary? "
"bedroom","Answer: She's in the kitchen.  Question: Where is Mary? Answer: She's in the","Where is Mary? "
"garden","Mary is in the garden. Mary is in the garden. Mary is in the garden. Mary is","Where is Mary? "
"bedroom","Where is Dick?  Answer: Daniel is in the bedroom. Dick is in the bedroom.  Question:","Where is Daniel? "
"office","Answer: She's gone to the office.  Question: Where is Mary? Answer: She's gone","Where is Sandra? "
"office","Mary? Daniel? Plato? Phocion?  Answer: In the bathroom.  Question: Where is","Where is Sandra? "
"garden","Answer: She's in the kitchen.  Question: Where is Cissy? Answer: She's in","Where is Sandra? "
"garden","Where is he?  Answer: He is in the hallway.  Question: Where is he?  Answer:","Where is Daniel? "
"bathroom","Answer: Mary is in the garden.  Mary is in the garden.  Mary is in the garden.","Where is Mary? "
"office","Answer: Mary is in the kitchen. Question: Where is Mary? Answer: Mary is in the","Where is Mary? "
"kitchen","Answer: In the kitchen.  Question: Why is she in the kitchen? Answer: Because she's","Where is Sandra? "
"garden","Answer: In the kitchen. Question: Where is Fred? Answer: In the garden. Question:","Where is Sandra? "
"kitchen","Answer: She's in the kitchen.  Question: Where is Daniel? Answer: He's in the","Where is Sandra? "
"kitchen","Answer: In the kitchen.  Question: Where is Mary? Answer: In the bedroom.  Question:","Where is Sandra? "
"garden","Mary went back to the bedroom. Mary went back to the bedroom. Mary went back to the bedroom","Where is John? "
"garden","Answer: In the kitchen. Question: Where is the garden? Answer: In the garden. Question","Where is Sandra? "
"bathroom","She's in the bathroom.  <Context>  <Context>  <Context>  <Context>  <Context","Where is Sandra? "
"bedroom","Answer: She's in the kitchen.  Question: Where is Mary? Answer: She's in the","Where is Mary? "
"kitchen","Answer: She is in the garden.  Question: Where is the garden? Answer: It is in","Where is Sandra? "
"office","Answer: Mary is in the kitchen.  Question: Where is Mary? Answer: Mary is in the","Where is Mary? "
"bedroom","Answer: Mary is in the bedroom.  Question: Where is John? Answer: John is in the","Where is Mary? "
"office","Answer: He's in the office. Question: Where is Fred? Answer: He's in the","Where is Daniel? "
"office","Answer: She went to the bathroom.  Question: Where is Uncle Silas? Answer: He's","Where is Sandra? "
"bathroom","Where is Mary? Where is John?  Answer: Sandra is in the bathroom. Mary is in the","Where is Sandra? "
"bedroom","Answer: In the garden.  Question: Where is John? Answer: In the bedroom.  Question:","Where is Sandra? "
"office","Answer: He's in the office.  Question: Where is John? Answer: He's in the","Where is Daniel? "
"bedroom","Where is she?  Answer: She is in the garden, where she is.  Question: Where is","Where is Sandra? "
