"target","output","question"
"Jeff",". ""What, "", he asked himself, ""the the, ""the, ""the","Who did Fred give the football to? "
"Fred",",,,,,,,,,,,,,,,,,,,,","Who received the milk? "
"Jeff",",,,,,,,,,,,,,,,,,,,,","Who gave the milk to Fred? "
"milk",",,,,,,,,,,,,,,,,,,,,","What did Mary give to Bill? "
"Mary",",,,,,,,,,,,,,,,,,,,,","Who received the football? "
"Fred",",,,,,,,,,,,,,,,,,,,,","Who gave the milk to Jeff? "
"milk",",,,,,,,,,,,,,,,,,,,,","What did Jeff give to Bill? "
"Fred",",,,,,,,,,,,,,,,,,,,,","Who received the apple? "
"Fred",".     and,,,,,,,,,,,,,,,,,","Who gave the apple to Mary? "
"Jeff",",,,,,,,,,,,,,,,,,,,,","Who gave the milk? "
"milk",",,,,,,,,,,,,,,,,,,,,","What did Fred give to Mary? "
"Fred",",,,,,,,,,,,,,,,,,,,,","Who gave the apple to Bill? "
"Mary",",,,,,,,,,,,,,,,,,,,,","Who received the football? "
"apple",", and,,,,,,,,,,,,,,,,,,","What did Fred give to Bill? "
"Bill",",,,,,,,,,,,,,,,,,,,,","Who gave the football to Fred? "
"Fred",", “their,,,,,,,,,,,,,,,,","Who gave the football to Jeff? "
"milk",",,,,,,,,,,,,,,,,,,,,","What did Mary give to Fred? "
"Bill",",,,,,,,,,,,,,,,,,,,,","Who did Fred give the apple to? "
"Fred",",,,,,,,,,,,,,,,,,,,,","Who gave the milk? "
"Bill",",,,,,,,,,,,,,,,,,,,,","Who gave the apple? "
"Mary",",,,,,,,,,,,,,,,,,,,,","Who did Jeff give the apple to? "
"Mary",",,,,,,,,,,,,,,,,,,,,","Who gave the milk? "
"milk",",,,,,,,,,,,,,,,,,,,,","What did Fred give to Bill? "
"Bill",", ""the,,,,,,,,,,,,,,,,,","Who gave the football to Jeff? "
"Mary",",,,,,,,,,,,,,,,,,,,,","Who gave the milk to Jeff? "
