"target","output","question"
"Bill","Answer: Bill.  Question: Who is the American? Answer: The American spent many weeks and much","Who did Mary give the milk to? "
"milk","Answer: apple Question: Who gave the football? Answer: Jeff Question: What did Fred","What did Mary give to Fred? "
"apple","What did Jeff give to Amy? What did Amy give to Amy? What did Jeff give to Amy","What did Mary give to Jeff? "
"apple","Answer: Fred gave Bill a pipe. Jeff went to the office. Jeff went back to the office","What did Fred give to Bill? "
"Fred","Answer: Bill.  Question: Who was the best singer? Answer: Mary.  Question: Who was","Who gave the apple to Mary? "
"Jeff","Jeff. Mary passed the football to Jeff. Mary passed the football to Jeff. Mary passed the football","Who did Mary give the football to? "
"Bill","Answer: Fred  Question: Who did Mary give the apple to? Answer: Fred  Question:","Who did Mary give the milk to? "
"apple","Answer: An apple.  Question: What did Fred give to Bill? Answer: A football.  Question","What did Fred give to Mary? "
"apple","Answer: Fred journeyed to the garden. “What are you doing here?” demanded the boy.","What did Fred give to Bill? "
"Bill","Answer: Mary gave the football to her brother John.  Question: Who did Mary give the football to","Who did Mary give the football to? "
"Mary","Answer: Bill Question: Who received the apple? Answer: Fred Question: Who gave the","Who received the milk? "
"milk","Answer: The milk.  Question: What did Jeff give to Mary? Answer: The milk.  Question","What did Bill give to Mary? "
"football","Answer: the football. The Processionaries are in the greenhouse. The sun is shining;","What did Jeff give to Fred? "
"Mary","Mary. Mary gave the apple to Bill. Mary took the milk there. Mary took the milk there","Who gave the apple to Bill? "
"Mary","Answer: Jeff  Question: Who gave the apple to Fred? Answer: Mary  Question: What","Who gave the milk to Bill? "
"Mary","Answer: Jeff.  Question: Who gave the milk? Answer: Jeff.  Question: Who gave the","Who gave the milk? "
"football","Answer: A football. Bill gave Mary a football. Bill gave Mary a football. Bill gave Mary","What did Bill give to Mary? "
"apple","Answer: Fred gave the football to Bill. Mary went to the garden. Fred went to the kitchen","What did Fred give to Bill? "
"Bill","(1) Jeff (2) Pauline (3) Harry (4) Jeff and Pauline","Who did Mary give the apple to? "
"milk","What did Alfred give to Aggie? What did Zoie give to Alfred? What did Aggie","What did Mary give to Fred? "
"Mary","Answer: Jeff  Question: Who gave the apple to? Answer: Fred  Question: What did","Who gave the football? "
"Mary","Answer: The father. Question: Who gave the apple to the boy? Answer: The father.","Who gave the apple? "
"apple","Answer: a glass of sherry. Question: What did Fred do when he heard Mary Leaven","What did Fred give to Bill? "
"Fred","Jeff dropped the football. Jeff journeyed to the kitchen. Jeff journeyed to the office. Jeff","Who received the milk? "
"apple","Answer: The apple.  Question: What did Mary give to Bill? Answer: The apple.  Question","What did Bill give to Mary? "
"apple","Answer: a dog  Question: What did Fred give to Fred? Answer: a dog  Question","What did Fred give to Bill? "
"milk","Answer: Milk.  Question: What did Jeff give to Bill? Answer: Milk.  Question: What","What did Jeff give to Fred? "
"Jeff","Answer: Jeff  Question: What did Fred give to Bill? Answer: apple  Question: Who","Who gave the football? "
"Mary","Fred. She uster treat me like a dog, but it is most a year now since","Who received the football? "
"Jeff","Answer: Jeff  Question: Who did Jeff pass the football to? Answer: Mary  Question:","Who did Bill give the milk to? "
"Jeff","Answer: Fred  Question: Who gave the apple to Fred? Answer: Fred  Question: What","Who gave the apple to Fred? "
"Jeff","Answer: Fred  Question: Who did Jeff give the apple to? Answer: Mary  Question:","Who did Bill give the apple to? "
"Jeff","Answer: Fred  Question: Who gave the apple? Answer: Fred  Question: What did Fred","Who received the apple? "
"apple","Answer: the apple. ""I know it by the tombstone,"" observes Ruby, cheerfully,","What did Mary give to Fred? "
"Jeff","Mary or Bill?  Question: Who gave the apple? Mary or Bill?  Question: Who gave the","Who gave the apple? "
"Bill","Answer: Mary. Jeff went to the hallway. Mary went to the hallway. Jeff went to the","Who did Jeff give the football to? "
"apple","Answer: an apple.  Question: What did Sidney do when she found Sidney? Answer: she kissed","What did Mary give to Bill? "
"Bill","Answer: Fred Question: Who did Fred give the apple to? Answer: Fred Question:","Who did Fred give the milk to? "
"Jeff","Answer: Jeff.  Question: Who got the apple? Answer: Bill.  Question: Who travelled to","Who gave the apple? "
"football","Answer: The football. Question: What did Bill travel to the garden? Answer: The football.","What did Mary give to Fred? "
"football","What did he give to Eleanor? What did he give to Beulah? What did he give","What did Jeff give to Mary? "
"milk","Mary passed the milk to Fred. Mary passed the milk to Fred. Mary passed the milk to Fred","What did Mary give to Fred? "
"Bill","Answer: Bill gave the milk to Mary.  Question: Who gave the milk to Mary? Answer:","Who gave the milk to Mary? "
"Fred","Fred or Mary?  Question: Who gave the apple? Fred or Mary?  Question: Who gave the","Who gave the apple? "
"Fred","Fred  Question: What did Arne do when he saw Eli? He held his breath  Question","Who did Bill give the milk to? "
"Fred","Answer: He gave it to the wood-pigeon. Question: Who did Fred give the apple","Who did Bill give the apple to? "
"Bill","Answer: Mary.  Question: What did Mary do when she found out that Jeff had given the apple","Who did Jeff give the apple to? "
"Mary","Answer: Fred Question: Who did Fred give the apple to? Answer: Bill Question:","Who did Bill give the milk to? "
"Fred","Fred or Mary?  Question: Who gave the milk? Fred or Mary?  Question: Who gave the","Who gave the milk? "
"Fred","Answer: Jeff  Question: Who did Mary give the apple to? Answer: Fred  Question:","Who gave the football? "
