"target","output","question"
"garden","Answer: In the garden. Question: What is she doing? Answer: She is picking flowers.","Where is Mary? "
"bathroom","Answer: She is in the bathroom. Question: Where is the bathroom? Answer: It is in","Where is Sandra? "
"bedroom","Answer: In the bedroom.","Where is John? "
"garden","Answer: In the garden. Question: What is he doing? Answer: He is digging. Question","Where is Daniel? "
"garden","Answer: She is in the garden. Question: What is she doing? Answer: She is watering","Where is Sandra? "
"bathroom","A. In the bathroom. B. In the garden. C. In the office. D.","Where is Sandra? "
"kitchen","Answer: In the lion's den. Question: Where is the lion? Answer: In the","Where is Daniel? "
"bedroom","Answer: He is in the wood. Question: What is he doing? Answer: He is","Where is Daniel? "
"office","Answer: He is in the garden. Question: What is he doing? Answer: He is reading","Where is John? "
"office","Answer: She is in the room. Question: Who is she? Answer: She is the daughter","Where is Sandra? "
"garden","Answer: He is in the kitchen. Question: What is he doing? Answer: He is making","Where is John? "
"bedroom","Answer: He is in the bedroom. Question: Where is the bedroom? Answer: It","Where is Daniel? "
