"target","output","question"
"milk","A. A book B. A dollar C. A dime D. A dollar and a dime","What did Mary give to Fred? "
"Jeff","Answer: Jeff. Mary passed the football to Jeff. Mary handed the football to Jeff. Mary handed","Who did Mary give the football to? "
"Bill","Answer: Bill. Question: Who did Mary give the football to? Answer: Bill. Question:","Who did Mary give the football to? "
"Mary","Answer: Mary gave the apple to Bill. Mary handed the apple to Bill. Mary gave the apple","Who gave the apple to Bill? "
"apple","Answer: Fred gave Bill a melon. Question: What did Bill give to Fred? Answer:","What did Fred give to Bill? "
"Mary","Answer: The mother. Question: Who took it? Answer: The father. Question: Who ate","Who gave the apple? "
"apple","Answer: a glass of sack. Question: What did Bill do? Answer: he took it and","What did Fred give to Bill? "
"Jeff","Answer: Jeff.","Who did Bill give the milk to? "
"apple","Answer: an apple.","What did Mary give to Fred? "
"Bill","Answer: Bill. Question: What did Fred do with the milk? Answer: He drank it.","Who did Fred give the milk to? "
"milk","Answer: the milk.","What did Mary give to Fred? "
"Fred","Answer: The parrot. Question: Who did the parrot give the apple to? Answer:","Who did Bill give the apple to? "
"Fred","Answer: Bill journeyed to the bathroom. ""I don't know as I'll go,"" said","Who gave the football? "
