"target","output","question"
"office","Choices: A. In the kitchen B. In the library C. In the hallway","Where is John? "
"bathroom","Choices: A. In the bathroom B. In the garden C. In the kitchen","Where is Mary? "
"bedroom","Choices: A. In the kitchen B. In the bedroom C. In the hallway","Where is John? "
"bedroom","Choices: A. In the lake B. In the house C. In the forest","Where is Daniel? "
"kitchen","Okay, let's try to figure out where Sandra is based on the context provided.   First","Where is Sandra? "
"bedroom","Choices: A. In the office B. At the fair C. At the river","Where is Mary? "
"bedroom","Choices: A. In the nursing home B. In the hospital C. In the","Where is Sandra? "
"kitchen","Answer: The most recent mention of Daniel is in the context of the hotel fire in the third","Where is Daniel? "
"kitchen","Choices: A. In the kitchen B. In the garden C. In the hallway","Where is Sandra? "
"garden","Choices: A. In the church B. In the garden C. In the library","Where is Sandra? "
"office","Choices: A. In the kitchen B. In the garden C. In the hallway","Where is John? "
"hallway","Choices: A. In the garden B. In the bathroom C. In the hallway","Where is Daniel? "
"garden","Choices: A. In the kitchen B. In the garden C. In the park","Where is Sandra? "
"garden","Okay, let's try to figure out where Sandra is based on the provided context.   First","Where is Sandra? "
