"target","output","question"
"bedroom","Options:   A) In the kitchen   B) In the living room   C) In","Where is the apple? "
"kitchen","Answer: The milk is in the kitchen. <context> <example> <example> <example","Where is the milk? "
"bathroom","Answer: The football is in the kitchen.   </context>  Okay, let's see.","Where is the football? "
"bedroom","Choices: A. In the kitchen B. In the bedroom C. In the garden","Where is the apple? "
"garden","Answer: The milk is in the kitchen. </context>  Okay, let's see. The","Where is the milk? "
"garden","Answer: The milk is in the kitchen. </context>  Okay, let's see. The","Where is the milk? "
"garden","Answer: The football is in the kitchen. Okay, let's see. The user is asking","Where is the football? "
"hallway","Answer: The apple is in the kitchen. Answer: The apple is in the kitchen. Answer","Where is the apple? "
"hallway","Answer: The milk is in the kitchen. </context>  Okay, let's try to figure","Where is the milk? "
"bathroom","Answer: The milk is in the kitchen. <context> [190] A meadow","Where is the milk? "
