"target","output","question"
"Jeff","Answer: The cow. Question: What did Fred do with the cow? Answer: He milked","Who did Fred give the milk to? "
"apple","Answer: A letter.  Question: What did Jeff give to Mary? Answer: A letter.  Question","What did Mary give to Jeff? "
"Jeff","Answer: The football was received by the football team.  Question: Who received the football? Answer","Who received the football? "
"milk","Answer: Milk. Question: What did Eleanor say to Albertina? Answer: ""I'm not","What did Mary give to Bill? "
"Jeff","Answer: The girl. Question: Who was the girl? Answer: The girl was the girl","Who received the apple? "
"Mary","Answer: The cow.  Question: Who gave the cheese? Answer: The cow.  Question: Who","Who gave the milk? "
"Mary","Answer: The football was given by the captain of the ship, who was a gentleman, and","Who gave the football? "
"milk","Answer: A Fleurette & Co. dress. The story of a young girl's first experience in","What did Mary give to Jeff? "
"apple","Answer: An apple. Question: What did Mary give to Fred? Answer: A kiss.","What did Fred give to Mary? "
"Fred","Answer: Fred.  </questionanswer>  </section>  </section>  </section>  </section>","Who gave the football to Mary? "
"Fred","Answer: The apple was received by Frederick, the son of the Emperor, and was","Who received the apple? "
"Fred","Answer: Fred. Question: Who handed the apple to Fred? Answer: Bill. Question:","Who received the apple? "
"apple","Answer: A piece of meat.  Question: What did Fred give to Mary? Answer: A piece","What did Mary give to Fred? "
"Mary","Answer: The baby. Question: Who received the milk? Answer: The baby. Question:","Who received the milk? "
"Mary","Answer: Mary.  <text id=""page_20"">  <page id=""page_20"">","Who gave the football to Fred? "
"Bill","Answer: Bill.  Question: What was the name of the Brownie? Answer: Jeff.  Question","Who received the milk? "
"Jeff","Answer: Jeff.  Question: Who gave the apple to Jeff? Answer: Bill.  Question: Who","Who gave the apple to Bill? "
"Bill","Hawkins' hat?  Answer: Bill.  Question: What was the name of the man who was killed","Who gave the milk to Fred? "
"Jeff","Answer: The cow.  Question: What did the cow do with the milk? Answer: She drank","Who received the milk? "
"Fred","Answer: Mary.","Who received the football? "
"Mary","Answer: The foals. Question: How was it given? Answer: By hand. Question","Who received the milk? "
"Mary","Answer: The party who kicked it over the line.  Question: What is the name of the","Who received the football? "
"Jeff","Answer: Fred.  Question: What did Gage do? Answer: He fell in a senseless","Who gave the apple? "
"milk","(p.  20)  Answer: A kiss.  Question: What did the boys do when","What did Mary give to Bill? "
"Bill","Answer: The children. Question: Who received the pennies? Answer: The lookout. Question:","Who received the milk? "
