"target","output","question"
"milk","Jeff got the milk there. Bill picked up milk there. Jeff got milk there. Bill picked up","What did Mary give to Fred? "
"Jeff","Bill Jeff Jeff Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill","Who did Mary give the football to? "
"Bill","Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill Bill","Who did Mary give the football to? "
"Mary","Mary gave apple to Bill. Mary gave apple to Bill. Mary gave apple to Bill. Mary gave","Who gave the apple to Bill? "
"apple","Bill travelled to the bathroom. Mary went to the office. Mary moved to the kitchen. Mary went","What did Fred give to Bill? "
"Mary","Mary ate the apple. Bill ate the apple. Bill ate the apple. Bill ate the apple.","Who gave the apple? "
"apple","milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk","What did Fred give to Bill? "
"Jeff","Jeff. Fred. Jeff gave milk to Bill. Bill gave milk Jeff. Jeff gave milk Bill.","Who did Bill give the milk to? "
"apple","Fred, cutting a strip of adhesive plaster. Fred, cutting a strip of adhesive plaster. Fred,","What did Mary give to Fred? "
"Bill","Bill. Bill dropped the milk. Bill dropped the milk. Bill dropped the milk. Bill dropped the","Who did Fred give the milk to? "
"milk","milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk","What did Mary give to Fred? "
"Fred","Fred. Mary. Fred and Bill. Bill and Mary.  </context>  </context>  </context","Who did Bill give the apple to? "
"Fred","Bill. Fred picked it up. Bill football football football football football football football football football football football football","Who gave the football? "
