target,output,question
no,Sandra is not in the bedroom.,Is Sandra in the bedroom? 
no,Mary is not in the bathroom. Sandra is not in the bedroom.,Is Mary in the bathroom? 
yes,yes,Is Mary in the kitchen? 
no,no,Is Sandra in the hallway? 
no,Sandra is no longer in the hallway.,Is Sandra in the hallway? 
yes,John is not in the kitchen. John is in the bedroom.,Is John in the kitchen? 
no,no,Is John in the hallway? 
no,John is not in the office. Sandra is not in the office.,Is John in the office? 
no,Sandra is not in the garden. Sandra is not in the office.,Is Sandra in the office? 
yes,no,Is John in the office? 
yes,Daniel is in the kitchen.,Is Daniel in the kitchen? 
yes,no,Is Mary in the hallway? 
no,no,Is Mary in the bedroom? 
no,no,Is Sandra in the bedroom? 
no,no,Is Sandra in the kitchen? 
yes,John is not in the bathroom. Sandra is not in the garden.,Is John in the garden? 
yes,Sandra went to the office. John is not in the office. Sandra is not in the garden,Is Sandra in the office? 
yes,yes,Is Mary in the kitchen? 
no,no,Is Sandra in the office? 
no,Sandra is no longer in the hallway.,Is Sandra in the hallway? 
no,Sandra is not in the garden. Sandra is not in the kitchen.,Is Sandra in the kitchen? 
yes,Sandra is in the hallway.,Is Sandra in the hallway? 
yes,no,Is Daniel in the bedroom? 
no,Daniel is not in the bathroom. Daniel is not in the hallway.,Is Daniel in the hallway? 
yes,no,Is John in the bedroom? 
yes,Daniel went to the garden. It was soon obvious that it was an unequal warfare.,Is Daniel in the garden? 
yes,Daniel is in the office.,Is Daniel in the garden? 
yes,Sandra is not in the bathroom.,Is Sandra in the bathroom? 
yes,Mary journeyed to the kitchen. John is in the bedroom. Sandra is not in the garden.,Is Mary in the bathroom? 
no,no,Is John in the garden? 
no,no,Is Daniel in the kitchen? 
no,no,Is John in the bathroom? 
no,no,Is Mary in the bedroom? 
no,John is not in the office. John is in the bedroom.,Is John in the office? 
no,Daniel is in the bathroom.,Is Daniel in the kitchen? 
no,Daniel is in the bathroom.,Is Daniel in the hallway? 
no,Sandra is not in the bathroom. Sandra is not in the garden. Sandra is not in the,Is Sandra in the hallway? 
no,Sandra is not in the garden. Sandra is not in the kitchen.,Is Sandra in the kitchen? 
no,no,Is Mary in the bedroom? 
no,Daniel is not in the office. Daniel is not in the garden. Is Daniel in the bedroom?,Is Daniel in the bedroom? 
no,no,Is Mary in the kitchen? 
yes,Daniel is in the hallway.,Is Daniel in the hallway? 
no,Mary journeyed to the kitchen. John is in the bedroom. Sandra is not in the garden.,Is Daniel in the kitchen? 
no,Mary is not in the bathroom.,Is Mary in the bathroom? 
yes,Daniel journeyed to the garden.,Is Daniel in the garden? 
no,Sandra is not in the bathroom.,Is Sandra in the bathroom? 
no,John is not in the garden. Sandra is not in the garden.,Is John in the garden? 
no,no,Is Sandra in the kitchen? 
yes,no,Is John in the kitchen? 
no,Sandra is in the bedroom. John is in the office. Sandra is not in the office.,Is Sandra in the office? 
yes,no,Is John in the kitchen? 
no,Daniel journeyed to the office.,Is Daniel in the office? 
no,Sandra journeyed to the garden. John is in the bedroom. Daniel is in the hallway.,Is Sandra in the hallway? 
yes,Daniel is in the garden.,Is Daniel in the garden? 
no,Sandra is in the bedroom. John is in the office.,Is Sandra in the office? 
yes,no,Is John in the bathroom? 
yes,no,Is Daniel in the office? 
no,yes,Is Mary in the kitchen? 
no,Mary went back to the bedroom. John is in the bedroom. Sandra is not in the garden.,Is Mary in the hallway? 
no,no,Is Daniel in the bedroom? 
yes,no,Is Sandra in the garden? 
yes,no,Is Mary in the garden? 
no,no,Is Mary in the kitchen? 
yes,Daniel is in the bathroom.,Is Daniel in the hallway? 
no,Daniel is not in the bedroom. John is in the bedroom.,Is Daniel in the bedroom? 
no,no,Is John in the kitchen? 
yes,no,Is John in the kitchen? 
yes,no,Is John in the bedroom? 
no,no,Is Sandra in the bathroom? 
no,Mary journeyed to the kitchen. John is in the bedroom. Sandra is not in the garden.,Is Mary in the bedroom? 
no,Sandra is not in the office. Sandra is not in the garden. Sandra is not in the,Is Sandra in the office? 
yes,no,Is Daniel in the kitchen? 
no,no,Is Mary in the hallway? 
no,no,Is John in the garden? 
yes,no,Is John in the bedroom? 
yes,Daniel is in the office.,Is Daniel in the office? 
no,Mary journeyed to the kitchen. John is in the bedroom. Sandra is not in the garden.,Is Mary in the bathroom? 
yes,no,Is Sandra in the office? 
yes,Daniel journeyed to the office.,Is Daniel in the office? 
no,Sandra is not in the garden. Sandra is not in the hallway.,Is Sandra in the hallway? 
no,no,Is Mary in the hallway? 
no,no,Is Mary in the garden? 
no,no,Is John in the kitchen? 
no,Sandra is not in the bathroom. Sandra is not in the garden.,Is Sandra in the bathroom? 
yes,no,Is John in the kitchen? 
no,Daniel is not in the kitchen.,Is Daniel in the kitchen? 
no,no,Is John in the hallway? 
no,no,Is Sandra in the garden? 
yes,no,Is Mary in the office? 
no,no,Is John in the bathroom? 
no,no,Is John in the bedroom? 
no,Daniel travelled to the bathroom. Daniel is not in the bedroom.,Is Daniel in the bedroom? 
no,no,Is Mary in the hallway? 
no,no,Is Sandra in the garden? 
yes,no,Is John in the bathroom? 
no,Sandra is not in the garden. Sandra is not in the office.,Is Sandra in the office? 
no,no,Is Sandra in the kitchen? 
no,Daniel went back to the office.,Is Daniel in the bedroom? 
yes,no,Is John in the kitchen? 
no,Daniel is in the hallway.,Is Daniel in the hallway? 
