"target","output","question"
"Jeff","Answer: Jeff.  Question: Who did Jeff give the milk to? Answer: Fred.  Question:","Who did Fred give the milk to? "
"apple","Answer: An apple. Question: What did Jeff give to Mary? Answer: Nothing. Question","What did Mary give to Jeff? "
"Jeff","Answer: The referee.  Question: Who received the football? Answer: The referee.  Question: Who","Who received the football? "
"milk","Answer: Milk. Question: What did Bill give to Mary? Answer: Nothing. Question: What","What did Mary give to Bill? "
"Jeff","Answer: Jeff. Question: Who received the apple? Answer: Jeff. Question: Who received","Who received the apple? "
"Mary","Answer: Fred. Question: Who gave the eggs? Answer: Fred. Question: Who gave the","Who gave the milk? "
"Mary","Answer: Fred. Question: Who gave the baseball? Answer: Fred. Question: Who","Who gave the football? "
"milk","Answer: Milk. Question: What did Jeff give to Mary? Answer: Nothing. Question: What","What did Mary give to Jeff? "
"apple","Answer: An apple. Question: What did Mary give to Fred? Answer: A football. Question","What did Fred give to Mary? "
"Fred","Answer: Fred. Question: Who gave the football to Fred? Answer: Mary. Question","Who gave the football to Mary? "
"Fred","Answer: Fred. Question: Who gave it? Answer: Jeff. Question: Who ate it?","Who received the apple? "
"Fred","Answer: Fred.  Question: Who received the apple? Answer: Fred.  Question: Who received the","Who received the apple? "
"apple","Answer: Nothing. Question: What did Fred give to Mary? Answer: Nothing. Question:","What did Mary give to Fred? "
"Mary","Answer: Bill. Question: Who gave the milk? Answer: Mary. Question: Who drank the","Who received the milk? "
"Mary","Answer: Mary. Question: Who gave the football to Mary? Answer: Fred. Question","Who gave the football to Fred? "
"Bill","Answer: Bill. Question: Who received the milk? Answer: Bill. Question: Who received","Who received the milk? "
"Jeff","Answer: Jeff. Question: Who gave the apple to Jeff? Answer: Bill. Question","Who gave the apple to Bill? "
"Bill","Answer: Fred herself. Question: Who gave the milk to Fred? Answer: Fred herself","Who gave the milk to Fred? "
"Jeff","Answer: The children. Question: Who received the eggs? Answer: The children. Question:","Who received the milk? "
"Fred","Answer: Fred. Question: Who gave it to Fred? Answer: Mary. Question:","Who received the football? "
"Mary","Answer: Mary. Question: Who drank it? Answer: Forrester. Question: Who ate","Who received the milk? "
"Mary","Answer: The dog. Question: Who received the football? Answer: The dog. Question:","Who received the football? "
"Jeff","Answer: Jeff. Question: Who dropped the apple? Answer: Fred. Question: Who picked up","Who gave the apple? "
"milk","Answer: A pair of socks.  Question: What did Angeline give to Mary? Answer: A","What did Mary give to Bill? "
"Bill","Answer: Mary.  Question: Who received the apple? Answer: Bill.  Question: Who received the","Who received the milk? "
