"target","output","question"
"kitchen","Answer: In the garden. Question: What is he doing? Answer: He is digging. Question","Where is John? "
"bathroom","(a) In the kitchen. (b) In the garden. (c) In the sitting","Where is Sandra? "
"office","Answer: In the hallway. Question: Where is Mary? Answer: In the hallway. Question:","Where is Daniel? "
"hallway","(The question is about the story ""The Lady of the Lake"".) Answer: Mary is","Where is Mary? "
"bedroom","(1)  Answer: In the bathroom.  Question: What is the Dean's opinion of John?","Where is John? "
"bedroom","(from ""The Dog and the Cat"" by Charles Dickens)  Answer: Mary is the name of","Where is Mary? "
"office","A: In the hallway. B: In the office. C: In the garden. D:","Where is Sandra? "
"bathroom","Where is Eleanore? What is the name of the man Mary is to marry? What is","Where is Mary? "
"kitchen","Answer: She is in the kitchen. Question: Where is Sandra? Answer: She is in the","Where is Sandra? "
"bathroom","Answer: In the garden. A peculiar feature of peal-ringing is that the bells","Where is Sandra? "
"bedroom","Answer: She is in the garden. Question: What is she doing? Answer: She is picking","Where is Mary? "
"bedroom","What is she doing? What is she thinking?  Answer: Sandra is in the bathroom. She is","Where is Sandra? "
"bedroom","Answer: In the county of St. Clair, in the State of Illinois, is a beautiful","Where is Sandra? "
"hallway","Answer: In the hallway. Question: Where is the hallway? Answer: In the bedroom. Question","Where is Mary? "
"bedroom","(Read 1 time) Answer: Sandra is in the kitchen, making cookies for the party.","Where is Sandra? "
"garden","Answer: In the garden. Question: What is the weather like? Answer: It is hot and","Where is John? "
"bedroom","Answer: She is in the kitchen. Question: Where is the kettle? Answer: It is in","Where is Mary? "
"kitchen","Answer: In the kitchen. Question: Where is Mary? Answer: In the bedroom. Question:","Where is Daniel? "
"office","Answer: In the office. Question: Where is Paine? Answer: In the office. Question","Where is John? "
"bathroom","What does he say to the men? What does he do? What does he say to the men","Where is John? "
"bathroom","Answer: In the Bible. Question: Where is the Bible? Answer: In the Church. Question","Where is Daniel? "
"bedroom","(Write the answer in the space.)  Answer: John is in the bedroom.  Question: What is","Where is John? "
"bedroom","(A) In the bedroom. (B) In the bathroom. (C) In the kitchen","Where is Daniel? "
"hallway","(Go to page 1)  Answer: Sandra is a town in Dearborn County, Indiana.","Where is Sandra? "
"garden","(10 points) Answer: Sandra is in the kitchen, making tea.  Question: What is the","Where is Sandra? "
