"target","output","question","recall"
"2918839",": 1814. 18:15 And the word of the LORD came unto Abraham, saying, Return unto thy country, and dwell in the land of thy nativity, and I will be with thee, and","What is the special magic number for nwlylw-ahkqycad mentioned in the provided text? The special magic number for nwlylw-ahkqycad mentioned in the provided text is","0.0"
"1733890",": 1814. 18:15 And she said unto him, Behold, I have borne thee no children, and thou hast given me no seed: and behold, thou hast taken away my virginity,","What is the special magic number for ufxho-aximlfce mentioned in the provided text? The special magic number for ufxho-aximlfce mentioned in the provided text is","0.0"
"7936917",": 1898201. 18:15 And the Lord said unto Abraham, Know of a surety that I will return unto thee, according to the time of life, and Sarah shall bear a son","What is the special magic number for jlczz-ggefnkqg mentioned in the provided text? The special magic number for jlczz-ggefnkqg mentioned in the provided text is","0.0"
"1714636",": 1814636. 18:15 And it came to pass, that, when Abram was ninety years old, and Ishmael his son was born unto him, that God blessed him, and","What is the special magic number for qdrv-zfgb mentioned in the provided text? The special magic number for qdrv-zfgb mentioned in the provided text is","0.0"
"5339785",": 1111111111111111111111111111111111111111111111","What is the special magic number for fmvqechq-xuvpjvvf mentioned in the provided text? The special magic number for fmvqechq-xuvpjvvf mentioned in the provided text is","0.0"
"7187967",": 3471495. 18:15 And the Lord appeared unto Abram, and said unto him, I am the God of thy father, and the God of thy mother, and the God of Sar","What is the special magic number for xpokwb-jrvbjvz mentioned in the provided text? The special magic number for xpokwb-jrvbjvz mentioned in the provided text is","0.0"
"1698327",": 1887397. 18:15 And it came to pass, that, when Abram was a hundred and eight years old, he died. 18:16 And he died, and","What is the special magic number for lrjkzg-sbzb mentioned in the provided text? The special magic number for lrjkzg-sbzb mentioned in the provided text is","0.0"
"5904805",": 7639477. 18:15 And the Lord said unto Abraham, I will return unto thee, according to the time of life, and Sarah shall have a son. 18:1","What is the special magic number for uvnin-zhetbhpb mentioned in the provided text? The special magic number for uvnin-zhetbhpb mentioned in the provided text is","0.0"
"1426961",": 18:15 And the Lord said unto Abraham, Know of a surety that I will visit thee, and Sarah shall bear a son unto thee. 18:16 And Abraham said unto the Lord, Beh","What is the special magic number for klvkjc-relxixzz mentioned in the provided text? The special magic number for klvkjc-relxixzz mentioned in the provided text is","0.0"
"3484224",": 187634. 18:15 And the Lord appeared unto Abram, and said unto him, I am the God of thy father, and the God of thy mother, and the God of Sarai","What is the special magic number for godwqus-resv mentioned in the provided text? The special magic number for godwqus-resv mentioned in the provided text is","0.0"
"6886636",": 1882845. 18:15 And it came to pass, that, when Abram was ninety years old, and Ishmael his son was born, that God said unto Abraham, I will","What is the special magic number for jxjkaqh-jjtl mentioned in the provided text? The special magic number for jxjkaqh-jjtl mentioned in the provided text is","0.0"
"3063004",": 1414. 18:15 And she said unto him, Behold, I know not the Lord, and I am a stranger in a strange land. 18:16 And the Lord said","What is the special magic number for qgkojy-pctld mentioned in the provided text? The special magic number for qgkojy-pctld mentioned in the provided text is","0.0"
"5441385",": 1000000000000000000000000000000000000000000000","What is the special magic number for rsza-wlnktzoh mentioned in the provided text? The special magic number for rsza-wlnktzoh mentioned in the provided text is","0.0"
"9792550",": 1814. 18:15 And Abraham said unto Sarah, Behold, I know that thou canst not bear children. 18:16 And Sarah said unto Abraham, Behold, I","What is the special magic number for jjgz-wvkm mentioned in the provided text? The special magic number for jjgz-wvkm mentioned in the provided text is","0.0"
"4054007",": 1000000000000000000000000000000000000000000000","What is the special magic number for xfzkevjb-aezvm mentioned in the provided text? The special magic number for xfzkevjb-aezvm mentioned in the provided text is","0.0"
"3637033",": 18:15 And she said unto him, I have borne thee in my womb, and thou hast not known me. 18:16 And God said unto Abraham, Why did Sarah say, I have borne","What is the special magic number for fcpyhhbo-ainoq mentioned in the provided text? The special magic number for fcpyhhbo-ainoq mentioned in the provided text is","0.0"
"5303454",": 5303454. 18:15 And it came to pass, that, when Abram was a hundred and eight years old, he died, and he was buried in the cave which he had made","What is the special magic number for sbmfb-ndyhb mentioned in the provided text? The special magic number for sbmfb-ndyhb mentioned in the provided text is","1.0"
"5891004",": 5891004. 18:15 And she said unto him, Behold, I have borne thee no children, and thou hast given me no seed. 18:16 Behold","What is the special magic number for prenef-uytdpx mentioned in the provided text? The special magic number for prenef-uytdpx mentioned in the provided text is","1.0"
"4728646",": 141316. 14:15 And it came to pass, that, when Abram was ninety years old, and Ishmael his son was born, that God appeared unto him, and said unto","What is the special magic number for ihdj-nptp mentioned in the provided text? The special magic number for ihdj-nptp mentioned in the provided text is","0.0"
"9214873",": 1814. 18:15 And it came to pass, that, when Abram was ninety years old, and Ishmael his son was thirteen years old, they were both circumcised in the self","What is the special magic number for kspri-vjoi mentioned in the provided text? The special magic number for kspri-vjoi mentioned in the provided text is","0.0"
"9134626",": 9134626. 18:15 And the Lord said unto Abraham, I will return unto thee, according to the time of life, and Sarah shall have a son. 18:1","What is the special magic number for uywb-rrvu mentioned in the provided text? The special magic number for uywb-rrvu mentioned in the provided text is","1.0"
"2710062",": 1814. 18:15 And she said unto him, Behold, I have borne thee no child, and thou hast given me no seed. 18:16 And God said unto Abraham","What is the special magic number for xqpygax-apmoti mentioned in the provided text? The special magic number for xqpygax-apmoti mentioned in the provided text is","0.0"
"1113637",": 1840852. 18:15 And it came to pass, that, when Abram was old, and had lived a hundred and thirty years, he died, and was buried in the cave which","What is the special magic number for bjfwdd-czgjyzph mentioned in the provided text? The special magic number for bjfwdd-czgjyzph mentioned in the provided text is","0.0"
"5481056",": 1000000000000000000000000000000000000000000000","What is the special magic number for gqikdqy-apry mentioned in the provided text? The special magic number for gqikdqy-apry mentioned in the provided text is","0.0"
"2291714",": 1111111111. 11:15 And the Lord said unto Abraham, Why did Sarah laugh, saying, Shall I of a surety bear a child, which am old?","What is the special magic number for xjphwpy-veovoqvx mentioned in the provided text? The special magic number for xjphwpy-veovoqvx mentioned in the provided text is","0.0"
"2798463",": 1385207. 18:15 And she said unto him, I know not the Lord, and I know not the Lord's word, neither have I known the Lord's hand, nor have","What is the special magic number for veefrn-dtxgeijq mentioned in the provided text? The special magic number for veefrn-dtxgeijq mentioned in the provided text is","0.0"
"1758389",": 175897. 18:15 And the Lord said unto Abraham, Why did Sarah laugh, saying, Shall I of a surety bear a child, which am old? 18:1","What is the special magic number for fkeno-kkmy mentioned in the provided text? The special magic number for fkeno-kkmy mentioned in the provided text is","0.0"
"3721299",": 136159. 18:15 And it came to pass, that, when Abram was ninety years old, and Ishmael his son was born unto him, that God appeared unto him, and","What is the special magic number for yzqr-efouj mentioned in the provided text? The special magic number for yzqr-efouj mentioned in the provided text is","0.0"
"3052801",": 1000000000000000000000000000000000000000000000","What is the special magic number for lmmbh-zbrn mentioned in the provided text? The special magic number for lmmbh-zbrn mentioned in the provided text is","0.0"
"1699071",": 1814. 18:15 And the Lord said unto Abraham, Know of a surety that I will return unto thee, according to the time of life, and Sarah shall have a son. 1","What is the special magic number for mqrskxsb-bqexf mentioned in the provided text? The special magic number for mqrskxsb-bqexf mentioned in the provided text is","0.0"
"8649940",": 18:14. 18:15 And it came to pass, that, when Abram was ninety years old, and Ishmael his son was born unto him, that God appeared unto him, and said","What is the special magic number for kruynkg-yjvyldj mentioned in the provided text? The special magic number for kruynkg-yjvyldj mentioned in the provided text is","0.0"
"3829537",": 1814. 18:15 And the Lord said unto Abraham, I will return unto thee, and Sarah shall have a son. 18:16 And Abraham returned unto Sarah, and said unto","What is the special magic number for hruix-daidtpg mentioned in the provided text? The special magic number for hruix-daidtpg mentioned in the provided text is","0.0"
"6279268",": 9391693. 18:15 And it came to pass, that, when Abram was circumcised, the Lord appeared unto him, and said unto him, I am the God of Abraham","What is the special magic number for jajjqjio-imqphryz mentioned in the provided text? The special magic number for jajjqjio-imqphryz mentioned in the provided text is","0.0"
"1333761",": 18:14. 18:15 And it came to pass, that, when Abraham was old and well stricken in years, and Sarah his wife was dead, 18:16 And it","What is the special magic number for bsatw-xqpkxo mentioned in the provided text? The special magic number for bsatw-xqpkxo mentioned in the provided text is","0.0"
"2874542",": 1111111111111111111111111111111111111111111111","What is the special magic number for bwloo-xmiktw mentioned in the provided text? The special magic number for bwloo-xmiktw mentioned in the provided text is","0.0"
"4714578",": 1111111111111111111111111111111111111111111111","What is the special magic number for eanutzi-bujkaso mentioned in the provided text? The special magic number for eanutzi-bujkaso mentioned in the provided text is","0.0"
"7687643",": 1813. 18:15 And the Lord said unto Abraham, Know of a surety that I will return unto thee, according to the time of life, and Sarah shall have a son. 1","What is the special magic number for hieblpy-httsfa mentioned in the provided text? The special magic number for hieblpy-httsfa mentioned in the provided text is","0.0"
"2400061",": 2400061. 18:15 And the Lord will bring forth his righteousness, and his justice, and the light of the Gentiles, and the glory of the Gentiles, and the Gent","What is the special magic number for qvrasb-kttke mentioned in the provided text? The special magic number for qvrasb-kttke mentioned in the provided text is","1.0"
"1972417",": 1881. 18:15 And it came to pass, that, when Abram was a hundred and eight years old, he was circumcised in the land of Canaan, in the place of his","What is the special magic number for kdvja-msnzs mentioned in the provided text? The special magic number for kdvja-msnzs mentioned in the provided text is","0.0"
