"target","output","question"
"garden","Answer: In the kitchen. Question: Where was the apple after the bedroom? Answer: In the","Where was the apple before the bedroom? "
"garden","Answer: The football was in the bedroom. Question: Where was the football before the hallway? Answer","Where was the football before the hallway? "
"bathroom","Answer: In the bedroom. Sandra went to the bedroom. John grabbed the football there. Mary went","Where was the football before the bedroom? "
"office","Answer: In the kitchen. Question: Where was the bedroom before the football? Answer: In","Where was the football before the bedroom? "
"hallway","Answer: In the fridge. (69) The first mention of the apple in the Past","Where was the apple before the bathroom? "
"bedroom","Answer: In the tree. Question: Where was the apple after the garden? Answer: In the","Where was the apple before the garden? "
"bedroom","Answer: In the office. Question: Where was the apple before the kitchen? Answer: In the","Where was the football before the kitchen? "
"garden","[Footnote 10: The symptoms of intestinal indigestion are often mistaken for those","Where was the milk before the office? "
"hallway","Answer: In the hallway. Question: Where was the milk after the bedroom? Answer: In the","Where was the milk before the bedroom? "
"bedroom","Answer: In the office. Question: Where was the apple after the bathroom? Answer: In the","Where was the apple before the bathroom? "
"hallway","The daughter of the Duc de Chartres, afterwards Duc d'Orleans, and mother","Where was the apple before the bedroom? "
"kitchen","Answer: In the kitchen. Question: Where was the apple after the office? Answer: In the","Where was the apple before the office? "
"bathroom","Answer: In the hallway. Question: Where was the football after the garden? Answer: In the","Where was the football before the garden? "
