"target","output","question"
"kitchen","I am not sure.","Where is the football? "
"garden","Fred","Where is the milk? "
"bedroom","Who is the apple?","Where is the apple? "
"bedroom","Fred","Where is the apple? "
"kitchen","Mary","Where is the apple? "
"hallway","Mary","Where is the apple? "
"kitchen","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"garden","The milk is in the bedroom.","Where is the milk? "
"bedroom","Fred","Where is the milk? "
"bathroom","The milk","Where is the milk? "
"bathroom","Mary","Where is the football? "
"bedroom","Fred","Where is the milk? "
"bathroom","The apple is on the table.","Where is the apple? "
"kitchen","Jimmieboy, dancing up and down, and clapping his hands with delight at the very thought","Where is the football? "
"bedroom","The apple is often used in the context of the apple.","Where is the apple? "
"garden","Fred","Where is the apple? "
"bedroom","Fred","Where is the football? "
"bedroom","Fred","Where is the apple? "
"garden","Fred","Where is the milk? "
"garden","The milk is in the milk.","Where is the milk? "
"office","It is a little like the fireplace himself, but fine. ""It takes a Scot to understand a","Where is the apple? "
"bedroom","Fred","Where is the milk? "
"garden","Fred","Where is the milk? "
"bathroom","--""I ne'er delay'd     When foeman bade me draw my blade;","Where is the milk? "
"office","Daniel Answer: I learned by experience as an Osteopath that many people lose faith in","Where is the apple? "
"garden","I am not sure that I am able to find a position in which I can make enough to buy","Where is the football? "
"garden","The football is in the kitchen. The football is in the kitchen. The football is in the kitchen","Where is the football? "
"bedroom","John","Where is the apple? "
"hallway","Fred","Where is the apple? "
"hallway","The apple is in the tree. Question: Where is the apple? The apple is in the garden","Where is the apple? "
"hallway","Fred","Where is the apple? "
"garden","I am.","Where is the football? "
"hallway","Fred","Where is the apple? "
"kitchen","Mary","Where is the football? "
"hallway","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"kitchen","Where is the apple? Where is the apple? Where is the apple? Where is the apple?","Where is the apple? "
"office","Fred","Where is the milk? "
"hallway","Fred","Where is the milk? "
"bathroom","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"bathroom","Fred","Where is the milk? "
"bathroom","Fred","Where is the football? "
"hallway","Fred","Where is the football? "
"garden","Fred","Where is the apple? "
"bedroom","The answer is the","Where is the apple? "
"kitchen","Fred","Where is the milk? "
"bedroom","Fred","Where is the milk? "
"hallway","Where is the apple?","Where is the apple? "
"garden","Fred","Where is the milk? "
"kitchen","Fred","Where is the football? "
"bathroom","The football is on the floor.","Where is the football? "
"garden","Fred","Where is the milk? "
"bedroom","Fred","Where is the apple? "
"hallway","The devil","Where is the milk? "
"hallway","Fred","Where is the milk? "
"office","Where is the milk?","Where is the milk? "
"kitchen","Where is the apple? Where is the apple? Where is the apple? Where is the apple?","Where is the apple? "
"bathroom","Fred","Where is the milk? "
"bathroom","The only explanation of association between the poem and its title is that Schubart shared the one","Where is the milk? "
"office","Fred","Where is the football? "
"garden","football","Where is the football? "
"kitchen","Fred","Where is the apple? "
"bathroom","In the morning, the sun rises.","Where is the apple? "
"garden","Where is the football?","Where is the football? "
"bathroom","Fred","Where is the milk? "
"bathroom","The dog","Where is the milk? "
"hallway","milk","Where is the milk? "
"bedroom","It is not in the hands of the boys. It is not in the hands of the boys.","Where is the football? "
"garden","The football is in the stadium.","Where is the football? "
"bedroom","Fred","Where is the football? "
"bathroom","Mary","Where is the apple? "
"garden","John","Where is the milk? "
"office","Daniel","Where is the milk? "
"office","Fred","Where is the football? "
"hallway","football","Where is the football? "
"garden","I am tired of love, I ask you to forget,      What is the use you caring,","Where is the football? "
"office","Fred","Where is the milk? "
"kitchen","Fred","Where is the football? "
"office","Fred","Where is the milk? "
"kitchen","I am","Where is the apple? "
"kitchen","Fred","Where is the football? "
"office","The football is in the kitchen.","Where is the football? "
"kitchen","Where is the apple?","Where is the apple? "
"office","The apple is on the table.","Where is the apple? "
"bathroom","I am","Where is the football? "
"bathroom","Fred","Where is the football? "
"office","The milk is on the floor.","Where is the milk? "
"bathroom","The wide application of the principle of","Where is the apple? "
"bedroom","Fred","Where is the milk? "
"hallway","Fred","Where is the apple? "
"bedroom","I am afraid they got into serious trouble. It's a very serious thing to knock a","Where is the milk? "
"bedroom","Jeff","Where is the apple? "
"bathroom","The football is in the football.","Where is the football? "
"bedroom","The football is in the football.","Where is the football? "
"bedroom","""Very true,"" replied her husband smiling, ""and if you knew your Bible better, M","Where is the football? "
"bedroom","Daniel.","Where is the apple? "
"kitchen","The football is in the bedroom.","Where is the football? "
"garden","Fred","Where is the milk? "
"office","Where is the milk?","Where is the milk? "
"bedroom","Answer: Daniel","Where is the milk? "
"kitchen","The apple is on the table.","Where is the apple? "
