"target","output","question"
"Bill","Answer: Bill. Question: Who did Bill give the milk to? Answer: Mary. Question:","Who did Mary give the milk to? "
"apple","Answer: The apple. Question: What did Jeff give to Mary? Answer: The apple. Question","What did Mary give to Jeff? "
"Fred","Answer: The Fairy Godmother. Question: What did the Fairy Godmother give to Tom? Answer","Who gave the apple to Mary? "
"Bill","Answer: Bill.  Question: What did Mary wish the General from headquarters would do? Answer: Come","Who did Mary give the milk to? "
"apple","Answer: The apple. Question: What did Bill do with the apple? Answer: He discarded it","What did Fred give to Bill? "
"Mary","Answer: Mary. Question: Who gave the milk to Mary? Answer: Jeff. Question: Who","Who received the milk? "
"football","Answer: The football. Question: What did Fred give to Jeff? Answer: The football. Question","What did Jeff give to Fred? "
"Mary","Answer: Mary. Question: Who gave the milk to Mary? Answer: Bill. Question: Who","Who gave the milk to Bill? "
"football","Answer: The apple. Question: What did Mary give to Bill? Answer: The football. Question","What did Bill give to Mary? "
"Bill","Answer: Bill. Question: Who did Bill give the apple to? Answer: Mary. Question:","Who did Mary give the apple to? "
"Mary","Answer: The man who was in the tenement. Question: What did the man do with the","Who gave the football? "
"apple","Answer: An apple. Question: What did Bill give to Fred? Answer: A football.","What did Fred give to Bill? "
"apple","Answer: A kiss. Bill passed the apple to Mary. Mary passed the apple to Fred. Fred","What did Bill give to Mary? "
"milk","Answer: Milk.  </question>  </section>  </section>  </section>  </section>  </","What did Jeff give to Fred? "
"Mary","Answer: Mary.  Question: Who was the farmer? Answer: Mr. ""Well.  Question:","Who received the football? "
"Jeff","Answer: Jeff. Question: Who took the apple from Jeff? Answer: Fred. Question: Who","Who gave the apple to Fred? "
"Jeff","<context> <answer> Jeff. <context> <question> Who gave the apple? <","Who received the apple? "
"Jeff","Answer: Jeff. Question: Who took the apple? Answer: Bill. Question: Who left the","Who gave the apple? "
"apple","Answer: An apple. Question: What did the monkey do? Answer: He peeped over","What did Mary give to Bill? "
"Jeff","Answer: The Fairy Godmother.  Question: Who took the apple? Answer: Jeff.  Question:","Who gave the apple? "
"football","Answer: The football. Question: What happened to Hellena Rosenthrall? Answer: She","What did Jeff give to Mary? "
"Bill","Answer: Bill. Question: Who gave the milk to Bill? Answer: Mary. Question: Who","Who gave the milk to Mary? "
"Fred","Answer: Bill. Question: Who gave the milk? Answer: Bill. Question: Who gave the","Who gave the milk? "
"Bill","Answer: Bill. Question: Who picked up the milk? Answer: Bill. Question: Who went","Who gave the apple? "
"Fred","Answer: Jeff. Question: Who gave the milk? Answer: Fred. Question: Who gave the","Who gave the milk? "
