"target","output","question"
"Jeff","Mary Mary. Mary went back to the house. </context>  Question: Mary went back to the","Who did Fred give the milk to? "
"Jeff","Mary. Jeff. Mary. Mary. Mary. Mary. Mary. Mary. Mary. Mary.","Who received the football? "
"Jeff","Bill? Mary? Jeff? Mary. Bill? Mary. Mary. Mary. Mary. Mary.","Who received the apple? "
"Mary","Mary gave football there. Mary gave football there. Mary got football there. Mary got football there.","Who gave the football? "
"apple","Mary took the football. Mary took the football. Mary took the football. Mary took the football.","What did Fred give to Mary? "
"Fred","Jeff or Fred? Jeff gave the apple to Fred. Jeff gave the apple to Fred. Jeff gave","Who received the apple? "
"apple","Mary handed the apple to Fred. Mary handed the apple to Fred. Mary handed the apple to Fred","What did Mary give to Fred? "
"Mary","Mary gave the football to Fred.  <answer>  context: Mary gave the football to Fred. Mary","Who gave the football to Fred? "
"Jeff","Jeff, Mary, Bill, Jeff, Mary, Bill, Mary, Jeff, Mary, Bill,","Who gave the apple to Bill? "
"Jeff","Bill. Mary. Jeff. Mary and Bill.  Question: What did Mary do? She went to","Who received the milk? "
"Mary","Mary. Jeff. Mary. Mary. Mary. Mary. Mary. Mary. Mary. Mary.","Who received the milk? "
"Jeff","Mary gave the apple. Mary gave the apple to Fred. Mary gave the apple to Fred. Mary","Who gave the apple? "
"Bill","Mary. Jeff. Bill. Mary and Bill.  Question: Mary, Jeff, Bill and Mary received","Who received the milk? "
