"target","output","question"
"Jeff","Answer: The cow.  Question: What did Fred do with the milk? Answer: He gave it","Who did Fred give the milk to? "
"apple","A. The apple B. The apple core C. The apple peel D. The apple seed","What did Mary give to Jeff? "
"Jeff","Answer: The football was received by the captain of the ship, who was the owner of the ship","Who received the football? "
"milk","A. The milk B. The apple C. The butter D. The bread  Question: What","What did Mary give to Bill? "
"Jeff","Answer: Mary. Question: Who was the girl in the room? Answer: The girl was the","Who received the apple? "
"Mary","Mary or Catharine?  Answer: Mary.  Question: What was the name of the smith's apprentice","Who gave the milk? "
"Mary","Answer: The football was given by the football committee. Question: Who is the football committee?","Who gave the football? "
"milk","Answer: A kiss. Question: What did Jeff give to Mary? Answer: A kiss. Question","What did Mary give to Jeff? "
"apple","Answer: Fred passed the apple to Mary.","What did Fred give to Mary? "
"Fred","Answer: Fred. Question: What did Fred do with the football? Answer: He handed it to","Who gave the football to Mary? "
"Fred","Jeff or Fred?  Answer: Jeff gave the apple to Fred.  Question: What was the title of","Who received the apple? "
"Fred","Answer: Fred. Question: Who gave the apple? Answer: Bill. Question: Who received the","Who received the apple? "
"apple","A. An apple. B. A pear. C. A banana. D. A peach.","What did Mary give to Fred? "
"Mary","Mary or Bill?  Answer: Mary  Question: What was the name of the ship?  Answer:","Who received the milk? "
"Mary","(1 point)  Answer: Mary gave the football to Fred. (1 point)  Question: Who","Who gave the football to Fred? "
"Bill","Answer: Jeff. Question: Who passed the milk? Answer: Bill. Question: Who was the","Who received the milk? "
"Jeff","(1 point)  Question: What was the name of the mare? (1 point)  Question:","Who gave the apple to Bill? "
"Bill","(a) Bill (b) Fred (c) Emil (d) None of the above","Who gave the milk to Fred? "
"Jeff","Answer: The cows. Question: Who received the milk? Answer: The cows. Question: Who","Who received the milk? "
"Fred","Answer: Fred. Question: Who was the first to receive the football? Answer: Mary. Question","Who received the football? "
"Mary","Answer: Mary. Question: What did she put down? Answer: The milk. Question: What","Who received the milk? "
"Mary","Answer: The football was received by the football club. Question: Who received the football? Answer","Who received the football? "
"Jeff","Answer: Fred. Question: Who was the mysterious white canoe? Answer: The canoe of the dead","Who gave the apple? "
"milk","A. Milk B. Coffee C. Water D. Whiskey  Question: What was the name","What did Mary give to Bill? "
"Bill","Answer: Mary. Question: Who put down the apple? Answer: Bill. Question: Who was","Who received the milk? "
