"target","output","question"
"Jeff","Answer: Fred gave the football to Fred. Question: Who did Fred give the football to? Answer","Who did Fred give the football to? "
"Fred","Answer: The Booshalloch and his sons. Question: Who received the bread? Answer:","Who received the milk? "
"Jeff","Answer: Fred gave the milk to Fred. Question: Who gave the milk to Fred? Answer:","Who gave the milk to Fred? "
"milk","Answer: Nothing. Question: What did Bill give to Mary? Answer: Nothing. Question:","What did Mary give to Bill? "
"Mary","Answer: Mary Carvel. Question: Who received the football? Answer: Mary Carvel.","Who received the football? "
"Fred","Answer: Jeff gave the milk to Jeff. Question: Who gave the milk to Jeff? Answer:","Who gave the milk to Jeff? "
"milk","Answer: A pair of slippers. Question: What did Bill give to Jeff? Answer: A","What did Jeff give to Bill? "
"Fred","Answer: The cook. Question: Who ate the apple? Answer: The cook. Question: Who","Who received the apple? "
"Fred","Answer: Fred. Question: Who gave the apple to Mary? Answer: Fred. Question: Who","Who gave the apple to Mary? "
"Jeff","Answer: Fred. Schummel. Question: Who delivered it? Answer: Fred.","Who gave the milk? "
"milk","Answer: A diamond ring. Question: What did Mary give to Fred? Answer: A diamond ring","What did Fred give to Mary? "
"Fred","Answer: Fred gave the apple to Bill. [Illustration: THE ""HARTFORD""","Who gave the apple to Bill? "
"Mary","Answer: Fred. Question: Who passed it? Answer: Mary. Question: Who caught it","Who received the football? "
"apple","Answer: A pair of shoes. Question: What did Bill give to Fred? Answer: A pair","What did Fred give to Bill? "
"Bill","Answer: Bill. Question: Who gave the football to Fred? Answer: Bill. Question","Who gave the football to Fred? "
"Fred","Answer: Jeff gave the football to Jeff. Question: Who gave the football to Jeff? Answer:","Who gave the football to Jeff? "
"milk","Answer: A pair of slippers. Question: What did Fred give to Mary? Answer: A","What did Mary give to Fred? "
"Bill","Answer: Fred gave the apple to the boy who gave him the apple. Question: Who did","Who did Fred give the apple to? "
"Fred","Answer: Jeff. Question: Who gave the apple? Answer: Jeff. Question: Who gave the","Who gave the milk? "
"Bill","Answer: Bill. Question: Who gave the apple? Answer: Bill. Question: Who gave the","Who gave the apple? "
"Mary","Answer: The cat. Question: Who did Jeff give the apple to? Answer: The cat.","Who did Jeff give the apple to? "
"Mary","Answer: Mary. Question: Who gave the dinner? Answer: Jennie. Question: Who washed","Who gave the milk? "
"milk","Answer: Nothing. Question: What did Bill give to Fred? Answer: Nothing. Question: What","What did Fred give to Bill? "
"Bill","Answer: Jeff gave the football to Jeff. Question: Who gave the football to Jeff? Answer:","Who gave the football to Jeff? "
"Mary","Answer: Mary. Question: Who was the author of the elegy on Jeff? Answer:","Who gave the milk to Jeff? "
