"target","output","question"
"kitchen","""I'll be dhrimmed if Oi'll be aisy, Barney, and O","Where is Mary? "
"garden","""I am not a man to be trifled with, and I am not going to be","Where is Mary? "
"office","3.1.1.1.1.1.1.1.1.1","Where is Daniel? "
"bathroom","""1 1 1 1 1 1 1 1 1 1","Where is Sandra? "
"kitchen","--1 1/2c1 1/2c1 13 1/","Where is Sandra? "
"bedroom","…3.5.1.1.1.1.1.1.1.1","Where is John? "
"bedroom","3.5.1 3.5.2 3.5-4 4","Where is Daniel? "
"garden","'I'm not 'nearly ashorf 'nearly as 'orrible as '","Where is Daniel? "
"garden","""I--er--I--"" ""I am not,""--and he waspishness","Where is Sandra? "
"garden","Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton","Where is Sandra? "
"office","""I am not,"" I said, and I was not, and I was not, and","Where is Mary? "
"bathroom","—1.3.0=3.3.0=3.3.0=3","Where is Sandra? "
"hallway","""I--"" ""I--"" ""I--"" ""I--"" ""I--""","Where is Daniel? "
"kitchen","The greatest of all the ""holy"" books, and no one can find it.","Where is Daniel? "
"bedroom","--and the ""soul"" of the ""s1-1,3.1.1","Where is Mary? "
"bedroom","""3-1-5-1-1-1-1-1-1-1","Where is Daniel? "
"office","""3.3.8.3.3.8.3.3.8.3","Where is Daniel? "
"office","--or, to be more exact, the 1 3 33,3,3","Where is John? "
"bathroom","[_3-1-1_3-1-1_3-1-1_3","Where is Sandra? "
"office","""I am not going to befool myself,"" he said. ""I am not a fool","Where is Sandra? "
"hallway","3.5.1.3.1.1.1.1.1.1","Where is Daniel? "
"garden","""I3 1 3 3 3 3 3 3 3","Where is John? "
"office","3.3.1.3.3.1.3.1.3.1","Where is John? "
"bedroom","1 1.1.1.1.1.1.1.1.1.","Where is Daniel? "
"office","Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton Morton","Where is John? "
