"target","output","question"
"Jeff","Answer: Jeff Okay, let's try to figure out who Fred gave the milk to. So","Who did Fred give the milk to? "
"apple","Answer: Answer: apple Okay, let's try to figure out what Mary gave to Jeff","What did Mary give to Jeff? "
"Jeff","Answer: Jeff Okay, let's try to figure out who received the football based on the","Who received the football? "
"milk","Answer: Answer:  milk The answer is ""milk"" because the context states ""Mary","What did Mary give to Bill? "
"Jeff","Answer: Jeff Okay, let's try to figure out who received the apple based on the","Who received the apple? "
"Mary","Answer: Jeff Okay, let's try to figure out who gave the milk based on the","Who gave the milk? "
"Mary","The answer is Jeff.   Wait, let me check again. The context says ""Jeff took","Who gave the football? "
"milk","Answer: Answer: Answer: milk Answer: milk Answer: milk Answer: milk","What did Mary give to Jeff? "
"apple","Answer: apple Okay, let's try to figure out what Fred gave to Mary. So","What did Fred give to Mary? "
"Fred","Answer: Mary Okay, let's try to figure out who gave the football to Mary based on","Who gave the football to Mary? "
"Fred","Answer:  Fred Okay, let's try to figure out who received the apple based on the","Who received the apple? "
"Fred","Answer: Answer: Fred Okay, let's try to figure out who received the apple based","Who received the apple? "
"apple","Answer: apple Okay, let's try to figure out what Mary gave to Fred based on the","What did Mary give to Fred? "
"Mary","Answer: Mary Okay, let's try to figure out who received the milk based on the","Who received the milk? "
"Mary","Answer: Answer:  Bill The answer is Bill.   Bill passed the football to Mary. Mary","Who gave the football to Fred? "
"Bill","Answer: Bill Okay, let's try to figure out who received the milk based on the","Who received the milk? "
"Jeff","Answer: Jeff  Okay, let's try to figure out who gave the apple to Bill based on","Who gave the apple to Bill? "
"Bill","Answer: Answer: Bill  Step-by-step explanation: 1. The context mentions ""Bill passed the","Who gave the milk to Fred? "
"Jeff","Answer: Jeff Okay, let's try to figure out who received the milk based on the","Who received the milk? "
"Fred","Answer: Answer: Fred Okay, let's try to figure out who received the football based","Who received the football? "
"Mary","Answer: Answer: Jeff Answer: Mary Answer: Mary Answer: Jeff Answer","Who received the milk? "
"Mary","Answer: Mary Okay, let's try to figure out who received the football based on the","Who received the football? "
"Bill","Answer: Answer: Bill Okay, let's try to figure out who gave the apple based","Who gave the apple? "
"Bill","Answer: Bill Okay, let's try to figure out who gave the milk to Mary based","Who gave the milk to Mary? "
"Fred","Answer: Answer: Fred The answer is Fred.   Step-by-step explanation: 1. The","Who did Bill give the apple to? "
