"target","output","question"
"Jeff","(1) Who did Mary give the football to? (2) Who did Mary give the football","Who did Fred give the football to? "
"Fred","(a) Who received the milk? (b) Who received the milk? (c) Who","Who received the milk? "
"Jeff","(The first two words of the first two words of the first two words of the first two","Who gave the milk to Fred? "
"milk","--What did Mary give to Bill?--What did Mary give to Bill?--What did Mary","What did Mary give to Bill? "
"Mary","Who was the first to receive the football? Who was the first to receive the football? Who was","Who received the football? "
"Fred","Who made the bread? (a) Who made the water? (b) Who made the wind","Who gave the milk to Jeff? "
"milk","What did he give to the Duke? What did he give to the King? What did he give","What did Jeff give to Bill? "
"Fred","(a) Who sent the telegram? (b) Who brought the present? (c) Who","Who received the apple? "
"Fred","(a) Who gave the apple to Mary? (b) Who gave the apple to Mary?","Who gave the apple to Mary? "
"Jeff","(a) (b) (c) (d) (e) (f) (g","Who gave the milk? "
"milk","(Luke 5) What did Mary give to Elizabeth? (Luke 11) What did Mary","What did Fred give to Mary? "
"Fred","(from the child’s point of view)  “Who gave the apple to Bill?” (from the","Who gave the apple to Bill? "
"Mary","(See 1. 2. 3. 4. 5. 6.","Who received the football? "
"apple","1. What did Mary give to Elizabeth? 2. Why did Mary give to Elizabeth?","What did Fred give to Bill? "
"Bill","And who was it that gave the football to the boy?     And who was it that gave the","Who gave the football to Fred? "
"Fred","(1) Who gave the football to Jeff? (2) Who gave the football to Jeff?","Who gave the football to Jeff? "
"milk","What did Mary give to Fred? What did Mary give to Fred? What did Mary give to Fred","What did Mary give to Fred? "
"Bill","(p. 5) Who did Mary give the letter to? (p. 7)","Who did Fred give the apple to? "
"Fred","Who gave the bread? Who gave the meat? Who gave the fish? Who gave the fruit?","Who gave the milk? "
"Bill","(a) Who gave the apple? (b) Who gave the apple? (c) Who","Who gave the apple? "
"Mary","--and who did he give it to?--and who did he give it to?--and","Who did Jeff give the apple to? "
"Mary","Who gave the milk? Who gave the milk? Who gave the milk? Who gave the milk?","Who gave the milk? "
"milk","(from the Bible) What did Mary know about Jesus? (from the Bible) What did Mary","What did Fred give to Bill? "
"Bill","Who was it that sent the letter to the little blindfold? Who was it that gave the telegram","Who gave the football to Jeff? "
"Mary","Who gave the milk to Mary? Who gave the milk to the boy? Who gave the milk to","Who gave the milk to Jeff? "
