"target","output","question"
"kitchen","Question: What is the best way to get to the bathroom? Question: What is the best way","Where is the football? "
"garden","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"bedroom","Where is the apple? Where is the apple? Where is the apple? Where is the apple?","Where is the apple? "
"bedroom","Where is the apple? Where is the apple? Where is the apple? Where is the apple?","Where is the apple? "
"kitchen","garden","Where is the apple? "
"hallway","Where is the apple? Where is the apple? Where is the apple? Where is the apple?","Where is the apple? "
"kitchen","Where is the milk","Where is the milk? "
"garden","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"bedroom","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"bathroom","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"bathroom","Question: Where is the football? Question: Where is the football? Question: Where is the football","Where is the football? "
"bedroom","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"bathroom","garden","Where is the apple? "
"kitchen","Where is the football? Where is the football? Where is the football? Where is the football?","Where is the football? "
"bedroom","garden","Where is the apple? "
"garden","garden","Where is the apple? "
"bedroom","A bathroom","Where is the football? "
"bedroom","A bathroom Question: What is the name of the movie? A The Matrix Question: What","Where is the apple? "
"garden","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"garden","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"office","Where is the apple? Where is the apple? Where is the apple? Where is the apple?","Where is the apple? "
"bedroom","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"garden","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"bathroom","A bathroom Question: What is the name of the movie? A The Matrix Question: What","Where is the milk? "
"office","bathroom Question: What is the name of the movie? The Big Lebowski Question:","Where is the apple? "
"garden","[football]","Where is the football? "
"garden","bathroom Question: What is the best way to learn French? school Question: What is the","Where is the football? "
"bedroom","Where is the apple? Where is the apple? Where is the apple? Where is the apple?","Where is the apple? "
"hallway","Answer: In the garden. Question: What is the color of the apple? Answer: Red.","Where is the apple? "
"hallway","Where is the apple? Where is the apple? Where is the apple? Where is the apple?","Where is the apple? "
"hallway","Question: Where is the apple? Question: Where is the apple? Question: Where is the apple","Where is the apple? "
"garden","Where is the football? Where is the football? Where is the football? Where is the football?","Where is the football? "
"hallway","Where is the apple","Where is the apple? "
"kitchen","Where is the football? Where is the football? Where is the football? Where is the football?","Where is the football? "
"hallway","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"kitchen","Where is the apple? Where is the apple? Where is the apple? Where is the apple?","Where is the apple? "
"office","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"hallway","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"bathroom","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"bathroom","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"bathroom","In the bathroom, or in the garden, or in the office, or in the kitchen, or","Where is the football? "
"hallway","Where is the football? Where is the football? Where is the football? Where is the football?","Where is the football? "
"garden","Garden","Where is the apple? "
