"target","output","question"
"bathroom","Answer: The most recent location of Mary is bathroom. </context>  Okay, let's tackle","Where is Mary? "
"bedroom","Answer: The most recent location of Sandra is bedroom. Okay, let's tackle this question.","Where is Sandra? "
"kitchen","Answer: The most recent location of Mary is kitchen. Okay, let's see. The user","Where is Mary? "
"bathroom","Answer: The most recent location of Mary is bathroom. Okay, let's tackle this question.","Where is Mary? "
"kitchen","Answer: The most recent location of Sandra is kitchen.   Answer: The most recent location of","Where is Sandra? "
"hallway","Answer: The most recent location of Sandra is bedroom. Okay, let's see. I need","Where is Sandra? "
"bedroom","Answer: The most recent location of Mary is kitchen. Okay, let's tackle this question.","Where is Mary? "
"office","Answer: The most recent location of Sandra is bathroom. Okay, let's tackle this question.","Where is Sandra? "
"office","Answer: The most recent location of Mary is garden. </example>  Okay, let's tackle","Where is Mary? "
"kitchen","Answer: The most recent location of Sandra is kitchen. Okay, let's tackle this question.","Where is Sandra? "
"bedroom","Answer: The most recent location of Mary is bedroom. </context>  Okay, let's tackle","Where is Mary? "
"office","Answer: The most recent location of Daniel is office. Okay, let's try to figure out","Where is Daniel? "
"office","Answer: The most recent location of Daniel is office. </context>  Okay, let's see","Where is Daniel? "
"office","Answer: The most recent location of John is office. </answer> Okay, let's tackle","Where is John? "
"hallway","Answer: The most recent location of Sandra is bedroom. Okay, let's try to figure out","Where is Sandra? "
"bedroom","Answer: The most recent location of Daniel is bedroom. Okay, let's see. The user","Where is Daniel? "
"bathroom","Answer: The most recent location of Sandra is bathroom. Okay, let's see. The user","Where is Sandra? "
"garden","Answer: The most recent location of Sandra is garden. Okay, let's tackle this question.","Where is Sandra? "
"bedroom","Answer: The most recent location of John is bedroom. </context>  Okay, let's tackle","Where is John? "
"hallway","Answer: The most recent location of Mary is kitchen. Okay, let's tackle this question.","Where is Mary? "
"hallway","Answer: The most recent location of John is hallway. Okay, let's see. The user","Where is John? "
"bathroom","Answer: The most recent location of John is the broad veranda of an exclusive country club.","Where is John? "
"office","Answer: The most recent location of Mary is the village street. Answer: The most recent location","Where is Mary? "
"hallway","Answer: The most recent location of John is hallway. Okay, let's see. I need","Where is John? "
"garden","Answer: The most recent location of Sandra is garden. </context>  Okay, let's see","Where is Sandra? "
