"target","output","question"
"kitchen","Choices: A. In the kitchen B. In the living room C. In the","Where is Sandra? "
"kitchen","Answer: In the kitchen.  Question: What is the main topic of the text? Answer: The","Where is John? "
"office","Choices: A. In the hospital B. In the school C. In the park","Where is John? "
"bathroom","Answer: In the bathroom.  Question: What is the name of the person who is in","Where is Sandra? "
"bedroom","Choices: A. In the library B. In the newspaper office C. In the","Where is John? "
"office","(A) In the office (B) In the library (C) In the hospital (","Where is Daniel? "
"bathroom","Choices: A. In the bathroom B. In the kitchen C. In the garden","Where is Sandra? "
"hallway","Choices: A. In the house B. In the woods C. In the hospital","Where is Mary? "
"office","Answer: In the context, Daniel is a person who is part of a group of people who are","Where is Daniel? "
"bedroom","What is he doing?  Okay, so I need to figure out where John is and what he's","Where is John? "
"bedroom","Choices: A. In the kitchen B. In the bedroom C. In the garden","Where is Mary? "
"bedroom","Choices: A. In the kitchen B. In the bedroom C. In the living","Where is Mary? "
"garden","Choices: A. In the garden B. In the stable C. In the hospital","Where is Mary? "
"office","Choices: A. In the kitchen B. In the garden C. In the field","Where is Sandra? "
"garden","Answer: In a convent.  Question: What is the name of the person who is the narrator?","Where is Sandra? "
"bathroom","(Answer according to the context given) Answer: Mary is in the bathroom.  Okay, let","Where is Mary? "
"kitchen","Choices: 1. In the kitchen. 2. In the living room. 3","Where is Sandra? "
"kitchen","Answer: Sandra is in the kitchen.  Question: What is the main topic of the text? Answer","Where is Sandra? "
"garden","Choices: A. In the cabin B. In the forest C. In the mountains","Where is John? "
"bathroom","(A) In the bathroom (B) In the garden (C) In the kitchen (","Where is Sandra? "
"kitchen","Answer: Sandra is in the kitchen.  Question: What is the main topic of the text? Answer","Where is Sandra? "
"bedroom","Answer: Mary is in the room with the other characters, as the story is set in a room","Where is Mary? "
"office","Choices: A. In the kitchen B. In the garden C. In the living","Where is Sandra? "
"bedroom","Answer: Sandra is in the bedroom.  Okay, let's try to figure out where Sandra is","Where is Sandra? "
"bedroom","Answer: Sandra went back to the bedroom.  Okay, let's see. The user is asking","Where is Sandra? "
"bedroom","(A) In the kitchen (B) In the garden (C) In the bedroom (","Where is Sandra? "
"garden","Choices: A. In the garden B. In the kitchen C. In the hallway","Where is John? "
"hallway","(Answer with the name of the place) Answer: The Conciergerie  Okay,","Where is Mary? "
"hallway","Choices: A. On a ship B. In a cabin C. In a tent","Where is John? "
"bedroom","Choices: A. In the kitchen B. In the hallway C. In the bedroom","Where is Sandra? "
"kitchen","Choices: A. In the kitchen B. In the living room C. In the","Where is Sandra? "
"garden","Choices: A. In the garden B. In the house C. In the temple","Where is John? "
"garden","Choices: A. In the kitchen B. In the garden C. In the lake","Where is Sandra? "
"bedroom","Choices: A. In the kitchen B. In the bedroom C. In the garden","Where is Mary? "
"bathroom","Choices: A. In the bathroom B. In the office C. In the me","Where is Sandra? "
"kitchen","Choices: A. In the kitchen B. In the bedroom C. In the living","Where is Daniel? "
"office","Choices: A. In the house of commons B. In the garden C. In","Where is Daniel? "
"office","Answer: John is in the room with the other people.  Question: What is the answer to the","Where is John? "
"office","Choices: A. In the city B. In the country C. In the castle","Where is John? "
"bathroom","Choices: A. In the field B. In the hospital C. In the camp","Where is John? "
"hallway","Choices: A. In the kitchen B. In the garden C. In the cave","Where is Daniel? "
"bathroom","Choices: A. In the kitchen B. In the bathroom C. In the garden","Where is Daniel? "
"bathroom","Choices: A. In the Inquisition B. In the church C. In the","Where is Daniel? "
"bedroom","Choices: A. In the kitchen B. In the bedroom C. In the living","Where is John? "
"garden","Choices: A. In the garden B. In the house C. In the library","Where is Sandra? "
"bedroom","Choices: A. In the bedroom B. In the library C. In the kitchen","Where is Daniel? "
"kitchen","Choices: A. In the kitchen B. In the garden C. In the living","Where is Daniel? "
"hallway","Answer: Sandra is at Althorpe, which is the family seat of the Spencer family,","Where is Sandra? "
"bedroom","Choices: A. In the castle B. In the forest C. In the field","Where is John? "
"garden","Answer: The most recent location mentioned for Sandra is garden. Okay, let's see. The","Where is Sandra? "
