target,output,question
kitchen,garden,Where is the football? 
garden,Garden,Where is the milk? 
bedroom,Kitchen,Where is the apple? 
bedroom,garden,Where is the apple? 
kitchen,kitchen,Where is the apple? 
hallway,Garden,Where is the apple? 
kitchen,garden,Where is the milk? 
garden,garden,Where is the milk? 
bedroom,garden,Where is the milk? 
bathroom,In hallway,Where is the milk? 
bathroom,garden,Where is the football? 
bedroom,Garden,Where is the milk? 
bathroom,Garden,Where is the apple? 
kitchen,kitchen,Where is the football? 
bedroom,garden. And the hallway bathroom.,Where is the apple? 
garden,Garden,Where is the apple? 
bedroom,garden,Where is the football? 
bedroom,garden,Where is the apple? 
garden,garden,Where is the milk? 
garden,kitchen,Where is the milk? 
office,garden,Where is the apple? 
bedroom,Garden,Where is the milk? 
garden,garden,Where is the milk? 
bathroom,office,Where is the milk? 
office,garden,Where is the apple? 
garden,garden,Where is the football? 
garden,garden,Where is the football? 
bedroom,hallway,Where is the apple? 
hallway,garden,Where is the apple? 
hallway,kitchen,Where is the apple? 
hallway,garden,Where is the apple? 
garden,garden,Where is the football? 
hallway,Garden,Where is the apple? 
kitchen,garden,Where is the football? 
hallway,Garden,Where is the milk? 
kitchen,Garden,Where is the apple? 
office,hallway,Where is the milk? 
hallway,garden,Where is the milk? 
bathroom,Garden,Where is the milk? 
bathroom,garden,Where is the milk? 
bathroom,garden,Where is the football? 
hallway,garden,Where is the football? 
garden,Garden,Where is the apple? 
bedroom,garden,Where is the apple? 
kitchen,garden,Where is the milk? 
bedroom,garden,Where is the milk? 
hallway,garden,Where is the apple? 
garden,hallway,Where is the milk? 
kitchen,garden,Where is the football? 
bathroom,hallway,Where is the football? 
garden,garden,Where is the milk? 
bedroom,garden,Where is the apple? 
hallway,Garden,Where is the milk? 
hallway,garden,Where is the milk? 
office,garden,Where is the milk? 
kitchen,hallway,Where is the apple? 
bathroom,garden,Where is the milk? 
bathroom,garden,Where is the milk? 
office,garden,Where is the football? 
garden,hallway,Where is the football? 
kitchen,hallway,Where is the apple? 
bathroom,hallway,Where is the apple? 
garden,garden,Where is the football? 
bathroom,garden. The milk was drunk in the garden.,Where is the milk? 
bathroom,Garden,Where is the milk? 
hallway,garden,Where is the milk? 
bedroom,Garden,Where is the football? 
garden,office,Where is the football? 
bedroom,garden,Where is the football? 
bathroom,garden,Where is the apple? 
garden,Garden,Where is the milk? 
office,bedroom,Where is the milk? 
office,kitchen,Where is the football? 
hallway,kitchen,Where is the football? 
garden,garden,Where is the football? 
office,hallway,Where is the milk? 
kitchen,garden,Where is the football? 
office,Garden,Where is the milk? 
kitchen,hallway,Where is the apple? 
kitchen,garden,Where is the football? 
office,garden,Where is the football? 
kitchen,Garden,Where is the apple? 
office,garden,Where is the apple? 
bathroom,garden,Where is the football? 
bathroom,garden,Where is the football? 
office,Garden,Where is the milk? 
bathroom,In the garden. What is the garden? A garden. Where is the garden? In the yard,Where is the apple? 
bedroom,kitchen,Where is the milk? 
hallway,"In bathroom. And she's gone down the hallway
and stayed there. ""She's gone to",Where is the apple? 
bedroom,garden,Where is the milk? 
bedroom,Garden,Where is the apple? 
bathroom,garden,Where is the football? 
bedroom,office,Where is the football? 
bedroom,garden,Where is the football? 
bedroom,Garden,Where is the apple? 
kitchen,garden,Where is the football? 
garden,hallway,Where is the milk? 
office,garden,Where is the milk? 
bedroom,hallway,Where is the milk? 
kitchen,kitchen,Where is the apple? 
