"target","output","question"
"bedroom","Answer: The apple is in the kitchen.   [End of the context]  Okay, let","Where is the apple? "
"kitchen","Answer: The milk is in the kitchen.   Okay, let's see. The user is","Where is the milk? "
"bathroom","Answer: The football is in the hallway.  Okay, let's see. The user is asking","Where is the football? "
"bedroom","Okay, let's see. The user is asking ""Where is the apple?"" based on the","Where is the apple? "
"garden","Okay, let's see. The user is asking ""Where is the milk?"" based on the","Where is the milk? "
"garden","Answer: The milk is in the kitchen.  Okay, let's try to figure out where the","Where is the milk? "
"garden","Answer: The football is in the kitchen.  Okay, let's see. The user is asking","Where is the football? "
"hallway","Answer: The apple is in the kitchen.   [59] The following is a passage","Where is the apple? "
"hallway","Answer: The milk is in the kitchen.  Okay, so the user is asking, ""Where","Where is the milk? "
"bathroom","Answer: The milk is in the kitchen.   Question: What is the name of the city where","Where is the milk? "
"garden","Choices: A. In the garden B. In the kitchen C. In the woods","Where is the apple? "
"hallway","Answer: The apple is in the garden. Okay, let's try to figure out where the","Where is the apple? "
"garden","Answer: The milk is in the kitchen.   The man who cannot what he would attain,","Where is the milk? "
"office","Answer: The milk is in the kitchen.  Okay, let's see. The user is asking","Where is the milk? "
"office","Answer: The football is in the kitchen.  Okay, let's try to figure out where the","Where is the football? "
"garden","Answer: The football is in the kitchen.  Okay, let's try to figure out where the","Where is the football? "
"bedroom","Answer: The football is in the bedroom.  Okay, let's try to figure out where the","Where is the football? "
"garden","Answer: The milk is in the kitchen.   The answer is derived from the text by the","Where is the milk? "
"garden","Answer: The football is in the garden.      The football is in the garden.","Where is the football? "
"kitchen","Answer: The apple is in the kitchen.  Question: Where is the apple?  Answer","Where is the apple? "
"office","Answer: The apple is in the kitchen. Okay, let's see. The user provided a","Where is the apple? "
"bathroom","Answer: The apple is in the bathroom.  Answer: The apple is in the bathroom.","Where is the apple? "
"bedroom","Okay, let's try to figure out where the apple is. So, the story is about","Where is the apple? "
"bedroom","Choices: A. In the crib B. In the cradle C. In the","Where is the apple? "
"bedroom","Answer: The milk is in the hallway.  The answer is in the text. The milk is","Where is the milk? "
