"target","output","question","orig_chunk","full_chunk"
"Jeff","What was the cause of the scene of confusion and clamour? What was the cause of the scene","Who did Fred give the football to? ","{24}","{21, 13}"
"Bill","Mary gave the milk to Bill. Mary passed the milk to Bill.

Question: Who did Jeff go","Who did Mary give the milk to? ","{24}","{24, 21}"
"Jeff","Mary went back to the hallway. She had become larger, and more powerful, somehow, than the","Who did Fred give the milk to? ","{25}","{25}"
"milk","Answer: A letter. Question: What did Jeff give to Fred? Answer: A letter. Question","What did Mary give to Fred? ","{29}","{27}"
"Fred","Answer: Fred. Question: Who was the man? Answer: The man was the satirist","Who received the milk? ","{20, 29}","{18}"
"apple","What did she give to Arne? What did she give to Nils?

Question: What did","What did Mary give to Jeff? ","{26}","{26}"
"apple","Answer: She gave him a bird in a cage. Question: What did Jeff give to Arne","What did Mary give to Jeff? ","{27}","{26}"
"apple","Answer: An apple.

Question: What did Fred give to Bill? Answer: An apple.

Question","What did Fred give to Bill? ","{27}","{27}"
"Jeff","What did Arne think he wept? What did Arne think he wept? What did","Who gave the milk to Fred? ","{27}","{26}"
"Fred","Answer: Fred gave the apple to Mary.

Question: Who gave the apple to Fred? Answer:","Who gave the apple to Mary? ","{8}","{8}"
"Jeff","Answer: Jeff. he! Mary gave the football to Jeff. he!

Question: Who is the","Who received the football? ","{19}","{19}"
"Jeff","Mary gave the football to Charles.

Question: What did Mary give Charles? Mary gave Charles the football","Who did Mary give the football to? ","{23}","{19, 21}"
"milk","in that case the choice will soon be made. The incumbent of Danicourt is one of the","What did Mary give to Bill? ","{22}","{22}"
"Bill","A. Gabriel B. Rudolph C. Bill D. Jeff

Question: Who was the actress","Who did Mary give the milk to? ","{25}","{23}"
"milk","A. the milk B. the butter C. the cream D. the cheese

Question: What","What did Mary give to Bill? ","{29}","{29}"
"apple","Answer: the apple. Mary travelled to the hallway. 136;
      his boys' letters,","What did Fred give to Mary? ","{25}","{25}"
"Mary","Mary. Asiatic campaigns have always been conducted in a more remorseless spirit than those between European nations","Who received the football? ","{29}","{25}"
"apple","What did he do with it?

Question: What did the girl do when the girl raised her head","What did Fred give to Bill? ","{27}","{22}"
"Jeff","Answer: Jeff. Jacob's reputation as a mean and hard man was well merited; and it","Who received the apple? ","{27}","{23}"
"Bill","Answer: The football was given to the football. Question: Who did Mary give the football to?","Who did Mary give the football to? ","{22}","{20}"
"Fred","A. Fred B. Eily C. Jeff D. Phelim

Question: What did E","Who gave the milk to Jeff? ","{20}","{20}"
"Mary","Mary. Mary gave the milk to Fred. Mary gave the milk to Fred. Mary gave the milk","Who received the milk? ","{23}","{21, 23}"
"Mary","Mary handed the milk to Fred. Mary handed the milk to Fred. Mary handed the milk to Fred","Who gave the milk? ","{28}","{28, 23}"
"milk","What did she do with it?

Question: What did Mary do with the milk?

Question: What","What did Bill give to Mary? ","{26}","{23}"
"milk","What did Mary do? What did Jeff do? What did Mary do? What did Jeff do?","What did Jeff give to Bill? ","{22}","{22}"
