"target","output","question"
"Jeff","A. His brother B. His sister C. His friend D. His mother  Question: What","Who did Fred give the football to? "
"Bill","A. The doctor B. The Indian boy C. The Indian chief D. The Indian girl","Who did Mary give the milk to? "
"Jeff","Answer: Jeff  Question: Who did Pauline drive to the manor? Answer: Bedelia","Who did Fred give the milk to? "
"milk","What did Jeff get?  Answer: Milk. Milk.  Question: What did Mary give to Fred?","What did Mary give to Fred? "
"Fred","Answer: Mary.","Who received the milk? "
"apple","Answer: The apple.","What did Mary give to Jeff? "
"apple","What did he give to her?  Answer: Mary gave Jeff a kiss. Jeff gave Mary a kiss","What did Mary give to Jeff? "
"apple","Answer: Fred gave the apple to Bill.","What did Fred give to Bill? "
"Jeff","A. Jennie B. Letty C. Lester D. Gerald Answer: C","Who gave the milk to Fred? "
"Fred","(1) Eleanore (2) Hannah (3) Raymond (4) Clavering","Who gave the apple to Mary? "
"Jeff","Answer: The football was received by the boy who was the best player. Question: What was the","Who received the football? "
"Jeff","A. Freddy B. Tom C. Jessie D. George  Question: What was the name of","Who did Mary give the football to? "
"milk","A. A book B. A pen C. A pencil D. A dictionary Question: What","What did Mary give to Bill? "
"Bill","A. The baby B. The cat C. The dog D. The cow Answer: A","Who did Mary give the milk to? "
"milk","Answer: Milk  Question: What was the name of the ladder? Answer: Sixty-five","What did Mary give to Bill? "
"apple","(Answer: an apple)  </text> </TEI.2> \end{code}","What did Fred give to Mary? "
"Mary","Answer: Mary  Question: What was the name of the town where Stephen Brice was born?","Who received the football? "
"apple","What did Bill give to Fred?  Answer: Bill gave Fred a half of his good beans, and","What did Fred give to Bill? "
"Jeff","Answer: Jeff.  Question: What was the name of the hotel in Zacatecas? Answer:","Who received the apple? "
"Bill","A. Horace B. Reuben C. Jessica D. Mary  Question: What did Mary","Who did Mary give the football to? "
"Fred","Answer: The cow. Question: Who gave the milk to the cow? Answer: The farmer.","Who gave the milk to Jeff? "
"Mary","Answer: The baby. Question: Who was the baby? Answer: The baby was the baby.","Who received the milk? "
"Mary","Answer: Mary.","Who gave the milk? "
"milk","(1 point)  Question: What did Bill give to Mary? (1 point)  Question: What","What did Bill give to Mary? "
"milk","Answer: A book. Question: What did Bill give to Jeff? Answer: A book. Question","What did Jeff give to Bill? "
"football","Answer: A letter. Question: What did Fred give to Jeff? Answer: A letter. Question","What did Jeff give to Fred? "
"Mary","Answer: The football was given by the football committee. Question: Who was the football committee? Answer","Who gave the football? "
"Mary","A. The man B. The woman C. The boy D. The girl  Question: What","Who gave the apple to Bill? "
"Fred","Answer: The apple was received by the boy. Question: What did the boy do with the apple","Who received the apple? "
"Mary","Answer: Mary. Question: What did the Brownies do to the whale? Answer: They rode","Who gave the milk to Bill? "
