"target","output","question"
"Jeff","James moved languidly. ""It's it it's it's it's it's it's","Who did Fred give the milk to? "
"apple","James gave to his little sister. James gave to his little sister. James gave to his little sister","What did Mary give to Jeff? "
"Jeff","James and harn.  James and harn.  James and harn.  James and harn.","Who received the football? "
"milk","James gave to these 'DW' and 'DW'. James gave to these 'DW' and","What did Mary give to Bill? "
"Jeff","James and Amy. James had received the apple. Amy had received the apple. James had received the","Who received the apple? "
"Mary","James, harnessed unto Adrienne, harnessed unto harnessed unto harnessed","Who gave the milk? "
"Mary","James,  and and and and and and and and and and and and and and and and and","Who gave the football? "
"milk","James gave to Mary. James gave to Mary. James gave to Mary. James gave to Mary.","What did Mary give to Jeff? "
"apple","James gave to Amy. James gave to Amy. James gave to Amy. James gave to Amy.","What did Fred give to Mary? "
"Fred","James gave the football to Mary. James gave the football to Mary. James gave the football to Mary","Who gave the football to Mary? "
"Fred","James, or or or or or or or or or or or or or or or or or or","Who received the apple? "
"Fred","James went. Fred Fred Fred Fred Fred Fred Fred Fred Fred Fred Fred Fred Fred Fred Fred Fred Fred","Who received the apple? "
"apple","James replied, ""My maiden bread.""      And And And And And And And And And And And","What did Mary give to Fred? "
"Mary","James, or Orrin, or both. James, or Orrin, or both. James,","Who received the milk? "
"Mary","James gave the football to Fred. {James gave the football to {Fred}. James gave the football","Who gave the football to Fred? "
"Bill","Jameson.  Jameson.  Jameson.  Jameson.  Jameson.  Jameson.  Jameson","Who received the milk? "
"Jeff","James, 134, 134, 134, 134, 134, 134,","Who gave the apple to Bill? "
"Bill","James gave the milk to Fred. James gave the milk to Fred. James gave the milk to Fred","Who gave the milk to Fred? "
"Jeff","James Isaac, &c. End of the project.  These are the 169, &c.","Who received the milk? "
"Fred","James and the harnessed bread. harnessed bread. harnessed bread. harn","Who received the football? "
"Mary","James Ames Ames Ames Ames Ames Ames Ames Ames Ames Ames Ames Ames Ames Ames Ames Ames Ames Ames Ames","Who received the milk? "
"Mary","James Monroe, 63. War of 1812, French-Canadian loyalty in the,","Who received the football? "
"Jeff","James, or Rothsay? James, or Rothsay? James, or Rothsay? James,","Who gave the apple? "
"milk","What did Bill give to Mary? What did they do with the harnell? What did they","What did Mary give to Bill? "
"Bill","James and his little list.  James and his little list.  James and his little list.  James and","Who received the milk? "
