"target","output","question","orig_chunk","full_chunk"
"Jeff"," Jeff, the the the the the the the the the the the the the the the the the the","Who did Fred give the football to? ","{24}","{21, 13}"
"Bill"," Mary, the the the the the the the the the the the the the the the the the the","Who did Mary give the milk to? ","{24}","{24, 21}"
"Jeff"," Mary, the the the the the the the the the the the the the the the the the the","Who did Fred give the milk to? ","{25}","{25}"
"milk"," Answer, the the the the the the the the the the the the the the the the the the","What did Mary give to Fred? ","{29}","{27}"
"Fred"," Answer, you have to be to be to be to be to be to be to the the the","Who received the milk? ","{20, 29}","{18}"
"apple"," What, the the the the the the the the the the the the the the the the the the","What did Mary give to Jeff? ","{26}","{26}"
"apple"," What, he was the the the the the the the the the the the the the the the the","What did Mary give to Jeff? ","{27}","{26}"
"apple"," Answer to the the the the the the the the the the the the the the the the the the","What did Fred give to Bill? ","{27}","{27}"
"Jeff"," Fred, the the the the the the the the the the the the the the the the the the","Who gave the milk to Fred? ","{27}","{26}"
"Fred"," Answer, the the the the the the the the the the the the the the the the the the","Who gave the apple to Mary? ","{8}","{8}"
"Jeff"," Answer, the the the the the the the the the the the the the the the the the the","Who received the football? ","{19}","{19}"
"Jeff"," Mary, the the the the the the the the the the the the the the the the the the","Who did Mary give the football to? ","{23}","{19, 21}"
"milk"," in the the the the the the the the the the the the the the the the the the the","What did Mary give to Bill? ","{22}","{22}"
"Bill"," Answer, the the the the the the the the the the the the the the the the the the","Who did Mary give the milk to? ","{25}","{23}"
"milk"," A, the the the the the the the the the the the the the the the the the the","What did Mary give to Bill? ","{29}","{29}"
"apple"," Answer, the the the the the the the the the the the the the the the the the the","What did Fred give to Mary? ","{25}","{25}"
"Mary"," Mary, the the the the the the the the the the the the the the the the the the","Who received the football? ","{29}","{25}"
"apple"," What, you have been to be be be be be be be be be be be be be be","What did Fred give to Bill? ","{27}","{22}"
"Jeff"," Answer, the the the the the the the the the the the the the the the the the the","Who received the apple? ","{27}","{23}"
"Bill"," Answer, the the the the the the the the the the the the the the the the the the","Who did Mary give the football to? ","{22}","{20}"
"Fred"," A, the the the the the the the the the the the the the the the the the the","Who gave the milk to Jeff? ","{20}","{20}"
"Mary"," Mary, the the the the the the the the the the the the the the the the the the","Who received the milk? ","{23}","{21, 23}"
"Mary"," Mary, the the the the the the the the the the the the the the the the the the","Who gave the milk? ","{28}","{28, 23}"
"milk"," A. The the the the the the the the the the the the the the the the the the","What did Bill give to Mary? ","{26}","{23}"
"milk"," What, the the the the the the the the the the the the the the the the the the","What did Jeff give to Bill? ","{22}","{22}"
