"target","output","question"
"Jeff","(from 'The Diary of John Evelyn')  Answer: Jeff  Question: Who did Jeff give the","Who did Fred give the football to? "
"Fred","Answer: Jeff. Question: Who passed the milk to Mary? Answer: Fred. Question: Who","Who received the milk? "
"Jeff","(1 point)  Answer: Jeff.  Question: Who took the football to Bill? (1 point","Who gave the milk to Fred? "
"milk","(Answer: Milk)  Question: What did Jeff move to? (Answer: The kitchen)  Question","What did Mary give to Bill? "
"Mary","(1 point)  Answer: Mary  </answer>  </text>  </text>  </text>","Who received the football? "
"Fred","(a) Fred (b) Harry (c) Edward (d) Katy  Answer: (","Who gave the milk to Jeff? "
"milk","Answer: The milk. Question: What did the girl do? Answer: She ran away. Question","What did Jeff give to Bill? "
"Fred","(a) Mary (b) Fred (c) Jeff (d) Bill  Answer: (","Who received the apple? "
"Fred","(a) Fred (b) Bill (c) Jeff (d) Mary  Question: Who","Who gave the apple to Mary? "
"Jeff","Answer: Mary. Question: Who took the milk? Answer: Jeff. Question: Who took the","Who gave the milk? "
"milk","(from ""The Cottagers of Glen Carron"" by Robert Louis Stevenson)  Answer: A","What did Fred give to Mary? "
"Fred","(2)  Answer: Fred gave the apple to Bill.  Question: What did the Zouaves","Who gave the apple to Bill? "
"Mary","Answer: Mary. Question: Who received the football? Answer: Mary. Question: Who received the","Who received the football? "
"apple","(1 point)  Answer: Fred gave Bill an apple.  Question: What did Rosendo do to","What did Fred give to Bill? "
"Bill","(a) Bill (b) Jeff (c) Daantje  Answer: (a)","Who gave the football to Fred? "
"Fred","What did he do with it? What did he do with the milk? What did he do with","Who gave the football to Jeff? "
"milk","(1 point)  Answer: She gave him a good example. (1 point)  Question: What","What did Mary give to Fred? "
"Bill","(a) Bill (b) Mary (c) Jeff (d) Tom  Answer: (","Who did Fred give the apple to? "
"Fred","(a) Fred (b) Jeff (c) Murdock (d) Bill  Answer:","Who gave the milk? "
"Bill","(1 point)  Answer: Mary  Question: Who picked up the apple? (1 point)","Who gave the apple? "
"Mary","(1 point)  Question: What did Mary do with the apple? (1 point)  Question:","Who did Jeff give the apple to? "
"Mary","(a) Fred. (b) Mary. (c) Bill. (d) Jeff.","Who gave the milk? "
"Bill","(show answer)  Answer: Bill  Question: Who dropped the milk? (show answer)  Answer","Who gave the milk to Fred? "
"Fred","(1) Fred (2) Jeff (3) Bill (4) None of the above","Who did Mary give the apple to? "
"football","(Read the passage carefully and then answer the question.)  Answer: Jeff gave the football to Bill.","What did Jeff give to Bill? "
