"target","output","question"
"garden","Choices: A. In the garden B. In the kitchen C. In the bathroom","Where is the milk? "
"bedroom","Choices: A. In the kitchen B. In the bedroom C. In the bathroom","Where is the apple? "
"hallway","Answer: The apple is in the hallway. Okay, let's see. I need to figure","Where is the apple? "
"garden","Answer: The milk is in the kitchen. <context> John travelled to the garden. He ran","Where is the milk? "
"bathroom","Answer: The milk is in the bathroom. Okay, let's try to figure out where the","Where is the milk? "
"bedroom","Answer: The milk is in the refrigerator. Question: What is the color of the milk? Answer","Where is the milk? "
"kitchen","Choices: A. In the kitchen B. In the bathroom C. In the hallway","Where is the football? "
"garden","Answer: The apple is in the garden. Okay, let's try to figure out where the","Where is the apple? "
"bedroom","Answer: The apple is in the bedroom. Okay, let's try to figure out where the","Where is the apple? "
"garden","Answer: The milk is in the bathroom. Okay, let's try to figure out where the","Where is the milk? "
"bedroom","Answer: The milk is in the bedroom. Okay, let's try to figure out where the","Where is the milk? "
"bathroom","Choices: A) In the kitchen B) In the bathroom C) In the garden","Where is the milk? "
"garden","Answer: The football is in the kitchen. Okay, let's tackle this question. The user","Where is the football? "
"bedroom","The answer should be in the format: The ’item’ is in ’location’. The apple","Where is the apple? "
"hallway","The answer should be in the format: The 'item' is in 'location'. The apple is","Where is the apple? "
"garden","Choices: A. In the garden B. Sandra's house C. In the bathroom","Where is the football? "
"kitchen","Choices: A. In the hallway B. In the kitchen C. In the gl","Where is the football? "
"kitchen","The answer is: The apple is in the kitchen. The answer is: The apple is in the","Where is the apple? "
"hallway","Answer:  The milk is in the hallway. The milk is in the bathroom. The milk is","Where is the milk? "
"bathroom","Answer: The milk is in the bathroom. Okay, let's tackle this question. The user","Where is the milk? "
"hallway","Choices: A. In the kitchen B. In the hallway C. In the garden","Where is the football? "
"bedroom","The answer should be in the format: The ’item’ is in ’location’. The apple","Where is the apple? "
"bedroom","???”   The milk is in the kitchen.   The football is in the bedroom.","Where is the milk? "
"garden","Answer: The milk is in the garden. </answer> Okay, let's try to figure","Where is the milk? "
"bathroom","Choices: A. In the kitchen B. In the bedroom C. In the bathroom","Where is the football? "
"bedroom","Answer: The apple is in the bathroom. The apple is in the garden. The apple is","Where is the apple? "
"hallway","Answer: The milk is in the bathroom. The milk is in the hallway. The milk is","Where is the milk? "
"kitchen","Choices: A) In the kitchen B) In the office C) In the field","Where is the apple? "
"bathroom","Answer: The milk is in the bathroom. Okay, let's try to figure out where the","Where is the milk? "
"garden","The football is in the hallway. The football is in the kitchen. The football is in the garden","Where is the football? "
"bathroom","Choices: A. In the kitchen B. In the bedroom C. In the bathroom","Where is the apple? "
"bathroom","Answer: The milk is in the kitchen. Okay, let's see. I need to figure","Where is the milk? "
"hallway","The milk is in the kitchen. The milk is in the hallway. The milk is in the bedroom","Where is the milk? "
"garden","Answer: The football is in the garden. Okay, let's see. The user is asking","Where is the football? "
"bathroom","Answer: The apple is in the bathroom. The apple is in the bathroom. The apple is","Where is the apple? "
"office","Answer: The milk is in the bathroom. Okay, let's try to figure out where the","Where is the milk? "
"hallway","Answer: The football is in the office.   Answer: The football is in the office.","Where is the football? "
"office","Answer: The milk is in the kitchen.   Answer: The milk is in the kitchen.","Where is the milk? "
"office","Answer:  The milk is in the office. The apple is in the office. The milk is","Where is the milk? "
"kitchen","Answer: The football is in the bedroom. Okay, let's try to figure out where the","Where is the football? "
"kitchen","The answer should be in the format: The ’item’ is in ’location’. The apple","Where is the apple? "
"bathroom","Answer: The football is in the kitchen.  <context> Miss Hargrove, I must appear","Where is the football? "
"office","Answer: The milk is in the kitchen. Okay, let's tackle this question. The user","Where is the milk? "
"bedroom","Choices: A. In the kitchen B. In the garden C. In the hallway","Where is the milk? "
"bedroom","Answer: The milk is in the kitchen. Okay, let's try to figure out where the","Where is the milk? "
"bathroom","Choices: A. In the bedroom B. In the hallway C. In the bathroom","Where is the football? "
"bedroom","The football is in the bedroom. The football is in the kitchen. The football is in the pr","Where is the football? "
"kitchen","Answer: The football is in the kitchen. </context>  Okay, let's try to figure","Where is the football? "
"office","Answer: The milk is in the kitchen.  Okay, let's see. The user is asking","Where is the milk? "
"kitchen","Answer: The apple is in the kitchen. </answer> Okay, let's try to figure","Where is the apple? "
