"target","output","question"
"Jeff","Answer: Jeff Answer: Jeff  Okay, let's see. The user is asking who","Who did Fred give the football to? "
"Fred","Answer: Jeff  Okay, let's see. The user is asking who received the milk.","Who received the milk? "
"Jeff","Answer: Bill Okay, let's see. The user is asking who gave the milk to","Who gave the milk to Fred? "
"milk","Answer: Mary gave the milk to Bill. Question: What is the name of the ship that","What did Mary give to Bill? "
"Mary","Choices: A. Fred B. Jeff C. Mary D. Bill Answer","Who received the football? "
"Fred","(A) Eileen's mother (B) The doctor (C) The Countess (","Who gave the milk to Jeff? "
"milk","Answer: milk Question: What did Mary do?  Answer: journeyed to the bedroom","What did Jeff give to Bill? "
"Fred","Choices: A) Fred B) Mary C) Bill D) Jeff E","Who received the apple? "
"Fred","Choices:  A. Fred  B. Bill  C. Mary herself  D. The","Who gave the apple to Mary? "
"Jeff","A. Jeff  B. Fred  C. Edwards  D. The narrator Answer:","Who gave the milk? "
"milk","Okay, let's try to figure out what Fred gave to Mary based on the context provided.","What did Fred give to Mary? "
"Fred","In the context of the story, what does the phrase ""Fred gave the apple to Bill"" refer","Who gave the apple to Bill? "
"Mary","Choices: A. Mary B. Fred C. Alfred D. Jimmy E","Who received the football? "
"apple","Okay, let me try to figure out what Fred gave to Bill based on the provided text.","What did Fred give to Bill? "
"Bill","Choices: A) Stanley G. Fulton B) John Smith C) Miss Maggie","Who gave the football to Fred? "
"Fred","Answer: Thomas Okay, let's try to figure out who gave the football to Jeff.","Who gave the football to Jeff? "
"milk","Choices: A. A handkerchief B. A letter C. A check","What did Mary give to Fred? "
"Bill","Answer: Fred gave the apple to Bill. Okay, let's see. The question is asking","Who did Fred give the apple to? "
"Fred","Answer: Fred gave the milk to Jeff.  Question: What is the main topic of the text?","Who gave the milk? "
"Bill","Choices:  Fred, Mary, Bill, or the giant.  Answer:  The apple","Who gave the apple? "
"Mary","Choices: A. His mother B. His father C. His sister D.","Who did Jeff give the apple to? "
"Mary","Choices: A. Fred B. Mandy C. Mary D. The Inspector","Who gave the milk? "
"milk","Options: A) A glass of cider B) A tin cup C) A glass","What did Fred give to Bill? "
"Bill","Answer: The answer is not provided in the given text. Okay, let's try to figure","Who gave the football to Jeff? "
"Mary","Answer: Mary  Question: What is the answer to the riddle ""What has keys but can","Who gave the milk to Jeff? "
