"target","output","question"
"kitchen","Answer: She is in the kitchen.     Question: What is the name of the man who was","Where is Mary? "
"garden","The man who was struck by a coincidence is in     the garden, and the woman who was","Where is Mary? "
"office","I have not heard from him. I have not heard from him. I have not heard from","Where is Daniel? "
"bathroom","--Sandra is in the kitchen,--Sandra is in the hall,--Sandra","Where is Sandra? "
"kitchen","I have not seen her for a long time. I have not seen her for a long time","Where is Sandra? "
"bedroom","Is he in the bedroom? Is he in the heat of action?  Answer: No, he is","Where is John? "
"bedroom","He is not in the house. He is not in the garden. He is not in","Where is Daniel? "
"garden","The answer is: 1:1-9:27. The question is: Where is Daniel","Where is Daniel? "
"garden","I am sure she is somewhere in the house, but I cannot find her. I have looked","Where is Sandra? "
"garden","I have not seen her for a long time. I have not seen her for a long time","Where is Sandra? "
"office","I am not sure, but I think she is in the joy of nature, and the spl","Where is Mary? "
"bathroom","I can't find her.  Answer: She is in the presence-chamber, where she is talking","Where is Sandra? "
"hallway","He is not in the house, and I have not seen him since I came home. I","Where is Daniel? "
"kitchen","He is in the kitchen, and he is sitting on the table, and he is eating","Where is Daniel? "
"bedroom","I can't find her. I'm sure she's here somewhere. I'm sure of it.","Where is Mary? "
"bedroom","Is he in the hospital?  Answer: No, he is in the bedroom.  Question: What is","Where is Daniel? "
"office","He is in the library. He is in the Abbey. He is in the chair.","Where is Daniel? "
"office","""I'm thinking about other things just now."" ""I know, dear, but--""","Where is John? "
"bathroom","I have not seen her since the night of the fire. I have not seen her since the","Where is Sandra? "
"office","I am not sure, but I think she is in the house. I am not sure,","Where is Sandra? "
"hallway","Answer: Duck Lane, which is in the parish of St. Dunstan in the West","Where is Daniel? "
"garden","What is he doing?  Answer: He is in the army, and he is writing to his father","Where is John? "
"office","He is not in the kitchen. He is in the bedroom. He is not in the","Where is John? "
"bedroom","I don't know--I don't know--I don't know--I don't know","Where is Daniel? "
"office","I have not seen him for a long time. I have not seen him for a long time","Where is John? "
