"target","output","question"
"bathroom","Answer: She's gone to the store. Question: What did she buy? Answer: A box","Where is Mary? "
"kitchen","Answer: She is gone, and the bridegroom, too. Question: Where is the bride","Where is Sandra? "
"kitchen","Answer: She is in the kitchen. Question: What is she doing? Answer: She is","Where is Mary? "
"kitchen","Answer: In the Rocket frame. Question: How many men are required to carry the frame?","Where is John? "
"bedroom","Answer: In the House of Commons. Question: What is she doing there? Answer: Waiting","Where is Sandra? "
"office","Answer: He is gone to the country, and will return in the course of a few days","Where is John? "
"garden","Answer: In the orchard. Question: How many birds remain on the tree? Answer:","Where is Mary? "
"bathroom","Answer: She is in the room, but she is not allowed to see us. Question:","Where is Sandra? "
"kitchen","Answer: In the garden.--Ver. 'In the garden, and in the garden.'--","Where is Mary? "
"bedroom","Answer: In the trenches. Question: Where is John? Answer: In the trenches. Question:","Where is John? "
"office","Answer: In the, and, and, and, and, and, and, and, and","Where is Daniel? "
"office","Answer: In the hallway. Question: Where is Daniel? Answer: In the hallway. Question","Where is Daniel? "
"bathroom","Answer: She is in the bathroom. Question: What is she doing there? Answer: She","Where is Mary? "
"bathroom","Answer: She is in the room. Question: Who is Sandra? Answer: She is in the","Where is Sandra? "
"bathroom","Answer: She is in the kitchen. Question: Where is the kitchen? Answer: It is in","Where is Sandra? "
"hallway","Answer: She is in the Channel Islands. Question: Where is Mary? Answer: She is in","Where is Mary? "
"kitchen","Answer: She is in the library. Question: What is she doing? Answer: She is reading","Where is Sandra? "
"office","Answer: In the kitchen. Question: Where is Daniel? Answer: In the kitchen. Question","Where is Daniel? "
"kitchen","Answer: In the middle of the road, between the village and the cemetery. Question:","Where is Sandra? "
"bedroom","Answer: In bed. Question: What time did it happen? Answer: At 2 o'clock","Where is John? "
