"target","output","question","orig_chunk","full_chunk"
"Jeff","Jeff. Fred handed the football to Jeff. Fred gave the football to Jeff. Fred gave the football","Who did Fred give the football to? ","{24}","{21, 13}"
"Bill","Mary gave the milk to Bill. Mary passed the milk to Bill. Mary gave the milk to Bill","Who did Mary give the milk to? ","{24}","{24, 21}"
"Jeff","Mary went back to the hallway. She had become larger, and more powerful, somehow, than the","Who did Fred give the milk to? ","{25}","{25}"
"milk","Answer: the milk. Question: What did Macloud say about the two who passed them? Answer","What did Mary give to Fred? ","{29}","{27}"
"Fred","Answer: Fred

Question: Who was the brave chauffeur? Answer: Jeff

Question: Who","Who received the milk? ","{20, 29}","{18}"
"apple","What did she give to Arne? What did she give to Nils?

Question: What did","What did Mary give to Jeff? ","{26}","{26}"
"apple","What did she give to Arne? What did she give to the girl? What did she give","What did Mary give to Jeff? ","{27}","{26}"
"apple","Answer: An apple.

Question: What did Fred give to Bill? Answer: An apple.

Question","What did Fred give to Bill? ","{27}","{27}"
"Jeff","Fred gave the milk to Fred. There was only one I would have, and her he took away","Who gave the milk to Fred? ","{27}","{26}"
"Fred","Answer: Fred gave the apple to Mary.

Question: Who gave the apple to Fred? Answer:","Who gave the apple to Mary? ","{8}","{8}"
"Jeff","Answer: Jeff. he! Mary gave the football to Jeff. he!

Question: Who is the","Who received the football? ","{19}","{19}"
"Jeff","Mary gave the football to Jeff.

Question: Who did Jeff give the football to? Jeff discarded the","Who did Mary give the football to? ","{23}","{19, 21}"
"milk","in that case the choice will soon be made. The incumbent of Danicourt is one of the","What did Mary give to Bill? ","{22}","{22}"
"Bill","Answer: Bill.

Question: What did Heywood say? Answer: ""Very.""

Question: What","Who did Mary give the milk to? ","{25}","{23}"
"milk","A. the milk B. the cream C. the butter D. the cheese

Question: What","What did Mary give to Bill? ","{29}","{29}"
"apple","Answer: the apple. Mary travelled to the hallway. 136;
      his boys' letters,","What did Fred give to Mary? ","{25}","{25}"
"Mary","Mary. Jeff handed the football to Mary. Fred went to the bedroom. I visited the slaughter-house","Who received the football? ","{29}","{25}"
"apple","What was the result of this action?

Question: What was the result of this action?

Question:","What did Fred give to Bill? ","{27}","{22}"
"Jeff","Answer: Sidney

Question: What was the name of the village eight miles from Redfield? Answer","Who received the apple? ","{27}","{23}"
"Bill","Answer: Bill. Question: What did Angeline do when Asaph was threatened with a severe fever","Who did Mary give the football to? ","{22}","{20}"
"Fred","A. Fred B. Eily C. Jeff D. Phelim

Question: What did E","Who gave the milk to Jeff? ","{20}","{20}"
"Mary","Mary. Fred. Amy. Webb.

Question:","Who received the milk? ","{23}","{21, 23}"
"Mary","Mary handed the milk to Fred. Mary handed the milk to Fred. Mary handed the milk to Fred","Who gave the milk? ","{28}","{28, 23}"
"milk","A. the milk B. the milk and the milk and the milk and the milk and the milk","What did Bill give to Mary? ","{26}","{23}"
"milk","What did Mary do? What did Jeff do? What did Mary do? What did Jeff do?","What did Jeff give to Bill? ","{22}","{22}"
