"target","output","question"
"Jeff","The Mention of the fact that the host of the","Who did Fred give the football to? "
"Bill","""I have, and I have."" ""I","Who did Mary give the milk to? "
"Jeff","The milk was","Who did Fred give the milk to? "
"milk","""I."" ""I'm a woman","What did Mary give to Fred? "
"Fred","I","Who received the milk? "
"apple","He was standing in","What did Mary give to Jeff? "
"apple","He, he, he.","What did Mary give to Jeff? "
"apple","I.","What did Fred give to Bill? "
"Jeff","He was a stranger.","Who gave the milk to Fred? "
"Fred","","Who gave the apple to Mary? "
"Jeff","The man","Who received the football? "
"Jeff","The girl.","Who did Mary give the football to? "
"milk","M. The","What did Mary give to Bill? "
"Bill","He was, as","Who did Mary give the milk to? "
"milk","The, in the, the, the, the, the, the, the, the, the","What did Mary give to Bill? "
"apple","4th,","What did Fred give to Mary? "
"Mary","I have heard","Who received the football? "
"apple","I have not the right to be ""trailer"" for the","What did Fred give to Bill? "
"Jeff","He was a man. ""I am a man. I was","Who received the apple? "
"Bill","The girl. I’m sure. I’m sure. I’m sure. I’m sure. I","Who did Mary give the football to? "
"Fred","I'm not to-day. ""","Who gave the milk to Jeff? "
"Mary","He was a man who was always","Who received the milk? "
"Mary","The","Who gave the milk? "
"milk","I know that he gave her a wig","What did Bill give to Mary? "
"milk","The answer is: the question.","What did Jeff give to Bill? "
"football","The answer","What did Jeff give to Fred? "
"Mary","The","Who gave the football? "
"Mary","The question is,","Who gave the apple to Bill? "
"Fred","He was the","Who received the apple? "
"Mary","I'm","Who gave the milk to Bill? "
"milk","","What did Mary give to Jeff? "
"Mary","""","Who gave the milk? "
"Fred","The latter.","Who gave the apple to Mary? "
"football","The men were","What did Bill give to Mary? "
"apple","the Rocket.","What did Fred give to Mary? "
"apple","","What did Fred give to Bill? "
"Jeff","He was a poor","Who gave the milk? "
"Bill","Miss","Who did Mary give the apple to? "
"Fred","He was.","Who gave the football to Mary? "
"milk","He was a man. He was a man.","What did Mary give to Fred? "
"milk","He was a","What did Fred give to Mary? "
"Mary","He.","Who gave the football? "
"Fred","I have a","Who received the apple? "
"Mary","Sidney","Who gave the apple? "
"Fred","The","Who gave the apple to Bill? "
"apple","The answer","What did Fred give to Bill? "
"Fred","The, the, the, the, the, the, the, the, the,","Who received the apple? "
"Fred","","Who received the milk? "
"Mary","He was. He was.","Who received the football? "
"apple","""","What did Bill give to Mary? "
"apple","He was.","What did Mary give to Fred? "
"apple","""","What did Fred give to Bill? "
"apple","The children’s","What did Fred give to Bill? "
"milk","He was.","What did Jeff give to Fred? "
"Mary","""I, the doctor.""","Who received the milk? "
"Jeff","Because he is a ball","Who gave the football? "
"Bill","""","Who gave the football to Fred? "
"Mary","The football.","Who received the football? "
"Mary","He was the man who had the","Who gave the football to Fred? "
"Jeff","Jeff.","Who did Bill give the milk to? "
"Fred","I am,","Who gave the football to Jeff? "
"Jeff","I am a man.","Who gave the apple to Fred? "
"Bill","I have a case.","Who received the milk? "
"Jeff","""I am a girl. I am a girl. I am a","Who did Bill give the apple to? "
"milk","The American. The American. The American. The American. The American. The American. The American","What did Mary give to Fred? "
"Jeff","The","Who received the apple? "
"Jeff","The","Who gave the apple to Bill? "
"apple","The","What did Mary give to Fred? "
"Bill","He had been,","Who did Fred give the apple to? "
"Jeff","I'm sure it","Who gave the apple? "
"Bill","""I, the milk","Who gave the milk to Fred? "
"Bill","I am not","Who did Jeff give the football to? "
"Fred","The Queen. ""I have the","Who gave the milk? "
"apple","I would like to know. I have read","What did Mary give to Bill? "
"Jeff","He","Who received the milk? "
"Bill","He gave the milk","Who did Fred give the milk to? "
"Bill","The","Who gave the apple? "
"Jeff","The story","Who gave the apple? "
"Fred","He was “","Who received the football? "
"football","The","What did Mary give to Fred? "
"Mary","The","Who did Jeff give the apple to? "
"football","","What did Jeff give to Mary? "
"Mary","The","Who received the milk? "
"milk","I am. I am. I am. I am. I","What did Mary give to Fred? "
"Mary","I am. I was. I was not. I","Who gave the milk? "
"Bill","I'm not sure. I think it","Who gave the milk to Mary? "
"Mary","The","Who received the football? "
"Fred","""","Who gave the apple? "
"milk","""","What did Fred give to Bill? "
"Fred","I.","Who did Bill give the milk to? "
"Jeff","""I'm","Who gave the apple? "
"Fred","""","Who did Bill give the apple to? "
"Bill","“I","Who gave the football to Jeff? "
"Bill","He was a child","Who did Jeff give the apple to? "
"milk","The answer","What did Mary give to Bill? "
"Mary","I'm a father","Who did Bill give the milk to? "
"Mary","The","Who gave the milk to Jeff? "
"Fred","The","Who gave the milk? "
"Bill","The","Who received the milk? "
"Fred","The boy. “","Who gave the football? "
