"target","output","question"
"kitchen","I have not seen her for a long time. I have been very ill, and have been","Where is Mary? "
"garden","I have not seen her, and I have not heard      from her. I have heard from","Where is Mary? "
"office","He is the author of the book, and he is mentioned in the context. I think he","Where is Daniel? "
"bathroom","I can't find her. I'm going to the Castle, and I'll find her there.","Where is Sandra? "
"kitchen","Where is she? Where is she? Where is she? Where is she? Where is she?","Where is Sandra? "
"bedroom","A. In the bedroom. B. In the kitchen. C. In the garden. D.","Where is John? "
"bedroom","Is he in the room? Is he in the house? Is he in the city? Is he","Where is Daniel? "
"garden","I am not aware of any Daniel, and I am not aware of any Daniel, and I am","Where is Daniel? "
"garden","[Footnote 48: No. 185, p. 1, 1883,","Where is Sandra? "
"garden","She is not here. She is not here. She is not here. She is not here.","Where is Sandra? "
"office","She is not in the room. She is not in the house. She is not in the","Where is Mary? "
"bathroom","Answer: She is in the office.     Question: What is the farmer doing?     Answer:","Where is Sandra? "
"hallway","Answer: He is in the counting-room of Barton & Rogers. He is there to see the","Where is Daniel? "
"kitchen","He is in the <DW72>.  Answer: The effort to secure a practical application of the","Where is Daniel? "
"bedroom","I can't find her. I'm not sure if she's in the house, or if","Where is Mary? "
"bedroom","What is he doing?  Answer: Daniel is in the hospital. He is lying in bed, and","Where is Daniel? "
"office","I am not sure, but I think he is in the room, and, if so,","Where is Daniel? "
"office","He is not here. He is in the presence of God. He is in the presence of","Where is John? "
"bathroom","I have not seen her for a long time. I have not seen her for a long time","Where is Sandra? "
"office","I have not seen her for a long time. I have not seen her for a long time.","Where is Sandra? "
"hallway","I can't find him. I'm looking for Daniel. I'm looking for Daniel. I'm","Where is Daniel? "
"garden","I am a little boy, and I am going to be a great man. I am going to","Where is John? "
"office","I have not seen him for a long time. He is not at home, and I have","Where is John? "
"bedroom","What is he doing?  Answer: He is in the pine grove, and he is looking at","Where is Daniel? "
"office","Answer: In the house of his Father, and therefore in the house of God.","Where is John? "
