"target","output","question"
"bedroom","Answer: In the basket. Question: Where is the basket? Answer: In the orchard.","Where is the apple? "
"garden","--Where is the honey?--Where is the sweetness?--Where is the comfort?","Where is the milk? "
"bedroom","Answer: In the refrigerator. Question: Where is the football? Answer: In the closet. Question","Where is the milk? "
"garden","Answer: In the tree. Question: Where is the tree? Answer: In the garden. Question","Where is the apple? "
"garden","Answer: In the churn. Question: Where is the butter? Answer: In the churn. Question","Where is the milk? "
"bathroom","Answer: In the jug. Question: Where is the jug? Answer: On the table. Question","Where is the milk? "
"bedroom","Answer: In the tree. Question: Where is the tree? Answer: In the garden.","Where is the apple? "
"garden","Answer: In the goal. Question: Where is the goal? Answer: In the football.","Where is the football? "
"kitchen","Answer: In the basket. Question: Where is the basket? Answer: In the house.","Where is the apple? "
"bathroom","Where is the milk? Where is the milk?  Answer: In the cow's belly.  Question:","Where is the milk? "
"bedroom","Answer: In the basket. Question: Where is the basket? Answer: In the orchard","Where is the apple? "
"garden","Answer: In the cow. Question: Where is the cow? Answer: In the field. Question","Where is the milk? "
"bedroom","Answer: In the basket. Question: Where is the basket? Answer: In the boat. Question","Where is the apple? "
"kitchen","Answer: In the garden. Question: Where is the garden? Answer: In the orchard.","Where is the apple? "
"garden","Answer: In the garden. Question: Where is the garden? Answer: In the house. Question","Where is the football? "
"bathroom","Answer: In the jug. Question: Where is the bread? Answer: In the basket.","Where is the milk? "
"garden","Answer: In the goal. Question: Where is the goal? Answer: In the football.","Where is the football? "
"office","Answer: In the moon. Question: Where is the moon? Answer: In the sky. Question","Where is the milk? "
"office","Where is the honey? Where is the sweetness? Where is the sweetness of the honey?","Where is the milk? "
"kitchen","Answer: In the entry.  </context>  Question: What is the entry? Answer: The hall","Where is the football? "
"bathroom","Answer: In the goal.  Question: Where is the goal? Answer: In the football.  Question","Where is the football? "
"bedroom","Answer: In the jug. Question: Where is the jug? Answer: On the table. Question","Where is the milk? "
"bathroom","Answer: In the middle of the field. Question: Where is the goal? Answer: In","Where is the football? "
"kitchen","Answer: In the middle of the field. Question: Where is the goal? Answer: In the","Where is the football? "
"kitchen","Answer: In the basket. Question: Where is the basket? Answer: In the wagon. Question","Where is the apple? "
