"target","output","question"
"Bill","A. The old circus-man, and one of the shrewdest, most companionable, and","Who did Mary give the milk to? "
"apple","A. the baby, and one of the shrewdest, most companionable, and int","What did Mary give to Jeff? "
"Fred","A. the doctor, and one of the shrewdest, most companionable, and most","Who gave the apple to Mary? "
"Bill","A. the doctor, and one of the shrewdest, most companionable, and most","Who did Mary give the milk to? "
"apple","A. the apple, and one of the shrewdest, most companionable, and","What did Fred give to Bill? "
"Mary","Answer: The doctor, and one of the wisest, most intelligent, and most informed","Who received the milk? "
"football","Answer: The football, and one of the wittiest, most intelligent, most intelligent","What did Jeff give to Fred? "
"Mary","Answer: Mary.","Who gave the milk to Bill? "
"football","Answer: The football, and one of the wittiest, most intelligent, most successful,","What did Bill give to Mary? "
"Bill","Answer: Bill. Mary gave the apple to Bill. Mary gave the apple to Bill. Mary gave","Who did Mary give the apple to? "
"Mary","[OOM]","Who gave the football? "
"apple","[OOM]","What did Fred give to Bill? "
"apple","[OOM]","What did Bill give to Mary? "
"milk","[OOM]","What did Jeff give to Fred? "
"Mary","[OOM]","Who received the football? "
"Jeff","[OOM]","Who gave the apple to Fred? "
"Jeff","[OOM]","Who received the apple? "
"Jeff","[OOM]","Who gave the apple? "
"apple","[OOM]","What did Mary give to Bill? "
"Jeff","[OOM]","Who gave the apple? "
"football","[OOM]","What did Jeff give to Mary? "
"Bill","[OOM]","Who gave the milk to Mary? "
"Fred","[OOM]","Who did Bill give the milk to? "
"Bill","[OOM]","Who did Jeff give the apple to? "
"Fred","[OOM]","Who gave the milk? "
