"target","output","question"
"Bill","Answer: Answer: Bill Answer: Bill Answer: Bill Answer: Bill Answer","Who did Mary give the milk to? "
"apple","Answer:  Okay, let's try to figure out what the answer is. The question is asking","What did Mary give to Jeff? "
"Fred","Answer: Bill Okay, let's tackle this question. The user is asking, ""Who","Who gave the apple to Mary? "
"Bill","Answer: Bill Question: What is the name of the girl that Eleanor is rooming with","Who did Mary give the milk to? "
"apple","Answer:  To answer the question ""What did Fred give to Bill?"" we need to identify the","What did Fred give to Bill? "
"Mary","Answer: Mary <context> Jeff gave the milk to Mary. Mary gave the milk to Fred","Who received the milk? "
"football","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer","What did Jeff give to Fred? "
"Mary","Answer: Answer: Mary The answer is Mary.  <context> Bill picked up the milk there","Who gave the milk to Bill? "
"football","Answer: Answer: apple Okay, let's tackle this question. The user is asking,","What did Bill give to Mary? "
"Bill","Answer: Bill. Okay, let's see. The question is asking who Mary gave the apple","Who did Mary give the apple to? "
"Mary","Answer: Mary Okay, let's tackle this question. The user is asking ""Who gave","Who gave the football? "
"apple","Answer: apple Okay, let's try to figure out what Fred gave to Bill based on","What did Fred give to Bill? "
"apple","Answer: apple Okay, let's tackle this question. So, the user provided a long","What did Bill give to Mary? "
"milk","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer","What did Jeff give to Fred? "
"Mary","Answer: Mary <context> Margaret had not been well enough to come with her, having","Who received the football? "
"Jeff","Answer: Jeff <context> Jeff moved to the garden. Jeff discarded the apple there. SOME","Who gave the apple to Fred? "
"Jeff","Answer: Mary <context> Dey wuz heah a'most two hours, I","Who received the apple? "
"Jeff","Answer: Answer: Bill Answer: Bill Answer: Bill Answer: Bill Answer","Who gave the apple? "
"apple","Answer: Answer: apple Okay, let's tackle this question. The user provided a lengthy","What did Mary give to Bill? "
"Jeff","Choices: - Fred - Bill - Jeff - Mary - Mary went back to","Who gave the apple? "
"football","Answer: Answer: football <context> ""Jeff gave the football to Mary. He seems to","What did Jeff give to Mary? "
"Bill","Answer: Answer: Bill Answer: Fred Answer: Mary Answer: Fred Answer","Who gave the milk to Mary? "
"Fred","Answer: Fred Okay, let's tackle this question. The user is asking, ""Who","Who did Bill give the milk to? "
"Bill","Answer: Bill  <context> Jeff went back to the kitchen. Bill handed the apple to Jeff.","Who did Jeff give the apple to? "
"Fred","Choices: A. Mary B. Fred C. Wutzler D. Hey","Who gave the milk? "
