"target","output","question"
"Jeff","r  for  r  for  r  for  r  for  r  r","Who did Fred give the football to? "
"Jeff","r ally  r ally  r ally  r ally  r ally","Who did Fred give the milk to? "
"Fred","","Who received the milk? "
"apple","r ally  r ally for  r  r  r  r  r","What did Mary give to Jeff? "
"Jeff","","Who gave the milk to Fred? "
"Jeff","r ion  r  for which  r  for  r  r  for","Who received the football? "
"milk","r ally for which, r  for which, r  for which, r  for which","What did Mary give to Bill? "
"milk","Ret  r  r  r  r  r  r  r  r  r","What did Mary give to Bill? "
"Mary","not The The book  not The book  not The book  not The","Who received the football? "
"Jeff","r ally  r ional  r ional  r ional  r ional","Who received the apple? "
"Fred","","Who gave the milk to Jeff? "
"Mary","r for which, there  for ion  r  for ion  r","Who gave the milk? "
"milk","r ally  for ally, r ally  r ally  r ally","What did Jeff give to Bill? "
"Mary","Ret  where r    for r    for r  for","Who gave the football? "
"Fred","r ally  r  r  r  r  r  r  r  r","Who received the apple? "
"milk","","What did Mary give to Jeff? "
"Fred","Ret  where    for    r  for  r  for  r","Who gave the apple to Mary? "
"apple","r r r r r r r r r r","What did Fred give to Mary? "
"Jeff","r ally  r  for  r  r  for  r  r  r","Who gave the milk? "
"Fred","r ally  r  for  r  r  for  r  r  r","Who gave the football to Mary? "
"milk","r ally  r  for  r  r  r  r  r  r","What did Fred give to Mary? "
"Fred","r ally  for which  there  for which  there  for    r","Who received the apple? "
"Fred","No ion  where ion  where ion  where ion  where ion","Who gave the apple to Bill? "
"Fred","","Who received the apple? "
"Mary","","Who received the football? "
"apple","r r  for  r  r  for  r  r  for  r","What did Mary give to Fred? "
"apple","r ally  r ional  r ional  r ional  r ional","What did Fred give to Bill? "
"Mary","r ally  r  for  r  r  for  r  r  for","Who received the milk? "
"Bill","","Who gave the football to Fred? "
"Mary","r ally for which  r ally for which  r ally  r ally","Who gave the football to Fred? "
"Fred","r ally  r ional  r ional  rional  rional  r","Who gave the football to Jeff? "
"Bill","r ally  r  for  r  r  for  r  r  for","Who received the milk? "
"milk","not The book was not","What did Mary give to Fred? "
"Jeff","Ret r for  Ret  r  for  r  for  r  r","Who gave the apple to Bill? "
"Bill","r ional     r  r  r  r  r  r  r","Who did Fred give the apple to? "
"Bill","","Who gave the milk to Fred? "
"Fred","","Who gave the milk? "
"Jeff","r ally  r ion  r ion  r ion  r ion","Who received the milk? "
"Bill","r ally  r ally  r  r ally  r  r  r","Who gave the apple? "
"Fred","","Who received the football? "
"Mary","not The The The The The The The The The","Who did Jeff give the apple to? "
"Mary","r ally  r ally  r ally  r ally  r ally","Who received the milk? "
"Mary","r ally  r ally  r ally  r ally  r ally","Who gave the milk? "
"Mary","r ally for which  r  for which, r r  for which  r","Who received the football? "
"milk","r ally for which, r ally for r ally  r ally  r","What did Fred give to Bill? "
"Jeff","No r ion.","Who gave the apple? "
"Bill","r ally  r ally  r ally  r ally  r ally","Who gave the football to Jeff? "
"milk","r ally  r    r    r    r","What did Mary give to Bill? "
"Mary","","Who gave the milk to Jeff? "
"Bill","r ally  r  for  r  r  r  r  r  r","Who received the milk? "
