"target","output","question"
"Jeff","A. Jeff B. Mary C. Heywood D. Jeff and Mary","Who did Fred give the milk to? "
"apple","""She wove him a wreath of all flowers round:             'All I have found.'","What did Mary give to Jeff? "
"Jeff","""The provost,"" he said bitterly to himself, ""is an excellent man; marry, he","Who received the football? "
"milk","A. the milk B. the butter C. the cream D. the cheese  Question: What","What did Mary give to Bill? "
"Jeff","""I don't know,"" replied the squire. ""I don't know,"" replied the","Who received the apple? "
"Mary","Answer: The mother. Question: Who gave the milk? Answer: The mother. Question: Who","Who gave the milk? "
"Mary","Ruby  Question: Who is the little girl? Ruby  Question: Who is the little girl?","Who gave the football? "
"milk","1. A wipe in the mouth 2. A wipe in the face 3. A","What did Mary give to Jeff? "
"apple","1. The apple. 2. The milk. 3. The milk and the apple","What did Fred give to Mary? "
"Fred","Fred handed the football to Mary. Mary handed the football to Fred. Mary handed the football to herself","Who gave the football to Mary? "
"Fred","Answer: The Lady of the House. Question: Who received the apple? Answer: The Lady of","Who received the apple? "
"Fred","Fred. Bill handed the apple to Fred. Fred went to the bathroom. Fred handed the apple to","Who received the apple? "
"apple","""I'll give you my mother's mother's wedding-gown, and I'll give you","What did Mary give to Fred? "
"Mary","Answer: The Sioux. Question: Who was the Sioux? Answer: The Sioux were the Indians.","Who received the milk? "
"Mary","Mary. Mary gave the football to Fred. Mary gave the football to Fred. Mary gave the football","Who gave the football to Fred? "
"Bill","'I will be the herb-woman,' said Lady Everingham. 'I will be the herb","Who received the milk? "
"Jeff","Answer: Jeff. The population is about 3,000, and the town is famous for","Who gave the apple to Bill? "
"Bill","""I don't know,"" said the girl. ""I don't know,"" said the girl","Who gave the milk to Fred? "
"Jeff","What did he do with it? What did he do with it? What did he do with it","Who received the milk? "
"Fred","What was the name of the girl who was the sister of the girl who was the sister of the","Who received the football? "
"Mary","Answer: The Dean. Question: Who received the milk? Answer: The","Who received the milk? "
"Mary","Answer: The ball was given to the King of England. Question: Who received the football?","Who received the football? "
"Jeff","1. Alfred, 2. Zoie, 3. Fred, 4. Alfred","Who gave the apple? "
"milk","A. a look B. a smile C. a parting look D. a smile and a","What did Mary give to Bill? "
"Bill","Answer: The Arabs. Question: Who received the honey? Answer: The Arabs. Question: Who","Who received the milk? "
