"target","output","question"
"Jeff","Answer:  Answer:  Jeff  The context mentions that Fred picked up the football there and later gave it","Who did Fred give the football to? "
"Fred","Answer:  Fred Answer: Fred  Answer: Fred  Answer: Fred  Answer: Fred","Who received the milk? "
"Jeff","Answer:  Jeff  The context mentions that Jeff picked up the milk there, then later Jeff gave","Who gave the milk to Fred? "
"milk","Answer:  Answer: milk Answer: milk Answer: milk Answer: milk Answer","What did Mary give to Bill? "
"Mary","Answer:  Answer: Mary Answer: Mary Answer: Mary Answer: Mary Answer","Who received the football? "
"Fred","Answer:  Fred <context> I      presented a petition to him that he should help to","Who gave the milk to Jeff? "
"milk","Answer:  Answer: milk Answer: milk Answer: milk Answer: milk Answer","What did Jeff give to Bill? "
"Fred","Answer:  Mary Mary Mary Mary Mary Mary Mary Mary Mary","Who received the apple? "
"Fred","Answer:  Answer: Fred Answer: Fred Answer: Fred Answer: Fred Answer","Who gave the apple to Mary? "
"Jeff","Answer:  Answer: Mary Answer: Mary Answer: Mary Answer: Mary Answer","Who gave the milk? "
"milk","Answer:  milk <context> The money, which he could spend in a few years,","What did Fred give to Mary? "
"Fred","The answer is:   Fred  Okay, let's try to figure out who gave the apple to","Who gave the apple to Bill? "
"Mary","Answer:  Mary  Step-by-step explanation: 1. The context mentions that ""Bill grabbed the","Who received the football? "
"apple","Answer:  apple The answer is derived from the context where ""Fred picked up the apple there","What did Fred give to Bill? "
"Bill","The answer is: Bill The answer is: Bill The answer is: Bill The answer","Who gave the football to Fred? "
"Fred","Answer:  Jeff Jeff Fred Fred Jeff Jeff Fred Fred Jeff","Who gave the football to Jeff? "
"milk","Answer:  Answer: milk Answer: milk Answer: milk Answer: milk Answer","What did Mary give to Fred? "
"Bill","Answer:  Answer:  Bill Answer:  Bill Answer:  Bill Answer:  Bill Answer:","Who did Fred give the apple to? "
"Fred","The answer should be only one word. Answer:  Fred The answer is Fred. Based on the","Who gave the milk? "
"Bill","Answer:  Mary Answer: Mary  Answer: Mary  Answer: Mary  Answer: Mary","Who gave the apple? "
"Mary","Answer:  Jeff Answer:  Jeff  Jeff Answer:  Jeff  Jeff Answer:  Mary","Who did Jeff give the apple to? "
"Mary","Answer:  Answer: Fred Answer: Fred Answer: Fred Answer: Fred Answer","Who gave the milk? "
"milk","Answer:  Answer: milk Answer: milk Answer: milk Answer: milk Answer","What did Fred give to Bill? "
"Bill","Answer:  Bill The answer is Bill. From the context, it's stated that ""Mr","Who gave the football to Jeff? "
"Mary","Answer:  Answer: Mary Answer: Mary Answer: Mary Answer: Mary Answer","Who gave the milk to Jeff? "
