"target","output","question"
"bathroom","Answer: The most recent location of Mary is bathroom.  <example> John travelled to the hallway.","Where is Mary? "
"kitchen","Answer: The most recent location of Sandra is kitchen.  <example> John travelled to the hallway.","Where is Sandra? "
"kitchen","Answer: The most recent location of Mary is kitchen.  <example> John travelled to the office.","Where is Mary? "
"kitchen","Answer: The most recent location of John is kitchen.  <example> John moved to the hallway.","Where is John? "
"bedroom","Answer: The most recent location of Sandra is bedroom.  <example> Sandra went to the bedroom","Where is Sandra? "
"office","Answer: The most recent location of John is office.  <example> Sandra moved to the hallway","Where is John? "
"garden","Answer: The most recent location of Mary is garden.  <example> Mary went back to the bedroom","Where is Mary? "
"bathroom","Answer: The most recent location of Sandra is bathroom.  <example> Sandra went to the office","Where is Sandra? "
"kitchen","Answer: The most recent location of Mary is kitchen.  <example> Mary went back to the kitchen","Where is Mary? "
"bedroom","Answer: The most recent location of John is bedroom.  <context> John journeyed to the hallway.","Where is John? "
"office","Answer: The most recent location of Daniel is office.  <example> Mary went to the kitchen.","Where is Daniel? "
"office","Answer: The most recent location of Daniel is office.  <example> Mary went to the kitchen.","Where is Daniel? "
"bathroom","Answer: The most recent location of Mary is bathroom.  <example> Sandra journeyed to the","Where is Mary? "
"bathroom","Answer: The most recent location of Sandra is bathroom.  <example> Sandra went to the kitchen","Where is Sandra? "
"bathroom","Answer: The most recent location of Sandra is bathroom.  <example> Sandra moved to the kitchen","Where is Sandra? "
"hallway","Answer: The most recent location of Mary is hallway.  <example> Mary went to the office.","Where is Mary? "
"kitchen","Answer: The most recent location of Sandra is kitchen.  <example> Daniel went to the bedroom.","Where is Sandra? "
"office","Answer: The most recent location of Daniel is office.  <context> Daniel journeyed to the kitchen.","Where is Daniel? "
"kitchen","Answer: The most recent location of Sandra is kitchen.  <example> Sandra travelled to the hallway","Where is Sandra? "
"bedroom","Answer: The most recent location of John is bedroom.  <example> John went to the office.","Where is John? "
"hallway","Answer: The most recent location of Sandra is bedroom.  <example> Mary moved to the hallway.","Where is Sandra? "
"bedroom","Answer: The most recent location of Mary is bedroom.  <example> Mary travelled to the bedroom.","Where is Mary? "
"bedroom","Answer: The most recent location of John is bedroom.  <example> Mary travelled to the bathroom.","Where is John? "
"bedroom","Answer: The most recent location of Mary is bedroom.  <example> Daniel went to the garden.","Where is Mary? "
"bedroom","Answer: The most recent location of Mary is bedroom.  <example> Daniel went to the garden.","Where is Mary? "
"garden","Answer: The most recent location of Mary is garden.  <example> Mary went back to the hallway","Where is Mary? "
"bedroom","Answer: The most recent location of Daniel is bedroom.  <example> Mary went back to the office","Where is Daniel? "
"office","Answer: The most recent location of Sandra is office.  <example> Sandra went to the office","Where is Sandra? "
"office","Answer: The most recent location of Sandra is office.  <example> Sandra went to the office","Where is Sandra? "
"garden","Answer: The most recent location of Sandra is garden.  <example> Sandra went to the garden","Where is Sandra? "
"garden","Answer: The most recent location of Daniel is garden.  <example> Sandra went to the garden","Where is Daniel? "
"bathroom","Answer: The most recent location of Mary is bathroom.  <example> Sandra went to the bathroom","Where is Mary? "
"office","Answer: The most recent location of Mary is office.  <example> John went to the garden.","Where is Mary? "
"kitchen","Answer: The most recent location of Sandra is kitchen.  <example> Sandra moved to the garden","Where is Sandra? "
"garden","Answer: The most recent location of Sandra is garden.  <example> Daniel travelled to the bedroom.","Where is Sandra? "
"kitchen","Answer: The most recent location of Sandra is kitchen.  <example> Daniel went to the hallway.","Where is Sandra? "
"kitchen","Answer: The most recent location of Sandra is kitchen.  <example> Mary moved to the bathroom.","Where is Sandra? "
"garden","Answer: The most recent location of John is garden.  <example> Sandra travelled to the bedroom","Where is John? "
"garden","Answer: The most recent location of Sandra is garden.  <example> Sandra travelled to the bedroom","Where is Sandra? "
"bathroom","Answer: The most recent location of Sandra is kitchen.  <example> Mary journeyed to the office","Where is Sandra? "
"bedroom","Answer: The most recent location of Mary is bedroom.  <example> John travelled to the bedroom.","Where is Mary? "
"kitchen","Answer: The most recent location of Sandra is kitchen.  <context> Daniel went to the shop. Sandra","Where is Sandra? "
"office","Answer: The most recent location of Mary is office.  <example> Sandra journeyed to the","Where is Mary? "
"bedroom","Answer: The most recent location of Mary is bedroom.  <example> Daniel travelled to the garden.","Where is Mary? "
"office","Answer: The most recent location of Daniel is office.  <example> Daniel went back to the kitchen","Where is Daniel? "
"office","Answer: The most recent location of Sandra is office.  <example> Sandra moved to the garden","Where is Sandra? "
"bathroom","Answer: The most recent location of Sandra is hallway.  <example> Mary travelled to the hallway.","Where is Sandra? "
"bedroom","Answer: The most recent location of Sandra is bedroom.  <example> John went to the kitchen.","Where is Sandra? "
"office","Answer: The most recent location of Daniel is office.  <example> John went to the office.","Where is Daniel? "
"bedroom","Answer: The most recent location of Sandra is bedroom.  <example> Sandra went back to the","Where is Sandra? "
"hallway","Answer: The most recent location of Daniel is hallway.  <example> Sandra went back to the","Where is Daniel? "
"bedroom","Answer: The most recent location of Sandra is bedroom.  <example> Daniel travelled to the garden.","Where is Sandra? "
"office","Answer: The most recent location of John is office.  <example> Mary journeyed to the kitchen","Where is John? "
"garden","Answer: The most recent location of John is garden.  <example> Sandra went back to the","Where is John? "
"kitchen","Answer: The most recent location of Daniel is kitchen.  <example> John went to the kitchen.","Where is Daniel? "
"hallway","Answer: The most recent location of Mary is hallway.  <example> Sandra went to the kitchen","Where is Mary? "
"hallway","Answer: The most recent location of Sandra is hallway.  <example> John moved to the kitchen.","Where is Sandra? "
"hallway","Answer: The most recent location of John is hallway.  <example> Sandra moved to the office","Where is John? "
"bedroom","Answer: The most recent location of Mary is bedroom.  <example> Mary travelled to the bathroom.","Where is Mary? "
"bedroom","Answer: The most recent location of Sandra is bedroom.  <example> John went to the garden.","Where is Sandra? "
"bedroom","Answer: The most recent location of Daniel is bedroom.  <example> Daniel went to the bedroom.","Where is Daniel? "
"kitchen","Answer: The most recent location of Sandra is kitchen.  <example> Daniel went to the bedroom.","Where is Sandra? "
"bedroom","Answer: The most recent location of Daniel is bedroom.  <example> John travelled to the hallway.","Where is Daniel? "
"garden","Answer: The most recent location of John is garden.  <example> Sandra went back to the","Where is John? "
"bathroom","Answer: The most recent location of Sandra is bathroom.  <example> Mary went to the bathroom.","Where is Sandra? "
"garden","Answer: The most recent location of Sandra is garden.  <example> Sandra went back to the","Where is Sandra? "
"office","Answer: The most recent location of Daniel is office.  <example> Daniel went back to the office","Where is Daniel? "
"bedroom","Answer: The most recent location of Mary is bedroom.  <example> John went to the garden.","Where is Mary? "
"garden","Answer: The most recent location of Sandra is garden.  <example> John went to the garden.","Where is Sandra? "
"bathroom","Answer: The most recent location of Sandra is bathroom.  <example> John went to the garden.","Where is Sandra? "
"office","Answer: The most recent location of John is office.  <example> Daniel journeyed to the garden","Where is John? "
"kitchen","Answer: The most recent location of Daniel is kitchen.  <example> Daniel went to the garden.","Where is Daniel? "
"bedroom","Answer: The most recent location of John is bedroom.  <example> Daniel went to the office.","Where is John? "
"office","Answer: The most recent location of Daniel is office.  <example> Sandra journeyed to the","Where is Daniel? "
"bathroom","Answer: The most recent location of Sandra is bedroom.  <example> Sandra travelled to the bedroom","Where is Sandra? "
