"target","output","question"
"bathroom","bathroom","Where is Mary? "
"kitchen","bathroom “Don’t put it in that way. I merely pointed out a condition of business relations","Where is Sandra? "
"kitchen","bedroom <office> <office> <office> <office> <office> <office>","Where is Mary? "
"kitchen","bedroom","Where is John? "
"bedroom","bedroom Fred: Where is Fred? bedroom","Where is Sandra? "
"office","bedroom <subject of our theme, 'What Life Means to Me,' which of course was","Where is John? "
"garden","bedroom      I recall      to your memory the fact that Scanlan, Merrim","Where is Mary? "
"bathroom","bedroom       (Well suited to the season)     Had been well served, and well enjoyed--","Where is Sandra? "
"kitchen","bedroom Fred, you----"" his voice broke; he could say no more. ""Unc","Where is Mary? "
"bedroom","bedroom","Where is John? "
"office","bedroom Fred: bathroom","Where is Daniel? "
"office","bedroom What is Fred in the bathroom? bathroom","Where is Daniel? "
"bathroom","bedroom <footnote 523: The turning-point.--Ver. In the Fifteenth","Where is Mary? "
"bathroom","bedroom     [Footnote 71: In “Sommerreise.”]      [Foot","Where is Sandra? "
"bathroom","bedroom","Where is Sandra? "
"hallway","bedroom <office> <office> <office> <office> <office> <office>","Where is Mary? "
"kitchen","bedroom","Where is Sandra? "
"office","bedroom What is Fred doing? sleeping What is Fred doing? sleeping What is Fred doing","Where is Daniel? "
"kitchen","bedroom Fred: bathroom","Where is Sandra? "
"bedroom","bedroom","Where is John? "
"hallway","bedroom","Where is Sandra? "
"bedroom","bedroom    on her part, and covenants to    sell, and for and in","Where is Mary? "
"bedroom","bedroom","Where is John? "
"bedroom","bedroom","Where is Mary? "
"bedroom","bedroom","Where is Mary? "
"garden","hallway This is an obligation to which they have been subject from heathen times, partly","Where is Mary? "
"bedroom","bedroom","Where is Daniel? "
"office","bedroom","Where is Sandra? "
"office","bedroom ""Mr. ""And, really, for that. Hattie's always sending for","Where is Sandra? "
"garden","bedroom","Where is Sandra? "
"garden","bathroom    I lie alone beneath the Almond blossoms,         Where we two lay together in","Where is Daniel? "
"bathroom","bedroom","Where is Mary? "
"office","bedroom","Where is Mary? "
"kitchen","bedroom /Chap. LXXXIV./--_Objection to the above answered_, Plate","Where is Sandra? "
"garden","bedroom What is Fred in? bedroom","Where is Sandra? "
"kitchen","bedroom What is Fred doing? bathroom What is Fred doing? bathroom","Where is Sandra? "
"kitchen","bedroom","Where is Sandra? "
"garden","bedroom Fred: ""I'm going to tell a trap."" ""It was no trap, R","Where is John? "
"garden","bathroom","Where is Sandra? "
"bathroom","bedroom <office","Where is Sandra? "
