"target","output","question"
"milk","What did Fred do with it?  Okay, let's see. The user is asking about what Mary","What did Mary give to Fred? "
"apple","Choices: A) An apple B) A garden C) A pipe D)","What did Fred give to Bill? "
"Jeff","Answer: Fred Answer: Fred  Okay, let's see. The user provided a context with","Who did Mary give the football to? "
"apple","Answer: The apple.  Question: What did Bill give to Jeff?   Answer: The football","What did Fred give to Mary? "
"Bill","Answer: Mary gave the football to the children. Okay, let's see. The user is","Who did Mary give the football to? "
"milk","Choices: A. A milk B. A dress C. A horse D.","What did Bill give to Mary? "
"Mary","Answer: Mary Okay, let's see. The user is asking ""Who gave the apple","Who gave the apple to Bill? "
"Mary","Answer: Jeff <context> --_Eclectic._        +A Jaunt Through Java+:","Who gave the milk? "
"apple","Answer: Fred gave the apple to Bill. Okay, let's see. The user is asking","What did Fred give to Bill? "
"milk","Choices: A) A baby B) A letter C) A book D)","What did Mary give to Fred? "
"Mary","Answer: Mary Okay, let's see. The user is asking ""Who gave the apple","Who gave the apple? "
"Fred","Answer: Fred Answer: Fred Answer: Fred Answer: Fred Answer: Fred","Who received the milk? "
"apple","Choices: A. An apple B. A milk C. A ham D.","What did Fred give to Bill? "
"Jeff","Answer:  Answer: Jeff Answer: Jeff Answer: Jeff Answer: Jeff Answer","Who gave the football? "
"Jeff","Answer: Jeff <context> CHAPTER IX  ""DEAR COUSIN STANLEY""","Who did Bill give the milk to? "
"Jeff","Answer: Jeff Okay, let's try to figure out who Bill gave the apple to.","Who did Bill give the apple to? "
"apple","Answer: Mary gave the apple to Fred. Okay, let's see. The user is asking","What did Mary give to Fred? "
"Bill","Answer: Jeff gave the football to the boy who had been left out. Okay, let's","Who did Jeff give the football to? "
"Bill","Choices: A. Bill B. The woman C. The uncle D. The","Who did Fred give the milk to? "
"football","Answer: Mary gave Fred a book.  Question: What is the name of the person who is the","What did Mary give to Fred? "
"milk","Options: A. A letter B. A book C. Milk D. A","What did Mary give to Fred? "
"Fred","Answer: Mary <context> Mary handed the apple to Fred. Fred handed the apple to Bill.","Who gave the apple? "
"Fred","Answer: Fred Okay, let's see. The user provided a context and a question. The","Who did Bill give the apple to? "
"Mary","Answer: Mary Okay, let's tackle this question. So, the user provided a context and","Who did Bill give the milk to? "
"Fred","Answer: Answer: Jeff Answer: Jeff Answer: Jeff Answer: Jeff Answer","Who gave the football? "
