"target","output","question"
"Jeff","A. His brother B. His father C. His friend D. His brother’s friend E. His brother’s friend’s father. Answer: D","Who did Fred give the football to? "
"Jeff","A. The milkman B. The milkman's son C. The milkman's son D. The milkman's son  Question: What is the","Who gave the milk to Fred? "
"Mary","A. Stephen B. Lincoln C. Brice D. Douglas  Question: What is the subject of the conversation between Stephen and the Judge? A. The","Who received the football? "
"milk","Answer: He gave him a book. Question: What did he give to Bill? Answer: He gave him a book. Question: What did he give to","What did Jeff give to Bill? "
"Fred","Mary was the daughter of Lady St. Julians. She was not very beautiful, but she was graceful, and a very charming and graceful woman","Who gave the apple to Mary? "
"milk","A. a book B. a pen C. a pen and a book D. a pen and a pen  Question: What is the name of the man","What did Fred give to Mary? "
"Mary","Answer: The football was received by the team. Question: Who received the football? Answer: The football was received by the team. Question: Who received the","Who received the football? "
"Bill","A. The girl B. The boy C. The dog D. The tree A. The girl B. The boy C. The dog D. The tree","Who gave the football to Fred? "
"milk","A  A. Fred  B. Fred  C. Fred  D. Fred  D. Fred  D. Fred  D. Fred  D.","What did Mary give to Fred? "
"Fred","A. The boy B. The girl C. The dog D. The boy and the girl together  Question: What is the name of the boy? A","Who gave the milk? "
"Mary","Answer: The little girl. Why is a boiled herring like a rotten potato? Because they're both fit for nothing. Why is my servant Betsy like","Who did Jeff give the apple to? "
"milk","--Locally, and so far as Massachusetts is concerned, the returns of the Royal Commission on railroad accidents, and the official returns of the Royal Commission","What did Fred give to Bill? "
"Mary","A. Mary B. Bill C. Charles D. Dave  Question: What was the object of the expedition of the _Mound City? A. To","Who gave the milk to Jeff? "
