"target","output","question"
"kitchen","I can't find her.  Answer: She is in the kitchen.  Question: Where is the kitchen","Where is Sandra? "
"office","He is in the kitchen. He is in the kitchen. He is in the kitchen. He is","Where is John? "
"bedroom","--Answer: He is in the house.--Question: Where is John?--Answer: He","Where is John? "
"bathroom","I am not sure if I am reading the question correctly. I think it is asking me to","Where is Sandra? "
"office","He was a great man, and he was a great healer. He was a great man","Where is Daniel? "
"bedroom","What is she doing?  Answer: She is in the kitchen, and she is cooking.  Question:","Where is Mary? "
"garden","What is her name? What is her interest in the story? What is her attitude toward the","Where is Mary? "
"garden","--""the good people going to church at Kernow, the church at Kernow,","Where is Sandra? "
"kitchen","I have not seen her since the fire, and I am worried about her. I have","Where is Sandra? "
"garden","Answer: He is in the library. Question: What is he doing? Answer: He is reading","Where is John? "
"kitchen","I can't find her. I guess she's gone to bed. I'll go to bed","Where is Sandra? "
"office","She is in the kitchen, and she is serving the guests.  Answer: She is in","Where is Sandra? "
"bedroom","_Reg._                   I know not, but I hope she's safe. _Ham._                   I","Where is Sandra? "
"garden","He is not in the kitchen. He is in the hallway, listening to the conversation.","Where is John? "
"hallway","I have not seen him since the day he left for London. I have heard that he is","Where is John? "
"kitchen","I've been looking for her for a long time.  Answer: She is in the kitchen. I","Where is Sandra? "
"garden","[Enter Sandra.] [To Sandra.] You have been gone a long time. [To Bos","Where is Sandra? "
"bathroom","What is she doing?  Answer: Sandra went to the bathroom.  Question: What is the meaning of","Where is Sandra? "
"office","--I have a question about the   recovery of the Jews, and I want to ask him","Where is Daniel? "
"office","He is not here. He is not in the house. He is not in the garden. He","Where is John? "
"hallway","[Footnote: 1]     [Footnote 1: The answer is ""in the","Where is Daniel? "
"bathroom","I am not sure if I have found him. I think he is in the question, but","Where is Daniel? "
"garden","She is     Around the room they played at toss,     And some were winners of the toss","Where is Sandra? "
"kitchen","Answer: In the Castle.  The     boy went to the hallway.  In the","Where is Daniel? "
"bedroom","The answer is: ""Yes, ladies, here I am,"" said he with a beaming count","Where is John? "
